,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
43,1053,280,2462,498,3422,1137,0,1,39,47.24,1478.0,new,experiments/results/TA_2_2/TB_5mill_b100000/43.onnx,TA,3,3,3650.798816204071,2150000,1e-05,20,0.1,15,True,10000,True,100000,True,43
44,1080,261,2403,457,3221,1176,0,1,36,153.7,1453.0,new,experiments/results/TA_2_2/TB_5mill_b100000/44.onnx,TA,3,3,3733.103391647339,2200000,1e-05,20,0.1,15,True,10000,True,100000,True,44
45,1081,275,2331,490,3480,1133,0,1,18,137.62,1695.0,new,experiments/results/TA_2_2/TB_5mill_b100000/45.onnx,TA,3,3,3815.8635909557343,2250000,1e-05,20,0.1,15,True,10000,True,100000,True,45
46,1080,280,2540,506,3176,1153,0,1,150,180.39,1351.0,new,experiments/results/TA_2_2/TB_5mill_b100000/46.onnx,TA,3,3,3898.8283405303955,2300000,1e-05,20,0.1,15,True,10000,True,100000,True,46
47,1042,247,2071,423,3018,198,0,1,71,123.51,2176.0,new,experiments/results/TA_2_2/TB_5mill_b100000/47.onnx,TA,3,3,3983.2888383865356,2350000,1e-05,20,0.1,15,True,10000,True,100000,True,47
48,1061,267,2127,460,2692,881,0,1,121,110.99,1280.0,new,experiments/results/TA_2_2/TB_5mill_b100000/48.onnx,TA,3,3,4066.7018914222717,2400000,1e-05,20,0.1,15,True,10000,True,100000,True,48
49,1077,244,2114,416,3020,912,0,1,14,97.04,1570.0,new,experiments/results/TA_2_2/TB_5mill_b100000/49.onnx,TA,3,3,4148.199133872986,2450000,1e-05,20,0.1,15,True,10000,True,100000,True,49
50,1077,290,2133,495,3016,781,0,1,16,117.0,1670.0,new,experiments/results/TA_2_2/TB_5mill_b100000/50.onnx,TA,3,3,4229.675466775894,2500000,1e-05,20,0.1,15,True,10000,True,100000,True,50
51,1070,257,2120,440,3128,990,0,1,20,44.08,1648.0,new,experiments/results/TA_2_2/TB_5mill_b100000/51.onnx,TA,3,3,4311.087235927582,2550000,1e-05,20,0.1,15,True,10000,True,100000,True,51
52,1076,358,2385,677,2986,1020,0,1,118,120.61,1428.0,new,experiments/results/TA_2_2/TB_5mill_b100000/52.onnx,TA,3,3,4392.2996344566345,2600000,1e-05,20,0.1,15,True,10000,True,100000,True,52
53,1046,337,2288,625,3732,1059,0,1,32,56.56,1920.0,new,experiments/results/TA_2_2/TB_5mill_b100000/53.onnx,TA,3,3,4473.76371884346,2650000,1e-05,20,0.1,15,True,10000,True,100000,True,53
54,974,203,1790,322,2690,646,0,1,29,40.08,1539.0,new,experiments/results/TA_2_2/TB_5mill_b100000/54.onnx,TA,3,3,4557.193205356598,2700000,1e-05,20,0.1,15,True,10000,True,100000,True,54
55,1079,245,2071,421,3219,813,0,1,50,57.16,1766.0,new,experiments/results/TA_2_2/TB_5mill_b100000/55.onnx,TA,3,3,4637.315056800842,2750000,1e-05,20,0.1,15,True,10000,True,100000,True,55
56,1003,212,1650,354,2504,181,0,1,34,68.93,1751.0,new,experiments/results/TA_2_2/TB_5mill_b100000/56.onnx,TA,3,3,4717.96518778801,2800000,1e-05,20,0.1,15,True,10000,True,100000,True,56
57,607,178,1184,283,1487,447,0,1,56,31.13,706.0,new,experiments/results/TA_2_2/TB_5mill_b100000/57.onnx,TA,3,3,4799.406535625458,2850000,1e-05,20,0.1,15,True,10000,True,100000,True,57
58,676,244,1160,388,1794,428,0,1,20,37.03,975.0,new,experiments/results/TA_2_2/TB_5mill_b100000/58.onnx,TA,3,3,4880.273537397385,2900000,1e-05,20,0.1,15,True,10000,True,100000,True,58
59,1079,122,2099,162,2262,1,0,1,67,86.13,1590.0,new,experiments/results/TA_2_2/TB_5mill_b100000/59.onnx,TA,3,3,4961.4217047691345,2950000,1e-05,20,0.1,15,True,10000,True,100000,True,59
60,1057,242,1985,407,2707,814,0,1,41,48.42,1375.0,new,experiments/results/TA_2_2/TB_5mill_b100000/60.onnx,TA,3,3,5044.671426773071,3000000,1e-05,20,0.1,15,True,10000,True,100000,True,60
61,1082,230,1916,388,3438,248,0,1,25,183.12,2461.0,new,experiments/results/TA_2_2/TB_5mill_b100000/61.onnx,TA,3,3,5125.486190795898,3050000,1e-05,20,0.1,15,True,10000,True,100000,True,61
62,1082,242,2131,415,3927,321,0,1,65,158.03,2730.0,new,experiments/results/TA_2_2/TB_5mill_b100000/62.onnx,TA,3,3,5206.11829662323,3100000,1e-05,20,0.1,15,True,10000,True,100000,True,62
63,945,238,1840,405,2520,727,0,1,35,153.62,1341.0,new,experiments/results/TA_2_2/TB_5mill_b100000/63.onnx,TA,3,3,5287.825777053833,3150000,1e-05,20,0.1,15,True,10000,True,100000,True,63
64,1083,305,2164,548,3895,280,0,1,86,214.32,2881.0,new,experiments/results/TA_2_2/TB_5mill_b100000/64.onnx,TA,3,3,5367.422493457794,3200000,1e-05,20,0.1,15,True,10000,True,100000,True,64
65,505,217,925,341,1581,317,0,1,14,151.54,784.0,new,experiments/results/TA_2_2/TB_5mill_b100000/65.onnx,TA,3,3,5447.974019050598,3250000,1e-05,20,0.1,15,True,10000,True,100000,True,65
66,1083,286,2117,509,3272,855,0,1,45,181.04,1831.0,new,experiments/results/TA_2_2/TB_5mill_b100000/66.onnx,TA,3,3,5529.7219405174255,3300000,1e-05,20,0.1,15,True,10000,True,100000,True,66
67,1083,240,2074,397,3847,212,0,1,108,159.28,2897.0,new,experiments/results/TA_2_2/TB_5mill_b100000/67.onnx,TA,3,3,5609.436297416687,3350000,1e-05,20,0.1,15,True,10000,True,100000,True,67
68,1083,211,1968,344,2932,564,0,1,61,117.13,1966.0,new,experiments/results/TA_2_2/TB_5mill_b100000/68.onnx,TA,3,3,5689.281730413437,3400000,1e-05,20,0.1,15,True,10000,True,100000,True,68
69,1083,236,2064,383,3502,688,0,1,74,90.05,2214.0,new,experiments/results/TA_2_2/TB_5mill_b100000/69.onnx,TA,3,3,5769.795909166336,3450000,1e-05,20,0.1,15,True,10000,True,100000,True,69
70,1083,231,1788,396,2838,602,0,1,16,167.8,1779.0,new,experiments/results/TA_2_2/TB_5mill_b100000/70.onnx,TA,3,3,5849.684339046478,3500000,1e-05,20,0.1,15,True,10000,True,100000,True,70
71,1083,225,2091,369,3149,744,0,1,74,74.27,1745.0,new,experiments/results/TA_2_2/TB_5mill_b100000/71.onnx,TA,3,3,5930.428052186966,3550000,1e-05,20,0.1,15,True,10000,True,100000,True,71
72,1083,230,2081,392,4039,734,0,1,90,141.15,2626.0,new,experiments/results/TA_2_2/TB_5mill_b100000/72.onnx,TA,3,3,6011.198330879211,3600000,1e-05,20,0.1,15,True,10000,True,100000,True,72
73,1083,234,2126,399,4628,372,0,1,96,21.12,3352.0,new,experiments/results/TA_2_2/TB_5mill_b100000/73.onnx,TA,3,3,6092.329871177673,3650000,1e-05,20,0.1,15,True,10000,True,100000,True,73
74,1083,226,2044,385,3592,708,0,1,52,62.46,2224.0,new,experiments/results/TA_2_2/TB_5mill_b100000/74.onnx,TA,3,3,6174.072417497635,3700000,1e-05,20,0.1,15,True,10000,True,100000,True,74
75,1083,241,1960,388,2911,752,0,1,16,80.1,1772.0,new,experiments/results/TA_2_2/TB_5mill_b100000/75.onnx,TA,3,3,6254.716046333313,3750000,1e-05,20,0.1,15,True,10000,True,100000,True,75
76,1083,250,2072,422,3619,328,0,1,91,207.08,2478.0,new,experiments/results/TA_2_2/TB_5mill_b100000/76.onnx,TA,3,3,6334.834633588791,3800000,1e-05,20,0.1,15,True,10000,True,100000,True,76
77,1083,228,1963,387,3051,668,0,1,58,141.22,1883.0,new,experiments/results/TA_2_2/TB_5mill_b100000/77.onnx,TA,3,3,6415.724662065506,3850000,1e-05,20,0.1,15,True,10000,True,100000,True,77
78,1083,226,2010,388,3503,223,0,1,59,130.2,2523.0,new,experiments/results/TA_2_2/TB_5mill_b100000/78.onnx,TA,3,3,6495.119936466217,3900000,1e-05,20,0.1,15,True,10000,True,100000,True,78
79,1039,248,1772,408,2606,544,0,1,23,129.15,1588.0,new,experiments/results/TA_2_2/TB_5mill_b100000/79.onnx,TA,3,3,6574.692540884018,3950000,1e-05,20,0.1,15,True,10000,True,100000,True,79
80,1083,230,2017,386,3521,535,0,1,39,74.33,2467.0,new,experiments/results/TA_2_2/TB_5mill_b100000/80.onnx,TA,3,3,6655.066720485687,4000000,1e-05,20,0.1,15,True,10000,True,100000,True,80
81,1083,238,2139,401,4605,358,0,1,94,70.36,3444.0,new,experiments/results/TA_2_2/TB_5mill_b100000/81.onnx,TA,3,3,6734.643742322922,4050000,1e-05,20,0.1,15,True,10000,True,100000,True,81
82,1051,193,1788,297,2649,566,0,1,16,37.15,1642.0,new,experiments/results/TA_2_2/TB_5mill_b100000/82.onnx,TA,3,3,6814.230407238007,4100000,1e-05,20,0.1,15,True,10000,True,100000,True,82
83,1083,246,2095,417,2821,877,0,1,79,184.05,1414.0,new,experiments/results/TA_2_2/TB_5mill_b100000/83.onnx,TA,3,3,6893.692490339279,4150000,1e-05,20,0.1,15,True,10000,True,100000,True,83
84,1083,226,2100,372,4510,383,0,1,102,39.12,3279.0,new,experiments/results/TA_2_2/TB_5mill_b100000/84.onnx,TA,3,3,6973.310935974121,4200000,1e-05,20,0.1,15,True,10000,True,100000,True,84
85,1044,240,1973,406,3030,717,0,1,40,90.98,1789.0,new,experiments/results/TA_2_2/TB_5mill_b100000/85.onnx,TA,3,3,7053.452498435974,4250000,1e-05,20,0.1,15,True,10000,True,100000,True,85
86,1083,320,2239,591,3771,464,0,1,98,178.14,2702.0,new,experiments/results/TA_2_2/TB_5mill_b100000/86.onnx,TA,3,3,7133.036441326141,4300000,1e-05,20,0.1,15,True,10000,True,100000,True,86
87,1083,237,2111,403,3780,735,0,1,69,222.14,2441.0,new,experiments/results/TA_2_2/TB_5mill_b100000/87.onnx,TA,3,3,7212.480996131897,4350000,1e-05,20,0.1,15,True,10000,True,100000,True,87
88,1083,238,2241,408,4497,230,0,1,93,108.24,3393.0,new,experiments/results/TA_2_2/TB_5mill_b100000/88.onnx,TA,3,3,7293.332417726517,4400000,1e-05,20,0.1,15,True,10000,True,100000,True,88
89,1083,233,2207,398,3270,137,0,1,75,99.59,2345.0,new,experiments/results/TA_2_2/TB_5mill_b100000/89.onnx,TA,3,3,7373.701200962067,4450000,1e-05,20,0.1,15,True,10000,True,100000,True,89
90,1083,319,2362,584,3457,286,0,1,81,58.51,2427.0,new,experiments/results/TA_2_2/TB_5mill_b100000/90.onnx,TA,3,3,7452.756541490555,4500000,1e-05,20,0.1,15,True,10000,True,100000,True,90
91,1083,267,2279,465,4237,361,0,1,86,178.36,3100.0,new,experiments/results/TA_2_2/TB_5mill_b100000/91.onnx,TA,3,3,7533.7812740802765,4550000,1e-05,20,0.1,15,True,10000,True,100000,True,91
92,1083,233,2223,394,3673,667,0,1,76,100.48,2463.0,new,experiments/results/TA_2_2/TB_5mill_b100000/92.onnx,TA,3,3,7614.719496965408,4600000,1e-05,20,0.1,15,True,10000,True,100000,True,92
93,1083,174,1997,265,3132,541,0,1,58,98.3,2118.0,new,experiments/results/TA_2_2/TB_5mill_b100000/93.onnx,TA,3,3,7693.6874713897705,4650000,1e-05,20,0.1,15,True,10000,True,100000,True,93
94,1083,232,2288,392,4073,600,0,1,66,117.39,2853.0,new,experiments/results/TA_2_2/TB_5mill_b100000/94.onnx,TA,3,3,7775.564262628555,4700000,1e-05,20,0.1,15,True,10000,True,100000,True,94
95,1083,311,2462,576,4483,402,0,1,86,195.24,3371.0,new,experiments/results/TA_2_2/TB_5mill_b100000/95.onnx,TA,3,3,7856.61706495285,4750000,1e-05,20,0.1,15,True,10000,True,100000,True,95
96,1083,324,2604,598,3927,216,0,1,113,88.7,2836.0,new,experiments/results/TA_2_2/TB_5mill_b100000/96.onnx,TA,3,3,7937.697296619415,4800000,1e-05,20,0.1,15,True,10000,True,100000,True,96
97,1083,317,2443,584,4146,492,0,1,96,58.51,2885.0,new,experiments/results/TA_2_2/TB_5mill_b100000/97.onnx,TA,3,3,8018.947437763214,4850000,1e-05,20,0.1,15,True,10000,True,100000,True,97
98,1083,269,2571,463,3901,584,0,1,104,111.28,2585.0,new,experiments/results/TA_2_2/TB_5mill_b100000/98.onnx,TA,3,3,8099.080176353455,4900000,1e-05,20,0.1,15,True,10000,True,100000,True,98
99,1083,255,2521,445,4276,497,0,1,89,186.29,3013.0,new,experiments/results/TA_2_2/TB_5mill_b100000/99.onnx,TA,3,3,8179.6668429374695,4950000,1e-05,20,0.1,15,True,10000,True,100000,True,99
100,1083,261,2452,454,3752,366,0,1,101,197.26,2648.0,new,experiments/results/TA_2_2/TB_5mill_b100000/100.onnx,TA,3,3,8259.754729509354,5000000,1e-05,20,0.1,15,True,10000,True,100000,True,100
