,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
76,180.0,20.0,324.0,30.0,597.0,37.0,0.0,1.0,0.0,39.67,397.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,10,1
77,208.0,20.0,376.0,30.0,696.0,39.0,0.0,1.0,0.0,48.78,494.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,11,1
78,237.0,31.0,552.0,49.0,901.0,94.0,0.0,1.0,2.0,77.87,631.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,12,1
79,270.0,20.0,496.0,30.0,1144.0,39.0,0.0,1.0,0.0,74.94,902.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,13,1
80,304.0,20.0,561.0,30.0,1022.0,52.0,0.0,1.0,0.0,90.09,794.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,14,1
81,340.0,20.0,625.0,30.0,1156.0,51.0,0.0,1.0,0.0,108.13,937.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,2,15,1
82,65.0,0.0,113.0,0.0,301.0,39.0,0.0,0.0,4.0,0.0,132.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,1,1
83,164.0,0.0,309.0,0.0,500.0,105.0,0.0,0.0,58.0,0.0,291.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,2,1
84,228.0,87.0,493.0,153.0,651.0,152.0,0.0,1.0,39.0,59.44,344.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,3,1
85,352.0,127.0,793.0,217.0,1168.0,228.0,0.0,1.0,78.0,132.5,658.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,4,1
86,447.0,181.0,1078.0,286.0,1290.0,302.0,0.0,1.0,23.0,51.43,828.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,5,1
87,652.0,199.0,1596.0,304.0,2060.0,314.0,0.0,1.0,29.0,20.61,1381.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,6,1
88,854.0,140.0,2126.0,214.0,2542.0,465.0,0.0,1.0,34.0,82.98,1738.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,7,1
89,1172.0,160.0,3156.0,255.0,4435.0,757.0,0.0,1.0,58.0,96.33,2779.0,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,8,1
90,,,,,,,,,,,,new,experiments/results/AT_2_2/5mill_JE_D/1.onnx,AT,3,9,1
