testcase,controllerType,heuristic,comments,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable
AT-5-7,compos,MA,TO,,,,,,,,,,,,
AT-5-7,compos,RA,TO,,,,,,,,,,,,
AT-5-7,mono,,,248714,60953,1241811,131811,3176,0,0,0,0,2.06GB,1020,True
AT-5-8,mono,,,382274,101953,1999971,213011,5016,0,0,0,0,3.74GB,1743,True
AT-5-9,mono,,,565554,162913,3080731,329411,9286,0,0,0,0,4.63GB,3050,True
AT-6-1,compos,RA,,5,0,4,0,43,0,0,0,1,14.96MB,30,False
AT-6-1,compos,BFS,,121,0,149,0,37,15,0,0,1,14.96MB,30,False
AT-6-1,compos,MA,,8,0,7,0,47,0,0,0,1,14.96MB,29,False
AT-6-1,mono,,,8802,0,25933,0,77,0,0,0,0,0Bs,101,False
AT-6-2,compos,RA,,3533,0,4616,0,2277,0,0,0,963,108.11MB,36,False
AT-6-2,compos,MA,,4967,0,7144,0,9884,584,0,0,1153,299.74MB,34,False
AT-6-2,compos,BFS,,241,0,278,0,43,0,0,0,36,14.96MB,34,False
AT-6-2,mono,,,44994,0,158797,0,395,0,0,0,0,0Bs,261,False
AT-6-3,compos,RA,,16582,0,24259,0,12463,0,0,0,7852,159.35MB,37,False
AT-6-3,compos,BFS,,18621,0,32274,0,34978,545,0,0,4735,571.25MB,37,False
AT-6-3,compos,MA,,20795,0,38277,0,370518,4828,0,0,10161,362.95MB,38,False
AT-6-3,mono,,,150546,0,594781,0,1114,0,0,0,0,1.08GB,522,False
AT-6-4,compos,RA,,48583,0,72942,0,45974,0,0,0,25271,501.14MB,42,False
AT-6-4,compos,MA,TO,,,,,,,,,,,,
AT-6-4,compos,BFS,,47148,0,69225,0,6339,0,0,0,12758,393.39MB,43,False
AT-6-4,mono,,,388338,0,1702285,0,3522,0,0,0,0,2.41GB,1343,False
