testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments
TA-3-11,compos,MA,2205,1029,6130,2422,16912,2825,0,1,0,221.90MB,30,True,
TA-3-11,mono,,2268,1668,7344,4426,168,0,0,0,0,56.79MB,104,True,
TA-3-12,compos,RA,490,241,819,339,626,187,0,1,0,154.42MB,31,True,
TA-3-12,compos,MA,2289,1104,6408,2612,18167,3145,0,1,0,266.04MB,31,True,
TA-3-12,compos,BFS,2404,928,7521,2149,12839,1967,0,1,691,280.61MB,30,True,
TA-3-12,mono,,2416,1776,7816,4730,149,0,0,0,0,58.50MB,77,True,
TA-3-13,compos,RA,661,319,1182,473,975,352,0,1,0,57.62MB,31,True,
TA-3-13,compos,BFS,2545,864,7726,1967,12035,1784,0,1,741,239.48MB,33,True,
TA-3-13,compos,MA,2233,1071,6010,2445,15549,2785,0,1,0,215.70MB,38,True,
TA-3-13,mono,,2564,1884,8288,5034,159,0,0,0,0,35.67MB,76,True,
TA-3-14,compos,RA,524,269,866,381,675,200,0,1,0,27.47MB,33,True,
TA-3-14,compos,MA,2529,1235,7081,2950,23909,3246,0,1,0,224.60MB,33,True,
TA-3-14,compos,BFS,2719,1389,8554,3502,17054,2330,0,1,758,214.00MB,40,True,
TA-3-14,mono,,2712,1992,8760,5338,169,0,0,0,0,41.83MB,79,True,
TA-3-15,compos,RA,705,358,1256,534,998,379,0,1,0,25.41MB,39,True,
TA-3-15,compos,MA,2663,1298,7369,3075,29573,3849,0,1,0,219.23MB,32,True,
TA-3-15,compos,BFS,2846,1207,8704,3016,19077,2364,0,1,670,247.97MB,33,True,
TA-3-15,mono,,2860,2100,9232,5642,170,0,0,0,0,51.44MB,77,True,
TA-3-2,compos,RA,303,104,516,132,286,107,0,1,0,51.97MB,37,True,
TA-3-2,compos,BFS,888,307,2623,624,1527,592,0,1,401,108.17MB,28,True,
TA-3-2,compos,MA,813,407,2080,862,2324,864,0,1,0,150.43MB,28,True,
TA-3-2,mono,,936,696,3096,1690,67,0,0,0,0,16.93MB,73,True,
TA-3-3,compos,RA,416,142,774,195,491,230,0,1,0,124.06MB,29,True,
TA-3-3,compos,MA,1044,478,2918,1050,3712,1318,0,1,0,173.90MB,28,True,
TA-3-3,compos,BFS,1075,474,3391,1066,2510,865,0,1,401,209.91MB,28,True,
TA-3-3,mono,,1084,804,3568,1994,76,0,0,0,0,13.70MB,76,True,
TA-3-4,compos,RA,441,160,818,224,510,245,0,1,0,133.21MB,39,True,
TA-3-4,compos,MA,1185,547,3328,1228,5028,1585,0,1,0,162.73MB,27,True,
TA-3-4,compos,BFS,1239,596,3984,1409,4108,1172,0,1,455,149.68MB,36,True,
TA-3-4,mono,,1232,912,4040,2298,104,0,0,0,0,17.48MB,78,True,
TA-3-5,compos,MA,1321,618,3826,1428,6803,1922,0,1,0,176.44MB,37,True,
TA-3-5,compos,BFS,1356,584,4206,1368,4733,1328,0,1,418,173.13MB,38,True,
TA-3-5,compos,RA,461,178,865,253,599,269,0,1,0,16.50MB,42,True,
TA-3-5,mono,,1380,1020,4512,2602,92,0,0,0,0,28.25MB,79,True,
TA-3-6,compos,MA,1451,687,4096,1579,7983,1908,0,1,0,248.90MB,29,True,
TA-3-6,compos,BFS,1535,752,4938,1824,6070,1500,0,1,500,84.35MB,29,True,
TA-3-6,compos,RA,483,193,885,279,652,268,0,1,0,39.73MB,32,True,
TA-3-6,mono,,1528,1128,4984,2906,110,0,0,0,0,28.49MB,88,True,
TA-3-7,compos,RA,517,214,943,309,688,280,0,1,0,49.77MB,29,True,
TA-3-7,compos,MA,1493,751,4106,1757,7904,1965,0,1,0,200.40MB,29,True,
TA-3-7,compos,BFS,1643,555,4972,1225,5067,1170,0,1,568,253.56MB,37,True,
TA-3-7,mono,,1676,1236,5456,3210,117,0,0,0,0,34.46MB,79,True,
TA-3-8,compos,MA,1671,849,4555,1997,9126,1937,0,1,0,224.74MB,30,True,
TA-3-8,compos,RA,580,241,1083,359,839,344,0,1,0,137.12MB,36,True,
TA-3-8,compos,BFS,1779,635,5223,1417,6016,1269,0,1,653,306.66MB,30,True,
TA-3-8,mono,,1824,1344,5928,3514,126,0,0,0,0,39.94MB,75,True,
TA-3-9,compos,MA,1897,910,5476,2170,13801,2643,0,1,0,216.43MB,39,True,
TA-3-9,compos,RA,738,403,1431,704,1167,478,0,1,0,113.55MB,43,True,
TA-3-9,compos,BFS,1979,890,6203,2153,9571,1774,0,1,696,241.14MB,30,True,
TA-3-9,mono,,1972,1452,6400,3818,131,0,0,0,0,45.76MB,73,True,
TA-4-1,compos,MA,3996,1719,15493,4944,97533,7231,0,1,0,201.12MB,29,True,
TA-4-1,compos,BFS,4528,2301,18854,6924,151703,8102,0,1,1692,274.14MB,28,True,
TA-4-1,compos,RA,1513,234,3280,318,3401,1193,0,1,0,131.73MB,28,True,
TA-4-1,mono,,4680,3461,20156,10338,302,0,0,0,0,74.64MB,89,True,
TA-4-10,compos,RA,2811,1114,6147,2081,14593,2486,0,1,0,267.52MB,41,True,
TA-4-10,compos,MA,11744,5405,46091,17070,1502167,25887,0,1,0,283.55MB,43,True,
TA-4-10,compos,BFS,12409,6720,51113,22159,1496058,22636,0,1,2893,365.76MB,33,True,
TA-4-10,mono,,12996,9329,55616,30714,750,0,0,0,0,175.65MB,147,True,
TA-4-11,compos,BFS,13638,5658,54883,17331,1545312,21014,0,1,4295,373.39MB,41,True,
TA-4-11,compos,MA,12190,5953,45412,18579,1313393,23744,0,1,0,282.23MB,32,True,
TA-4-11,compos,RA,3152,1421,6864,2716,18259,2801,0,1,0,328.46MB,34,True,
TA-4-11,mono,,13920,9981,59556,32978,865,0,0,0,0,141.72MB,183,True,
TA-4-12,compos,RA,3280,1527,7147,2920,22192,2922,0,1,0,232.14MB,40,True,
TA-4-12,compos,BFS,,,,,,,,,,,,,TO
TA-4-12,compos,MA,,,,,,,,,,,,,TO
TA-4-12,mono,,14844,10633,63496,35242,904,0,0,0,0,223.26MB,161,True,
TA-4-13,compos,RA,2747,1053,5836,1817,14260,2350,0,1,0,272.08MB,35,True,
TA-4-13,mono,,15768,11285,67436,37506,1011,0,0,0,0,411.88MB,152,True,
TA-4-14,compos,RA,2850,1115,6020,1927,15188,2433,0,1,0,242.35MB,35,True,
TA-4-14,mono,,16692,11937,71376,39770,1058,0,0,0,0,322.18MB,167,True,
TA-4-15,compos,RA,2965,1177,6218,2034,16254,2486,0,1,0,324.30MB,47,True,
TA-4-15,mono,,17616,12589,75316,42034,1129,0,0,0,0,405.81MB,189,True,
TA-4-2,compos,BFS,5432,2723,22364,8383,210033,8977,0,1,1696,332.99MB,29,True,
TA-4-2,compos,MA,5276,2239,20601,6669,208358,9749,0,1,0,238.75MB,28,True,
TA-4-2,compos,RA,1741,292,3817,421,4699,1450,0,1,0,157.55MB,29,True,
TA-4-2,mono,,5604,4113,24096,12602,328,0,0,0,0,76.56MB,102,True,
TA-4-3,compos,BFS,6474,2917,26681,8713,305172,9778,0,1,2315,341.59MB,29,True,
TA-4-3,compos,RA,1843,350,4018,521,4635,1532,0,1,0,147.55MB,30,True,
TA-4-3,compos,MA,6014,2634,23024,8056,258527,11941,0,1,0,245.38MB,30,True,
TA-4-3,mono,,6528,4765,28036,14866,368,0,0,0,0,70.15MB,96,True,
TA-4-4,compos,BFS,7247,3798,29859,12069,444666,12571,0,1,2463,344.40MB,30,True,
TA-4-4,compos,RA,1950,396,4262,600,5787,1646,0,1,0,259.90MB,37,True,
TA-4-4,compos,MA,6949,3002,27694,9271,412498,14428,0,1,0,217.56MB,31,True,
TA-4-4,mono,,7452,5417,31976,17130,426,0,0,0,0,109.62MB,104,True,
TA-4-5,compos,BFS,8316,4437,34724,14201,563580,15337,0,1,2362,345.69MB,32,True,
TA-4-5,compos,MA,7888,3355,30721,10414,604888,17235,0,1,0,292.24MB,30,True,
TA-4-5,compos,RA,1949,436,4221,666,5507,1615,0,1,0,184.16MB,41,True,
TA-4-5,mono,,8376,6069,35916,19394,511,0,0,0,0,155.76MB,115,True,
TA-4-6,compos,RA,2022,595,4366,997,6377,1687,0,1,0,258.28MB,30,True,
TA-4-6,compos,MA,8758,3787,34711,11861,636099,17858,0,1,0,223.59MB,34,True,
TA-4-6,compos,BFS,9089,4668,37721,15143,666353,15143,0,1,2345,353.36MB,32,True,
TA-4-6,mono,,9300,6721,39856,21658,516,0,0,0,0,172.83MB,114,True,
TA-4-7,compos,BFS,10131,4243,41046,12844,774973,15009,0,1,2984,358.53MB,38,True,
TA-4-7,compos,MA,9033,4170,33653,13013,714213,17596,0,1,0,262.56MB,42,True,
TA-4-7,compos,RA,2311,874,5104,1615,9332,2086,0,1,0,260.99MB,36,True,
TA-4-7,mono,,10224,7373,43796,23922,538,0,0,0,0,167.22MB,150,True,
TA-4-8,compos,RA,2297,863,4927,1559,6984,1887,0,1,0,169.51MB,32,True,
TA-4-8,compos,MA,10608,4793,41925,15057,1116537,22168,0,1,0,268.77MB,33,True,
TA-4-8,compos,BFS,11024,5802,45320,18837,1161615,19102,0,1,3468,360.62MB,42,True,
TA-4-8,mono,,11148,8025,47736,26186,586,0,0,0,0,128.03MB,161,True,
TA-4-9,compos,RA,2965,1234,6517,2350,16061,2628,0,1,0,256.81MB,33,True,
TA-4-9,compos,MA,11302,5160,44124,16210,1419019,25579,0,1,0,275.77MB,33,True,
TA-4-9,compos,BFS,11878,5787,48125,19096,1315926,20118,0,1,3374,368.79MB,31,True,
TA-4-9,mono,,12072,8677,51676,28450,633,0,0,0,0,216.55MB,137,True,
TA-5-1,compos,BFS,,,,,,,,,,,,,TO
TA-5-1,compos,RA,6566,518,15714,742,64360,6535,0,1,0,333.59MB,30,True,
TA-5-1,compos,MA,,,,,,,,,,,,,TO
TA-5-1,mono,,26404,19782,141466,70856,1893,0,0,0,0,726.09MB,240,True,
TA-5-10,compos,RA,11371,3223,27254,6340,522991,12631,0,1,0,419.51MB,34,True,
TA-5-10,mono,,74176,53478,398254,208646,6197,0,0,0,0,1006.91MB,418,True,
TA-5-11,compos,RA,8195,1595,19740,2633,214926,9529,0,1,0,407.09MB,49,True,
TA-5-11,mono,,79484,57222,426786,223956,6638,0,0,0,0,1.29GB,473,True,
TA-5-12,compos,RA,10049,2938,23847,5648,285215,11032,0,1,0,413.71MB,35,True,
TA-5-12,mono,,84792,60966,455318,239266,7023,0,0,0,0,1.86GB,470,True,
TA-5-13,compos,RA,10939,3126,26082,6040,406274,12559,0,1,0,422.10MB,37,True,
TA-5-13,mono,,90100,64710,483850,254576,7915,0,0,0,0,1.23GB,492,True,
TA-5-14,compos,RA,10881,3306,26025,6382,457646,12360,0,1,0,422.04MB,36,True,
TA-5-14,mono,,95408,68454,512382,269886,7938,0,0,0,0,1.24GB,502,True,
TA-5-15,compos,RA,12232,3899,29070,7584,543675,13774,0,1,0,453.95MB,36,True,
TA-5-15,mono,,100716,72198,540914,285196,8753,0,0,0,0,2.37GB,507,True,
TA-5-2,compos,RA,7230,648,17537,988,119696,7649,0,1,0,329.12MB,44,True,
TA-5-2,mono,,31712,23526,169998,86166,2206,0,0,0,0,477.93MB,252,True,
TA-5-3,compos,RA,6407,879,14699,1425,48662,5518,0,1,0,316.86MB,30,True,
TA-5-3,mono,,37020,27270,198530,101476,2563,0,0,0,0,426.66MB,269,True,
TA-5-4,compos,RA,6813,1261,15656,2183,55384,6053,0,1,0,331.95MB,43,True,
TA-5-4,mono,,42328,31014,227062,116786,2794,0,0,0,0,935.85MB,282,True,
TA-5-5,compos,RA,8135,960,19572,1553,158012,8632,0,1,0,401.26MB,46,True,
TA-5-5,mono,,47636,34758,255594,132096,3286,0,0,0,0,1.27GB,315,True,
TA-5-6,compos,RA,8755,1893,21407,3531,283492,9994,0,1,0,342.59MB,33,True,
TA-5-6,mono,,52944,38502,284126,147406,4085,0,0,0,0,1.47GB,334,True,
TA-5-7,compos,RA,9803,2495,23824,4873,387360,11022,0,1,0,412.28MB,33,True,
TA-5-7,mono,,58252,42246,312658,162716,4560,0,0,0,0,2.00GB,354,True,
TA-5-8,compos,RA,10494,2740,25366,5383,380197,11713,0,1,0,350.29MB,34,True,
TA-5-8,mono,,63560,45990,341190,178026,4834,0,0,0,0,2.20GB,380,True,
TA-5-9,compos,RA,9935,2969,24211,5832,328296,11570,0,1,0,351.54MB,35,True,
TA-5-9,mono,,68868,49734,369722,193336,5279,0,0,0,0,1.83GB,410,True,
TA-6-1,compos,RA,23385,956,57879,1357,927667,23813,0,1,0,458.11MB,30,True,
TA-6-1,mono,,146180,112695,944504,467822,15056,0,0,0,0,3.03GB,726,True,
TA-6-10,mono,,411392,304215,2672252,1363484,43417,0,0,0,0,4.87GB,2203,True,
TA-6-11,mono,,440860,325495,2864224,1463002,51152,0,0,0,0,5.45GB,2446,True,
TA-6-12,mono,,470328,346775,3056196,1562520,53535,0,0,0,0,5.39GB,2500,True,
TA-6-13,mono,,499796,368055,3248168,1662038,58903,0,0,0,0,6.10GB,2781,True,
TA-6-14,mono,,529264,389335,3440140,1761556,61469,0,0,0,0,6.64GB,3022,True,
TA-6-15,mono,,558732,410615,3632112,1861074,63780,0,0,0,0,6.72GB,3256,True,
TA-6-2,compos,RA,,,,,,,,,,,,,TO
TA-6-2,mono,,175648,133975,1136476,567340,17008,0,0,0,0,2.66GB,882,True,
TA-6-3,mono,,205116,155255,1328448,666858,18832,0,0,0,0,2.40GB,964,True,
TA-6-4,mono,,234584,176535,1520420,766376,21879,0,0,0,0,2.80GB,1205,True,
TA-6-5,mono,,264052,197815,1712392,865894,22384,0,0,0,0,3.64GB,1308,True,
TA-6-6,mono,,293520,219095,1904364,965412,27510,0,0,0,0,4.02GB,1537,True,
TA-6-7,mono,,322988,240375,2096336,1064930,29847,0,0,0,0,4.10GB,1688,True,
TA-6-8,mono,,352456,261655,2288308,1164448,34095,0,0,0,0,4.03GB,1841,True,
TA-6-9,mono,,381924,282935,2480280,1263966,40770,0,0,0,0,4.50GB,2022,True,
TA-7-1,compos,RA,,,,,,,,,,,,,TO
TA-7-1,mono,,,,,,,,,,,,,,Exception
