testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
CM-1-6,compos,219.0,137.0,316.0,186.0,176.0,25.0,25.0,42.0,5.0,32.11MB,47.0,True,RA,,223.0,RA,655.0,1234.0,0.21,0.33,0.15,0.26,2.0259,2.0259,3.4036,0.4052,1,6,32.11
CM-1-6,compos,591.0,146.0,1029.0,195.0,491.0,147.0,92.0,1.0,53.0,89.37MB,38.0,True,BFS,,529.0,BFS,655.0,1234.0,0.22,0.9,0.16,0.83,11.9125,7.4554,0.081,4.295,1,6,89.37
CM-1-6,compos,353.0,140.0,587.0,188.0,332.0,54.0,77.0,18.0,10.0,130.43MB,40.0,True,MA,,372.0,MA,655.0,1234.0,0.21,0.54,0.15,0.48,4.376,6.2399,1.4587,0.8104,1,6,130.43
CM-1-6,mono,655.0,353.0,1234.0,481.0,48.0,0.0,0.0,0.0,0.0,13.81MB,83.0,True,,,131.0,Monolithic,655.0,1234.0,0.54,1.0,0.39,1.0,0.0,0.0,0.0,0.0,1,6,13.81
CM-1-7,compos,814.0,188.0,1431.0,252.0,837.0,216.0,123.0,1.0,62.0,54.40MB,42.0,True,BFS,,879.0,BFS,875.0,1662.0,0.21,0.93,0.15,0.86,12.9964,7.4007,0.0602,3.7304,1,7,54.4
CM-1-7,compos,337.0,173.0,504.0,237.0,266.0,60.0,30.0,43.0,10.0,65.53MB,44.0,True,RA,,310.0,RA,875.0,1662.0,0.2,0.39,0.14,0.3,3.6101,1.8051,2.5872,0.6017,1,7,65.53
CM-1-7,compos,455.0,178.0,789.0,242.0,483.0,75.0,115.0,15.0,13.0,60.37MB,40.0,True,MA,,523.0,MA,875.0,1662.0,0.2,0.52,0.15,0.47,4.5126,6.9194,0.9025,0.7822,1,7,60.37
CM-1-7,mono,875.0,467.0,1662.0,643.0,63.0,0.0,0.0,0.0,0.0,13.03MB,75.0,True,,,138.0,Monolithic,875.0,1662.0,0.53,1.0,0.39,1.0,0.0,0.0,0.0,0.0,1,7,13.03
CM-1-8,compos,323.0,213.0,475.0,294.0,325.0,35.0,40.0,58.0,5.0,57.45MB,45.0,True,RA,,370.0,RA,1127.0,2154.0,0.19,0.29,0.14,0.22,1.6249,1.857,2.6927,0.2321,1,8,57.45
CM-1-8,compos,569.0,214.0,994.0,292.0,582.0,85.0,157.0,19.0,14.0,16.00MB,45.0,True,MA,,627.0,MA,1127.0,2154.0,0.19,0.5,0.14,0.46,3.9461,7.2888,0.8821,0.65,1,8,16.0
CM-1-8,compos,1051.0,216.0,1888.0,297.0,1576.0,328.0,153.0,1.0,69.0,103.21MB,46.0,True,BFS,,1622.0,BFS,1127.0,2154.0,0.19,0.93,0.14,0.88,15.2275,7.1031,0.0464,3.2033,1,8,103.21
CM-1-8,mono,1127.0,597.0,2154.0,829.0,121.0,0.0,0.0,0.0,0.0,18.21MB,111.0,True,,,232.0,Monolithic,1127.0,2154.0,0.53,1.0,0.38,1.0,0.0,0.0,0.0,0.0,1,8,18.21
CM-1-9,compos,695.0,230.0,1227.0,314.0,714.0,93.0,205.0,26.0,15.0,144.92MB,49.0,True,MA,,763.0,MA,1411.0,2710.0,0.16,0.49,0.12,0.45,3.4317,7.5646,0.9594,0.5535,1,9,144.92
CM-1-9,compos,297.0,257.0,426.0,357.0,351.0,47.0,11.0,57.0,0.0,51.90MB,48.0,True,RA,,399.0,RA,1411.0,2710.0,0.18,0.21,0.13,0.16,1.7343,0.4059,2.1033,0.0,1,9,51.9
CM-1-9,compos,1308.0,275.0,2372.0,375.0,2564.0,427.0,193.0,1.0,77.0,125.43MB,46.0,True,BFS,,2610.0,BFS,1411.0,2710.0,0.19,0.93,0.14,0.88,15.7565,7.1218,0.0369,2.8413,1,9,125.43
CM-1-9,mono,1411.0,743.0,2710.0,1039.0,123.0,0.0,0.0,0.0,0.0,36.26MB,88.0,True,,,211.0,Monolithic,1411.0,2710.0,0.53,1.0,0.38,1.0,0.0,0.0,0.0,0.0,1,9,36.26
CM-2-1,compos,221.0,75.0,364.0,132.0,95.0,48.0,2.0,1.0,112.0,14.00MB,43.0,True,BFS,,138.0,BFS,219.0,512.0,0.34,1.01,0.26,0.71,9.375,0.3906,0.1953,21.875,2,1,14.0
CM-2-1,compos,95.0,75.0,160.0,132.0,142.0,50.0,0.0,1.0,0.0,24.12MB,30.0,True,MA,,172.0,MA,219.0,512.0,0.34,0.43,0.26,0.31,9.7656,0.0,0.1953,0.0,2,1,24.12
CM-2-1,compos,81.0,75.0,144.0,132.0,81.0,43.0,0.0,1.0,0.0,24.97MB,30.0,True,RA,,111.0,RA,219.0,512.0,0.34,0.37,0.26,0.28,8.3984,0.0,0.1953,0.0,2,1,24.97
CM-2-1,mono,219.0,133.0,512.0,204.0,8.0,0.0,0.0,0.0,0.0,10.47MB,68.0,True,,,76.0,Monolithic,219.0,512.0,0.61,1.0,0.4,1.0,0.0,0.0,0.0,0.0,2,1,10.47
CM-2-10,mono,1070091.0,183513.0,3318452.0,346816.0,64150.0,0.0,0.0,0.0,0.0,6.60GB,3806.0,True,,,67956.0,Monolithic,1070091.0,3318452.0,0.17,1.0,0.1,1.0,0.0,0.0,0.0,0.0,2,10,6758.4
CM-2-11,mono,1568699.0,271225.0,4885552.0,518228.0,128609.0,0.0,0.0,0.0,0.0,7.31GB,6963.0,True,,,135572.0,Monolithic,1568699.0,4885552.0,0.17,1.0,0.11,1.0,0.0,0.0,0.0,0.0,2,11,7485.44
CM-2-12,mono,,,,,,,,,,0MB,,,,Exception,-1.0,Monolithic,,,,,,,,,,,2,12,
CM-2-2,compos,1214.0,221.0,2242.0,413.0,891.0,192.0,57.0,1.0,591.0,139.28MB,44.0,True,BFS,,935.0,BFS,1931.0,5044.0,0.11,0.63,0.08,0.44,3.8065,1.1301,0.0198,11.7169,2,2,139.28
CM-2-2,compos,479.0,221.0,806.0,413.0,579.0,144.0,5.0,85.0,80.0,51.92MB,44.0,True,MA,,623.0,MA,1931.0,5044.0,0.11,0.25,0.08,0.16,2.8549,0.0991,1.6852,1.586,2,2,51.92
CM-2-2,compos,243.0,221.0,457.0,413.0,288.0,141.0,0.0,6.0,0.0,58.14MB,43.0,True,RA,,331.0,RA,1931.0,5044.0,0.11,0.13,0.08,0.09,2.7954,0.0,0.119,0.0,2,2,58.14
CM-2-2,mono,1931.0,477.0,5044.0,772.0,65.0,0.0,0.0,0.0,0.0,17.62MB,74.0,True,,,139.0,Monolithic,1931.0,5044.0,0.25,1.0,0.15,1.0,0.0,0.0,0.0,0.0,2,2,17.62
CM-2-3,compos,4848.0,460.0,9808.0,886.0,11623.0,810.0,405.0,1.0,2175.0,311.62MB,39.0,True,BFS,,11662.0,BFS,8891.0,24784.0,0.05,0.55,0.04,0.4,3.2682,1.6341,0.004,8.7758,2,3,311.62
CM-2-3,compos,2449.0,542.0,4850.0,1030.0,3362.0,320.0,378.0,330.0,453.0,233.85MB,38.0,True,MA,,3400.0,MA,8891.0,24784.0,0.06,0.28,0.04,0.2,1.2912,1.5252,1.3315,1.8278,2,3,233.85
CM-2-3,compos,554.0,460.0,1036.0,886.0,601.0,288.0,1.0,34.0,1.0,79.28MB,51.0,True,RA,,652.0,RA,8891.0,24784.0,0.05,0.06,0.04,0.04,1.162,0.004,0.1372,0.004,2,3,79.28
CM-2-3,mono,8891.0,1625.0,24784.0,2612.0,178.0,0.0,0.0,0.0,0.0,53.53MB,131.0,True,,,309.0,Monolithic,8891.0,24784.0,0.18,1.0,0.11,1.0,0.0,0.0,0.0,0.0,2,3,53.53
CM-2-4,compos,15091.0,850.0,33357.0,1643.0,161792.0,2956.0,1377.0,1.0,6120.0,350.69MB,44.0,True,BFS,,161836.0,BFS,27467.0,79436.0,0.03,0.55,0.02,0.42,3.7212,1.7335,0.0013,7.7043,2,4,350.69
CM-2-4,compos,2215.0,806.0,4306.0,1583.0,2560.0,861.0,139.0,276.0,275.0,141.38MB,46.0,True,RA,,2606.0,RA,27467.0,79436.0,0.03,0.08,0.02,0.05,1.0839,0.175,0.3474,0.3462,2,4,141.38
CM-2-4,compos,6403.0,980.0,14534.0,1876.0,19441.0,599.0,1656.0,799.0,1044.0,375.07MB,46.0,True,MA,,19487.0,MA,27467.0,79436.0,0.04,0.23,0.02,0.18,0.7541,2.0847,1.0058,1.3143,2,4,375.07
CM-2-4,mono,27467.0,4609.0,79436.0,7592.0,588.0,0.0,0.0,0.0,0.0,208.17MB,171.0,True,,,759.0,Monolithic,27467.0,79436.0,0.17,1.0,0.1,1.0,0.0,0.0,0.0,0.0,2,4,208.17
CM-2-5,compos,8583.0,1667.0,19738.0,3287.0,56061.0,5530.0,870.0,877.0,1612.0,428.11MB,49.0,True,RA,,56110.0,RA,66651.0,197232.0,0.03,0.13,0.02,0.1,2.8038,0.4411,0.4447,0.8173,2,5,428.11
CM-2-5,compos,14524.0,1471.0,35556.0,2891.0,127717.0,1015.0,4781.0,2190.0,2129.0,404.02MB,59.0,True,MA,,127776.0,MA,66651.0,197232.0,0.02,0.22,0.01,0.18,0.5146,2.424,1.1104,1.0794,2,5,404.02
CM-2-5,compos,34490.0,1317.0,80674.0,2596.0,1455154.0,9179.0,2762.0,1.0,12428.0,464.28MB,51.0,True,BFS,,1455205.0,BFS,66651.0,197232.0,0.02,0.52,0.01,0.41,4.6539,1.4004,0.0005,6.3012,2,5,464.28
CM-2-5,mono,66651.0,10993.0,197232.0,18716.0,1568.0,0.0,0.0,0.0,0.0,683.73MB,277.0,True,,,1845.0,Monolithic,66651.0,197232.0,0.16,1.0,0.09,1.0,0.0,0.0,0.0,0.0,2,5,683.73
CM-2-6,compos,26081.0,2486.0,68072.0,4861.0,640326.0,1283.0,11240.0,2556.0,3055.0,485.10MB,72.0,True,MA,,640398.0,MA,138059.0,414932.0,0.02,0.19,0.01,0.16,0.3092,2.7089,0.616,0.7363,2,6,485.1
CM-2-6,compos,,,,,,,,,,0MB,,,BFS,TO,1800000.0,BFS,138059.0,414932.0,,,,,,,,,2,6,
CM-2-6,compos,18286.0,2212.0,44627.0,4433.0,604528.0,16386.0,130.0,1925.0,3291.0,427.88MB,56.0,True,RA,,604584.0,RA,138059.0,414932.0,0.02,0.13,0.01,0.11,3.9491,0.0313,0.4639,0.7931,2,6,427.88
CM-2-6,mono,138059.0,22825.0,414932.0,40048.0,3900.0,0.0,0.0,0.0,0.0,1.55GB,430.0,True,,,4330.0,Monolithic,138059.0,414932.0,0.17,1.0,0.1,1.0,0.0,0.0,0.0,0.0,2,6,1587.2
CM-2-7,compos,,,,,,,,,,0MB,,,MA,TO,1800000.0,MA,255931.0,777824.0,,,,,,,,,2,7,
CM-2-7,compos,,,,,,,,,,0MB,,,RA,TO,1800000.0,RA,255931.0,777824.0,,,,,,,,,2,7,
CM-2-7,mono,255931.0,42665.0,777824.0,76740.0,8980.0,0.0,0.0,0.0,0.0,1.61GB,716.0,True,,,9696.0,Monolithic,255931.0,777824.0,0.17,1.0,0.1,1.0,0.0,0.0,0.0,0.0,2,7,1648.64
CM-2-8,mono,437131.0,73585.0,1339724.0,135032.0,17191.0,0.0,0.0,0.0,0.0,3.80GB,1219.0,True,,,18410.0,Monolithic,437131.0,1339724.0,0.17,1.0,0.1,1.0,0.0,0.0,0.0,0.0,2,8,3891.2
CM-2-9,mono,701147.0,119169.0,2162976.0,222252.0,35084.0,0.0,0.0,0.0,0.0,4.00GB,2200.0,True,,,37284.0,Monolithic,701147.0,2162976.0,0.17,1.0,0.1,1.0,0.0,0.0,0.0,0.0,2,9,4096.0
CM-3-1,compos,494.0,355.0,1203.0,922.0,1025.0,359.0,0.0,1.0,12.0,147.60MB,35.0,True,MA,,1060.0,MA,1349.0,4370.0,0.26,0.37,0.21,0.28,8.2151,0.0,0.0229,0.2746,3,1,147.6
CM-3-1,compos,1603.0,355.0,3131.0,922.0,1259.0,315.0,5.0,1.0,1147.0,87.37MB,33.0,True,BFS,,1292.0,BFS,1349.0,4370.0,0.26,1.19,0.21,0.72,7.2082,0.1144,0.0229,26.2471,3,1,87.37
CM-3-1,compos,450.0,355.0,1134.0,922.0,605.0,428.0,0.0,1.0,0.0,101.81MB,35.0,True,RA,,640.0,RA,1349.0,4370.0,0.26,0.33,0.21,0.26,9.7941,0.0,0.0229,0.0,3,1,101.81
CM-3-1,mono,1349.0,651.0,4370.0,1288.0,39.0,0.0,0.0,0.0,0.0,14.24MB,80.0,True,,,119.0,Monolithic,1349.0,4370.0,0.48,1.0,0.29,1.0,0.0,0.0,0.0,0.0,3,1,14.24
CM-3-2,compos,4109.0,1681.0,9561.0,4741.0,12211.0,1758.0,16.0,482.0,1386.0,329.91MB,58.0,True,MA,,12269.0,MA,34229.0,123754.0,0.05,0.12,0.04,0.08,1.4206,0.0129,0.3895,1.12,3,2,329.91
CM-3-2,compos,15964.0,1681.0,36789.0,4741.0,107292.0,2130.0,427.0,1.0,10935.0,338.28MB,40.0,True,BFS,,107332.0,BFS,34229.0,123754.0,0.05,0.47,0.04,0.3,1.7212,0.345,0.0008,8.8361,3,2,338.28
