testcase,controllerType,heuristic,comments,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
AT-7-2,mono,,,198146.0,0.0,730927.0,0.0,1258.0,0.0,0.0,0.0,0.0,1.36GB,574.0,False,1832.0,Monolithic,198146.0,730927.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7,2,1392.64
AT-7-3,compos,MA,TO,,,,,,,,,,0MB,,,1800000.0,MA,899154.0,3737343.0,,,,,,,,,7,3,
AT-7-3,compos,BFS,,1956.0,0.0,2551.0,0.0,166.0,0.0,0.0,0.0,277.0,15.92MB,53.0,False,219.0,BFS,899154.0,3737343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,7,3,15.92
AT-7-3,compos,RA,,61388.0,0.0,90314.0,0.0,59913.0,0.0,0.0,0.0,31643.0,518.11MB,51.0,False,59964.0,RA,899154.0,3737343.0,0.0,0.07,0.0,0.02,0.0,0.0,0.0,0.8467,7,3,518.11
AT-7-3,mono,,,899154.0,0.0,3737343.0,0.0,6122.0,0.0,0.0,0.0,0.0,4.88GB,3072.0,False,9194.0,Monolithic,899154.0,3737343.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7,3,4997.12
AT-7-4,compos,BFS,TO,,,,,,,,,,0MB,,,1800000.0,BFS,,,,,,,,,,,7,4,
AT-7-4,compos,RA,,209934.0,0.0,314733.0,0.0,278506.0,0.0,0.0,0.0,118890.0,782.07MB,42.0,False,278548.0,RA,,,,,,,,,,,7,4,782.07
AT-7-4,mono,,Exception,,,,,,,,,,0MB,,,-1.0,Monolithic,,,,,,,,,,,7,4,
AT-7-5,compos,RA,,630588.0,0.0,965612.0,0.0,1176754.0,0.0,0.0,0.0,375853.0,1.49GB,54.0,False,1176808.0,RA,,,,,,,,,,,7,5,1525.76
AT-7-6,compos,RA,TO,,,,,,,,,,0MB,,,1800000.0,RA,,,,,,,,,,,7,6,
AT-8-1,compos,RA,,5.0,0.0,4.0,0.0,65.0,0.0,0.0,0.0,1.0,14.97MB,34.0,False,99.0,RA,82178.0,252433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,8,1,14.97
AT-8-1,compos,BFS,,66.0,0.0,68.0,0.0,25.0,2.0,0.0,0.0,2.0,14.96MB,34.0,False,59.0,BFS,82178.0,252433.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0008,8,1,14.96
AT-8-1,compos,MA,,5.0,0.0,4.0,0.0,57.0,0.0,0.0,0.0,1.0,14.96MB,33.0,False,90.0,MA,82178.0,252433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,8,1,14.96
AT-8-1,mono,,,82178.0,0.0,252433.0,0.0,575.0,0.0,0.0,0.0,0.0,1Bs,311.0,False,886.0,Monolithic,82178.0,252433.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8,1,0.0009765625
AT-8-2,compos,BFS,,6709.0,0.0,10345.0,0.0,8199.0,1040.0,0.0,0.0,417.0,281.14MB,38.0,False,8237.0,BFS,796418.0,3030289.0,0.0,0.01,0.0,0.0,0.0343,0.0,0.0,0.0138,8,2,281.14
AT-8-2,compos,RA,,22411.0,0.0,28766.0,0.0,18989.0,0.0,0.0,0.0,5604.0,271.17MB,52.0,False,19041.0,RA,796418.0,3030289.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.1849,8,2,271.17
AT-8-2,compos,MA,,63511.0,0.0,88660.0,0.0,108451.0,7.0,0.0,0.0,32870.0,643.42MB,38.0,False,108489.0,MA,796418.0,3030289.0,0.0,0.08,0.0,0.03,0.0002,0.0,0.0,1.0847,8,2,643.42
AT-8-2,mono,,,796418.0,0.0,3030289.0,0.0,4784.0,0.0,0.0,0.0,0.0,4.06GB,2422.0,False,7206.0,Monolithic,796418.0,3030289.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8,2,4157.44
