testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments
BW-3-11,compos,5822,488,19768,1251,98778,4731,0,1,2409,279.36MB,30,True,BFS,
BW-3-11,compos,13349,11204,53139,40959,1794054,36425,0,1,0,381.86MB,29,True,RA,
BW-3-11,compos,13825,10348,58337,37812,1788713,27202,0,1,0,378.24MB,29,True,MA,
BW-3-11,mono,13826,13825,64879,49652,368,0,0,0,0,192.49MB,159,True,,
BW-3-12,compos,7542,1020,26440,2722,211514,6412,0,1,3031,341.15MB,30,True,BFS,
BW-3-12,compos,,,,,,,,,,,,,MA,TO
BW-3-12,compos,,,,,,,,,,,,,RA,TO
BW-3-12,mono,17578,17577,82557,63513,447,0,0,0,0,160.20MB,188,True,,
BW-3-13,compos,8346,689,29282,1773,264572,7398,0,1,3268,290.92MB,40,True,BFS,
BW-3-13,mono,21954,21953,103187,79738,546,0,0,0,0,219.23MB,169,True,,
BW-3-14,compos,9823,756,34914,1952,414620,8893,0,1,3745,350.29MB,41,True,BFS,
BW-3-14,mono,27002,27001,126997,98513,615,0,0,0,0,322.74MB,196,True,,
BW-3-15,compos,11456,775,41217,2018,637329,10801,0,1,4256,359.44MB,31,True,BFS,
BW-3-15,mono,32770,32769,154215,120024,790,0,0,0,0,437.68MB,229,True,,
BW-3-2,compos,216,69,584,152,215,242,0,1,0,63.39MB,26,True,RA,
BW-3-2,compos,350,61,770,133,176,65,0,1,231,50.44MB,26,True,BFS,
BW-3-2,compos,217,103,634,237,346,261,0,1,0,102.13MB,31,True,MA,
BW-3-2,mono,218,217,997,593,21,0,0,0,0,14.47MB,65,True,,
BW-3-3,compos,463,262,1314,777,768,748,0,1,0,26.65MB,26,True,RA,
BW-3-3,compos,590,98,1447,223,496,171,0,1,353,54.41MB,26,True,BFS,
BW-3-3,compos,513,188,1746,457,1322,908,0,1,0,95.15MB,36,True,MA,
BW-3-3,mono,514,513,2367,1548,36,0,0,0,0,12.83MB,62,True,,
BW-3-4,compos,987,423,3035,1160,3032,1306,0,1,0,83.41MB,31,True,MA,
BW-3-4,compos,860,181,2679,415,2188,1659,0,1,0,134.05MB,38,True,RA,
BW-3-4,compos,1017,214,2816,548,1511,450,0,1,571,123.28MB,26,True,BFS,
BW-3-4,mono,1002,1001,4637,3193,60,0,0,0,0,18.95MB,87,True,,
BW-3-5,compos,1307,231,3700,590,2413,676,0,1,685,208.26MB,37,True,BFS,
BW-3-5,compos,1728,1059,6453,3475,13058,3207,0,1,0,188.45MB,30,True,MA,
BW-3-5,compos,1716,1357,6203,4678,10752,4013,0,1,0,274.70MB,34,True,RA,
BW-3-5,mono,1730,1729,8035,5714,78,0,0,0,0,35.50MB,68,True,,
BW-3-6,compos,2702,1709,10312,5825,36224,5018,0,1,0,271.38MB,39,True,MA,
BW-3-6,compos,2742,2222,10455,7785,35287,6832,0,1,0,270.26MB,35,True,RA,
BW-3-6,compos,1802,256,5353,628,5037,1037,0,1,903,221.21MB,28,True,BFS,
BW-3-6,mono,2746,2745,12789,9297,106,0,0,0,0,55.90MB,73,True,,
BW-3-7,compos,4097,2713,16242,9451,92958,7864,0,1,0,231.98MB,28,True,MA,
BW-3-7,compos,4059,3390,15602,12090,82415,10349,0,1,0,327.33MB,37,True,RA,
BW-3-7,compos,2346,275,7213,682,9379,1473,0,1,1108,227.37MB,28,True,BFS,
BW-3-7,mono,4098,4097,19127,14128,159,0,0,0,0,41.80MB,78,True,,
BW-3-8,compos,5820,4960,23129,17849,196033,15537,0,1,0,336.81MB,39,True,RA,
BW-3-8,compos,3257,487,10561,1295,22141,2262,0,1,1483,311.39MB,36,True,BFS,
BW-3-8,compos,5465,3388,21674,12040,176419,10156,0,1,0,334.20MB,28,True,MA,
BW-3-8,mono,5834,5833,27277,20393,193,0,0,0,0,57.56MB,100,True,,
BW-3-9,compos,3863,405,12537,1021,33398,2818,0,1,1710,318.23MB,29,True,BFS,
BW-3-9,compos,7948,5627,32483,20284,477250,15165,0,1,0,349.09MB,37,True,MA,
BW-3-9,compos,7658,640,29669,1608,433856,20865,0,1,0,344.17MB,41,True,RA,
BW-3-9,mono,8002,8001,37467,28278,244,0,0,0,0,120.88MB,106,True,,
BW-4-1,compos,652,149,1448,398,352,16,0,1,660,95.84MB,27,True,BFS,
BW-4-1,compos,186,71,387,136,195,171,0,1,0,44.43MB,27,True,RA,
BW-4-1,compos,256,128,741,299,488,350,0,1,0,30.91MB,26,True,MA,
BW-4-1,mono,258,257,1448,704,24,0,0,0,0,15.77MB,81,True,,
BW-4-10,mono,234258,234257,1404422,1065377,6384,0,0,0,0,2.79GB,854,True,,
BW-4-11,mono,331778,331777,1992488,1519744,9274,0,0,0,0,3.95GB,1207,True,,
BW-4-12,mono,456978,456977,2748390,2105873,14509,0,0,0,0,5.09GB,1697,True,,
BW-4-13,mono,614658,614657,3701384,2847056,20219,0,0,0,0,6.34GB,2323,True,,
BW-4-14,mono,,,,,,,,,,,,,,Exception
BW-4-2,compos,1079,322,3542,872,3252,2080,0,1,0,100.18MB,31,True,RA,
BW-4-2,compos,2336,326,5950,892,4419,471,0,1,1584,214.53MB,27,True,BFS,
BW-4-2,compos,1286,548,4486,1583,5992,1831,0,1,1,193.56MB,26,True,MA,
BW-4-2,mono,1298,1297,7430,4513,73,0,0,0,0,28.91MB,76,True,,
BW-4-3,compos,3977,1657,15816,6161,85439,10488,0,1,0,327.16MB,36,True,RA,
BW-4-3,compos,4122,1301,17227,4162,108006,8347,0,1,28,327.57MB,28,True,MA,
BW-4-3,compos,4810,372,13679,959,30402,1883,0,1,2694,313.64MB,36,True,BFS,
BW-4-3,mono,4098,4097,23784,15776,197,0,0,0,0,62.57MB,93,True,,
BW-4-4,compos,6945,342,20721,872,75679,3336,0,1,3528,336.29MB,28,True,BFS,
BW-4-4,compos,10121,5094,46672,20057,1036728,21308,0,1,124,376.25MB,28,True,MA,
BW-4-4,compos,8876,3785,37099,15135,576130,26399,0,1,0,395.88MB,28,True,RA,
BW-4-4,mono,10002,10001,58598,40721,295,0,0,0,0,158.60MB,126,True,,
