testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
DP-11-1,compos,RA,2701.0,2130.0,11995.0,11350.0,3115.0,4.0,0.0,568.0,0.0,135.31MB,33.0,True,,3148.0,RA,,,,,,,,,,,11,1,135.31
DP-11-2,compos,RA,2549.0,2171.0,11811.0,11421.0,3450.0,28.0,6.0,367.0,1.0,117.93MB,32.0,True,,3482.0,RA,,,,,,,,,,,11,2,117.93
DP-11-3,compos,RA,2772.0,2242.0,12199.0,11552.0,3681.0,76.0,45.0,541.0,1.0,93.51MB,33.0,True,,3714.0,RA,,,,,,,,,,,11,3,93.51
DP-11-4,compos,RA,2880.0,2253.0,12307.0,11563.0,3618.0,76.0,45.0,374.0,1.0,154.00MB,34.0,True,,3652.0,RA,,,,,,,,,,,11,4,154.0
DP-11-5,compos,RA,10476.0,2414.0,23695.0,11974.0,121688.0,1696.0,1417.0,1.0,90.0,422.70MB,34.0,True,,121722.0,RA,,,,,,,,,,,11,5,422.7
DP-11-6,compos,RA,14437.0,2515.0,31498.0,12225.0,415016.0,2836.0,3577.0,1.0,106.0,512.58MB,38.0,True,,415054.0,RA,,,,,,,,,,,11,6,512.58
DP-11-7,compos,RA,20449.0,2526.0,39922.0,12236.0,853167.0,3408.0,4500.0,1.0,198.0,531.88MB,35.0,True,,853202.0,RA,,,,,,,,,,,11,7,531.88
DP-11-8,compos,RA,,,,,,,,,,0MB,,,TO,1800000.0,RA,,,,,,,,,,,11,8,
DP-12-1,compos,RA,4464.0,4185.0,24979.0,24669.0,6368.0,4.0,0.0,1829.0,0.0,273.43MB,33.0,True,,6401.0,RA,,,,,,,,,,,12,1,273.43
DP-12-2,compos,RA,4682.0,4227.0,25208.0,24741.0,6740.0,28.0,6.0,770.0,1.0,191.52MB,37.0,True,,6777.0,RA,,,,,,,,,,,12,2,191.52
DP-12-3,compos,RA,4953.0,4309.0,25682.0,24893.0,7460.0,84.0,55.0,1094.0,1.0,217.56MB,34.0,True,,7494.0,RA,,,,,,,,,,,12,3,217.56
DP-12-4,compos,RA,5071.0,4321.0,25800.0,24905.0,6937.0,84.0,55.0,1032.0,1.0,160.75MB,34.0,True,,6971.0,RA,,,,,,,,,,,12,4,160.75
DP-12-5,compos,RA,16865.0,4497.0,42570.0,25338.0,385969.0,2288.0,1652.0,1.0,144.0,528.11MB,35.0,True,,386004.0,RA,,,,,,,,,,,12,5,528.11
DP-12-6,compos,RA,23783.0,4663.0,56946.0,25729.0,1291287.0,4500.0,5890.0,1.0,150.0,562.16MB,41.0,True,,1291328.0,RA,,,,,,,,,,,12,6,562.16
DP-12-7,compos,RA,,,,,,,,,,0MB,,,TO,1800000.0,RA,,,,,,,,,,,12,7,
DP-13-1,compos,RA,8788.0,8288.0,53910.0,53348.0,15956.0,4.0,0.0,2820.0,0.0,377.22MB,33.0,True,,15989.0,RA,,,,,,,,,,,13,1,377.22
DP-13-2,compos,RA,8874.0,8331.0,53976.0,53421.0,15743.0,28.0,6.0,2946.0,1.0,413.00MB,41.0,True,,15784.0,RA,,,,,,,,,,,13,2,413.0
DP-13-3,compos,RA,9198.0,8424.0,54544.0,53594.0,17100.0,92.0,66.0,1746.0,1.0,395.23MB,34.0,True,,17134.0,RA,,,,,,,,,,,13,3,395.23
DP-13-4,compos,RA,9328.0,8437.0,54674.0,53607.0,17238.0,92.0,66.0,1524.0,1.0,406.80MB,49.0,True,,17287.0,RA,,,,,,,,,,,13,4,406.8
DP-13-5,compos,RA,27797.0,8600.0,79696.0,54020.0,1087611.0,3038.0,1907.0,1.0,233.0,682.80MB,34.0,True,,1087645.0,RA,,,,,,,,,,,13,5,682.8
DP-13-6,compos,RA,,,,,,,,,,0MB,,,TO,1800000.0,RA,,,,,,,,,,,13,6,
DP-14-1,compos,RA,17615.0,16487.0,116086.0,114795.0,40599.0,4.0,0.0,1497.0,0.0,723.80MB,35.0,True,,40634.0,RA,,,,,,,,,,,14,1,723.8
DP-14-2,compos,RA,17170.0,16531.0,115520.0,114869.0,40419.0,28.0,6.0,3302.0,1.0,663.97MB,42.0,True,,40461.0,RA,,,,,,,,,,,14,2,663.97
DP-14-3,compos,RA,17551.0,16635.0,116189.0,115063.0,43402.0,100.0,78.0,3900.0,1.0,694.74MB,44.0,True,,43446.0,RA,,,,,,,,,,,14,3,694.74
DP-14-4,compos,RA,17694.0,16649.0,116332.0,115077.0,43091.0,100.0,78.0,1713.0,1.0,727.55MB,42.0,True,,43133.0,RA,,,,,,,,,,,14,4,727.55
DP-14-5,compos,RA,,,,,,,,,,0MB,,,TO,1800000.0,RA,,,,,,,,,,,14,5,
DP-15-1,compos,RA,34183.0,32878.0,247365.0,245874.0,131927.0,4.0,0.0,7011.0,0.0,1.02GB,35.0,True,,131962.0,RA,,,,,,,,,,,15,1,1044.48
DP-15-2,compos,RA,33666.0,32923.0,246704.0,245949.0,132051.0,28.0,6.0,5744.0,1.0,1.02GB,35.0,True,,132086.0,RA,,,,,,,,,,,15,2,1044.48
DP-15-3,compos,RA,34108.0,33038.0,247481.0,246164.0,130690.0,108.0,91.0,6718.0,1.0,1.00GB,36.0,True,,130726.0,RA,,,,,,,,,,,15,3,1024.0
DP-15-4,compos,RA,34265.0,33053.0,247638.0,246179.0,133262.0,108.0,91.0,6397.0,1.0,1.04GB,51.0,True,,133313.0,RA,,,,,,,,,,,15,4,1064.96
DP-15-5,compos,RA,,,,,,,,,,0MB,,,TO,1800000.0,RA,,,,,,,,,,,15,5,
DP-2-1,compos,RA,25.0,23.0,29.0,27.0,37.0,4.0,0.0,1.0,1.0,16.96MB,26.0,True,,63.0,RA,132.0,246.0,0.17,0.19,0.11,0.12,1.626,0.0,0.4065,0.4065,2,1,16.96
DP-2-1,compos,MA,50.0,30.0,70.0,41.0,64.0,4.0,0.0,1.0,7.0,21.92MB,33.0,True,,97.0,MA,132.0,246.0,0.23,0.38,0.17,0.28,1.626,0.0,0.4065,2.8455,2,1,21.92
DP-2-1,compos,BFS,83.0,38.0,128.0,56.0,33.0,15.0,1.0,5.0,8.0,18.48MB,34.0,True,,67.0,BFS,132.0,246.0,0.29,0.63,0.23,0.52,6.0976,0.4065,2.0325,3.252,2,1,18.48
DP-2-1,mono,,132.0,111.0,246.0,193.0,9.0,0.0,0.0,0.0,0.0,9.25MB,58.0,True,,67.0,Monolithic,132.0,246.0,0.84,1.0,0.78,1.0,0.0,0.0,0.0,0.0,2,1,9.25
DP-2-10,compos,MA,685.0,162.0,984.0,279.0,315.0,99.0,2.0,1.0,52.0,125.25MB,26.0,True,,341.0,MA,897.0,1839.0,0.18,0.76,0.15,0.54,5.3834,0.1088,0.0544,2.8276,2,10,125.25
DP-2-10,compos,BFS,451.0,92.0,594.0,137.0,75.0,15.0,1.0,32.0,24.0,14.00MB,27.0,True,,102.0,BFS,897.0,1839.0,0.1,0.5,0.07,0.32,0.8157,0.0544,1.7401,1.3051,2,10,14.0
DP-2-10,compos,RA,52.0,41.0,56.0,45.0,48.0,4.0,0.0,1.0,1.0,18.48MB,27.0,True,,75.0,RA,897.0,1839.0,0.05,0.06,0.02,0.03,0.2175,0.0,0.0544,0.0544,2,10,18.48
DP-2-10,mono,,897.0,291.0,1839.0,499.0,33.0,0.0,0.0,0.0,0.0,9.59MB,71.0,True,,104.0,Monolithic,897.0,1839.0,0.32,1.0,0.27,1.0,0.0,0.0,0.0,0.0,2,10,9.59
DP-2-11,compos,BFS,502.0,98.0,656.0,146.0,110.0,15.0,1.0,35.0,26.0,17.36MB,35.0,True,,145.0,BFS,1032.0,2126.0,0.09,0.49,0.07,0.31,0.7056,0.047,1.6463,1.223,2,11,17.36
DP-2-11,compos,RA,55.0,43.0,59.0,47.0,50.0,4.0,0.0,1.0,1.0,18.96MB,27.0,True,,77.0,RA,1032.0,2126.0,0.04,0.05,0.02,0.03,0.1881,0.0,0.047,0.047,2,11,18.96
