testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
BW-1-11,compos,10.0,5.0,14.0,6.0,13.0,2.0,0.0,1.0,7.0,14.97MB,25.0,True,BFS,,38.0,BFS,26.0,64.0,0.19,0.38,0.09,0.22,3.125,0.0,1.5625,10.9375,1,11,14.97
BW-1-11,mono,26.0,25.0,64.0,36.0,4.0,0.0,0.0,0.0,0.0,7.69MB,66.0,True,,,70.0,Monolithic,26.0,64.0,0.96,1.0,0.56,1.0,0.0,0.0,0.0,0.0,1,11,7.69
BW-1-12,compos,5.0,5.0,6.0,6.0,29.0,2.0,0.0,1.0,0.0,17.45MB,26.0,True,RA,,55.0,RA,28.0,69.0,0.18,0.18,0.09,0.09,2.8986,0.0,1.4493,0.0,1,12,17.45
BW-1-12,compos,5.0,5.0,6.0,6.0,25.0,2.0,0.0,1.0,0.0,16.00MB,35.0,True,MA,,60.0,MA,28.0,69.0,0.18,0.18,0.09,0.09,2.8986,0.0,1.4493,0.0,1,12,16.0
BW-1-12,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.96MB,26.0,True,BFS,,38.0,BFS,28.0,69.0,0.18,0.36,0.09,0.2,2.8986,0.0,1.4493,10.1449,1,12,14.96
BW-1-12,mono,28.0,27.0,69.0,39.0,5.0,0.0,0.0,0.0,0.0,8.06MB,75.0,True,,,80.0,Monolithic,28.0,69.0,0.96,1.0,0.57,1.0,0.0,0.0,0.0,0.0,1,12,8.06
BW-1-13,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.96MB,27.0,True,BFS,,39.0,BFS,30.0,74.0,0.17,0.33,0.08,0.19,2.7027,0.0,1.3514,9.4595,1,13,14.96
BW-1-13,compos,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.92MB,26.0,True,MA,,44.0,MA,30.0,74.0,0.17,0.17,0.08,0.08,2.7027,0.0,1.3514,0.0,1,13,15.92
BW-1-13,compos,5.0,5.0,6.0,6.0,30.0,2.0,0.0,1.0,0.0,17.44MB,34.0,True,RA,,64.0,RA,30.0,74.0,0.17,0.17,0.08,0.08,2.7027,0.0,1.3514,0.0,1,13,17.44
BW-1-13,mono,30.0,29.0,74.0,42.0,3.0,0.0,0.0,0.0,0.0,7.84MB,60.0,True,,,63.0,Monolithic,30.0,74.0,0.97,1.0,0.57,1.0,0.0,0.0,0.0,0.0,1,13,7.84
BW-1-14,compos,10.0,5.0,14.0,6.0,13.0,2.0,0.0,1.0,7.0,15.45MB,26.0,True,BFS,,39.0,BFS,32.0,79.0,0.16,0.31,0.08,0.18,2.5316,0.0,1.2658,8.8608,1,14,15.45
BW-1-14,compos,5.0,5.0,6.0,6.0,39.0,2.0,0.0,1.0,0.0,17.44MB,26.0,True,RA,,65.0,RA,32.0,79.0,0.16,0.16,0.08,0.08,2.5316,0.0,1.2658,0.0,1,14,17.44
BW-1-14,compos,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.92MB,32.0,True,MA,,50.0,MA,32.0,79.0,0.16,0.16,0.08,0.08,2.5316,0.0,1.2658,0.0,1,14,15.92
BW-1-14,mono,32.0,31.0,79.0,45.0,6.0,0.0,0.0,0.0,0.0,8.54MB,61.0,True,,,67.0,Monolithic,32.0,79.0,0.97,1.0,0.57,1.0,0.0,0.0,0.0,0.0,1,14,8.54
BW-1-15,compos,5.0,5.0,6.0,6.0,19.0,2.0,0.0,1.0,0.0,15.92MB,27.0,True,MA,,46.0,MA,34.0,84.0,0.15,0.15,0.07,0.07,2.381,0.0,1.1905,0.0,1,15,15.92
BW-1-15,compos,5.0,5.0,6.0,6.0,41.0,2.0,0.0,1.0,0.0,17.92MB,35.0,True,RA,,76.0,RA,34.0,84.0,0.15,0.15,0.07,0.07,2.381,0.0,1.1905,0.0,1,15,17.92
BW-1-15,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.96MB,26.0,True,BFS,,38.0,BFS,34.0,84.0,0.15,0.29,0.07,0.17,2.381,0.0,1.1905,8.3333,1,15,14.96
BW-1-15,mono,34.0,33.0,84.0,48.0,5.0,0.0,0.0,0.0,0.0,8.12MB,71.0,True,,,76.0,Monolithic,34.0,84.0,0.97,1.0,0.57,1.0,0.0,0.0,0.0,0.0,1,15,8.12
BW-1-2,compos,5.0,5.0,6.0,6.0,16.0,2.0,0.0,1.0,0.0,15.44MB,24.0,True,MA,,40.0,MA,8.0,19.0,0.62,0.62,0.32,0.32,10.5263,0.0,5.2632,0.0,1,2,15.44
BW-1-2,compos,10.0,5.0,14.0,6.0,16.0,2.0,0.0,1.0,7.0,14.96MB,31.0,True,BFS,,47.0,BFS,8.0,19.0,0.62,1.25,0.32,0.74,10.5263,0.0,5.2632,36.8421,1,2,14.96
BW-1-2,compos,5.0,5.0,6.0,6.0,17.0,2.0,0.0,1.0,0.0,15.44MB,24.0,True,RA,,41.0,RA,8.0,19.0,0.62,0.62,0.32,0.32,10.5263,0.0,5.2632,0.0,1,2,15.44
BW-1-2,mono,8.0,7.0,19.0,9.0,2.0,0.0,0.0,0.0,0.0,7.63MB,57.0,True,,,59.0,Monolithic,8.0,19.0,0.88,1.0,0.47,1.0,0.0,0.0,0.0,0.0,1,2,7.63
BW-1-3,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.49MB,34.0,True,BFS,,46.0,BFS,10.0,24.0,0.5,1.0,0.25,0.58,8.3333,0.0,4.1667,29.1667,1,3,14.49
BW-1-3,compos,5.0,5.0,6.0,6.0,16.0,2.0,0.0,1.0,0.0,15.45MB,24.0,True,MA,,40.0,MA,10.0,24.0,0.5,0.5,0.25,0.25,8.3333,0.0,4.1667,0.0,1,3,15.45
BW-1-3,compos,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.45MB,24.0,True,RA,,42.0,RA,10.0,24.0,0.5,0.5,0.25,0.25,8.3333,0.0,4.1667,0.0,1,3,15.45
BW-1-3,mono,10.0,9.0,24.0,12.0,2.0,0.0,0.0,0.0,0.0,7.51MB,53.0,True,,,55.0,Monolithic,10.0,24.0,0.9,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1,3,7.51
BW-1-4,compos,10.0,5.0,14.0,6.0,16.0,2.0,0.0,1.0,7.0,14.96MB,35.0,True,BFS,,51.0,BFS,12.0,29.0,0.42,0.83,0.21,0.48,6.8966,0.0,3.4483,24.1379,1,4,14.96
BW-1-4,compos,5.0,5.0,6.0,6.0,17.0,2.0,0.0,1.0,0.0,15.44MB,25.0,True,MA,,42.0,MA,12.0,29.0,0.42,0.42,0.21,0.21,6.8966,0.0,3.4483,0.0,1,4,15.44
BW-1-4,compos,5.0,5.0,6.0,6.0,19.0,2.0,0.0,1.0,0.0,15.47MB,31.0,True,RA,,50.0,RA,12.0,29.0,0.42,0.42,0.21,0.21,6.8966,0.0,3.4483,0.0,1,4,15.47
BW-1-4,mono,12.0,11.0,29.0,15.0,3.0,0.0,0.0,0.0,0.0,7.63MB,57.0,True,,,60.0,Monolithic,12.0,29.0,0.92,1.0,0.52,1.0,0.0,0.0,0.0,0.0,1,4,7.63
BW-1-5,compos,5.0,5.0,6.0,6.0,27.0,2.0,0.0,1.0,0.0,15.93MB,30.0,True,RA,,57.0,RA,14.0,34.0,0.36,0.36,0.18,0.18,5.8824,0.0,2.9412,0.0,1,5,15.93
BW-1-5,compos,5.0,5.0,6.0,6.0,24.0,2.0,0.0,1.0,0.0,15.92MB,35.0,True,MA,,59.0,MA,14.0,34.0,0.36,0.36,0.18,0.18,5.8824,0.0,2.9412,0.0,1,5,15.92
BW-1-5,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.50MB,24.0,True,BFS,,36.0,BFS,14.0,34.0,0.36,0.71,0.18,0.41,5.8824,0.0,2.9412,20.5882,1,5,14.5
BW-1-5,mono,14.0,13.0,34.0,18.0,3.0,0.0,0.0,0.0,0.0,7.63MB,58.0,True,,,61.0,Monolithic,14.0,34.0,0.93,1.0,0.53,1.0,0.0,0.0,0.0,0.0,1,5,7.63
BW-1-6,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.51MB,25.0,True,BFS,,37.0,BFS,16.0,39.0,0.31,0.62,0.15,0.36,5.1282,0.0,2.5641,17.9487,1,6,14.51
BW-1-6,compos,5.0,5.0,6.0,6.0,23.0,2.0,0.0,1.0,0.0,16.48MB,25.0,True,RA,,48.0,RA,16.0,39.0,0.31,0.31,0.15,0.15,5.1282,0.0,2.5641,0.0,1,6,16.48
BW-1-6,compos,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.92MB,24.0,True,MA,,42.0,MA,16.0,39.0,0.31,0.31,0.15,0.15,5.1282,0.0,2.5641,0.0,1,6,15.92
BW-1-6,mono,16.0,15.0,39.0,21.0,4.0,0.0,0.0,0.0,0.0,7.65MB,59.0,True,,,63.0,Monolithic,16.0,39.0,0.94,1.0,0.54,1.0,0.0,0.0,0.0,0.0,1,6,7.65
BW-1-7,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.50MB,25.0,True,BFS,,37.0,BFS,18.0,44.0,0.28,0.56,0.14,0.32,4.5455,0.0,2.2727,15.9091,1,7,14.5
BW-1-7,compos,5.0,5.0,6.0,6.0,24.0,2.0,0.0,1.0,0.0,16.48MB,24.0,True,RA,,48.0,RA,18.0,44.0,0.28,0.28,0.14,0.14,4.5455,0.0,2.2727,0.0,1,7,16.48
BW-1-7,compos,5.0,5.0,6.0,6.0,17.0,2.0,0.0,1.0,0.0,15.44MB,35.0,True,MA,,52.0,MA,18.0,44.0,0.28,0.28,0.14,0.14,4.5455,0.0,2.2727,0.0,1,7,15.44
BW-1-7,mono,18.0,17.0,44.0,24.0,4.0,0.0,0.0,0.0,0.0,7.69MB,67.0,True,,,71.0,Monolithic,18.0,44.0,0.94,1.0,0.55,1.0,0.0,0.0,0.0,0.0,1,7,7.69
BW-1-8,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.48MB,25.0,True,BFS,,37.0,BFS,20.0,49.0,0.25,0.5,0.12,0.29,4.0816,0.0,2.0408,14.2857,1,8,14.48
BW-1-8,compos,5.0,5.0,6.0,6.0,25.0,2.0,0.0,1.0,0.0,15.93MB,35.0,True,MA,,60.0,MA,20.0,49.0,0.25,0.25,0.12,0.12,4.0816,0.0,2.0408,0.0,1,8,15.93
BW-1-8,compos,5.0,5.0,6.0,6.0,23.0,2.0,0.0,1.0,0.0,16.48MB,25.0,True,RA,,48.0,RA,20.0,49.0,0.25,0.25,0.12,0.12,4.0816,0.0,2.0408,0.0,1,8,16.48
BW-1-8,mono,20.0,19.0,49.0,27.0,4.0,0.0,0.0,0.0,0.0,7.62MB,66.0,True,,,70.0,Monolithic,20.0,49.0,0.95,1.0,0.55,1.0,0.0,0.0,0.0,0.0,1,8,7.62
BW-1-9,compos,5.0,5.0,6.0,6.0,26.0,2.0,0.0,1.0,0.0,16.48MB,28.0,True,RA,,54.0,RA,22.0,54.0,0.23,0.23,0.11,0.11,3.7037,0.0,1.8519,0.0,1,9,16.48
BW-1-9,compos,10.0,5.0,14.0,6.0,12.0,2.0,0.0,1.0,7.0,14.96MB,26.0,True,BFS,,38.0,BFS,22.0,54.0,0.23,0.45,0.11,0.26,3.7037,0.0,1.8519,12.963,1,9,14.96
BW-1-9,compos,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.44MB,26.0,True,MA,,44.0,MA,22.0,54.0,0.23,0.23,0.11,0.11,3.7037,0.0,1.8519,0.0,1,9,15.44
BW-1-9,mono,22.0,21.0,54.0,30.0,2.0,0.0,0.0,0.0,0.0,7.83MB,55.0,True,,,57.0,Monolithic,22.0,54.0,0.95,1.0,0.56,1.0,0.0,0.0,0.0,0.0,1,9,7.83
BW-10-1,mono,,,,,,,,,,0MB,,,,Exception,-1.0,Monolithic,,,,,,,,,,,10,1,
BW-2-1,compos,15.0,11.0,21.0,14.0,38.0,5.0,0.0,1.0,0.0,16.96MB,34.0,True,MA,,72.0,MA,18.0,62.0,0.61,0.83,0.23,0.34,8.0645,0.0,1.6129,0.0,2,1,16.96
BW-2-1,compos,13.0,11.0,17.0,14.0,35.0,4.0,0.0,1.0,0.0,16.48MB,25.0,True,RA,,60.0,RA,18.0,62.0,0.61,0.72,0.23,0.27,6.4516,0.0,1.6129,0.0,2,1,16.48
BW-2-1,compos,38.0,17.0,62.0,28.0,21.0,4.0,0.0,1.0,32.0,16.00MB,25.0,True,BFS,,46.0,BFS,18.0,62.0,0.94,2.11,0.45,1.0,6.4516,0.0,1.6129,51.6129,2,1,16.0
BW-2-1,mono,18.0,17.0,62.0,28.0,3.0,0.0,0.0,0.0,0.0,7.83MB,53.0,True,,,56.0,Monolithic,18.0,62.0,0.94,1.0,0.45,1.0,0.0,0.0,0.0,0.0,2,1,7.83
BW-2-10,compos,454.0,381.0,1324.0,966.0,956.0,736.0,0.0,1.0,0.0,150.46MB,33.0,True,MA,,989.0,MA,486.0,1700.0,0.78,0.93,0.57,0.78,43.2941,0.0,0.0588,0.0,2,10,150.46
BW-2-10,compos,389.0,262.0,1096.0,643.0,528.0,289.0,0.0,1.0,192.0,61.18MB,39.0,True,BFS,,567.0,BFS,486.0,1700.0,0.54,0.8,0.38,0.64,17.0,0.0,0.0588,11.2941,2,10,61.18
BW-2-10,compos,424.0,51.0,1158.0,78.0,713.0,705.0,0.0,1.0,0.0,18.07MB,27.0,True,RA,,740.0,RA,486.0,1700.0,0.1,0.87,0.05,0.68,41.4706,0.0,0.0588,0.0,2,10,18.07
BW-2-10,mono,486.0,485.0,1700.0,1225.0,32.0,0.0,0.0,0.0,0.0,18.67MB,69.0,True,,,101.0,Monolithic,486.0,1700.0,1.0,1.0,0.72,1.0,0.0,0.0,0.0,0.0,2,10,18.67
BW-2-11,compos,577.0,455.0,1702.0,1165.0,1352.0,947.0,0.0,1.0,0.0,125.94MB,27.0,True,MA,,1379.0,MA,578.0,2022.0,0.79,1.0,0.58,0.84,46.8348,0.0,0.0495,0.0,2,11,125.94
BW-2-11,compos,510.0,54.0,1428.0,83.0,985.0,896.0,0.0,1.0,0.0,59.61MB,27.0,True,RA,,1012.0,RA,578.0,2022.0,0.09,0.88,0.04,0.71,44.3126,0.0,0.0495,0.0,2,11,59.61
BW-2-11,compos,428.0,270.0,1206.0,659.0,548.0,316.0,0.0,1.0,204.0,90.06MB,27.0,True,BFS,,575.0,BFS,578.0,2022.0,0.47,0.74,0.33,0.6,15.6281,0.0,0.0495,10.089,2,11,90.06
BW-2-11,mono,578.0,577.0,2022.0,1468.0,29.0,0.0,0.0,0.0,0.0,9.81MB,70.0,True,,,99.0,Monolithic,578.0,2022.0,1.0,1.0,0.73,1.0,0.0,0.0,0.0,0.0,2,11,9.81
BW-2-12,compos,596.0,506.0,1690.0,1299.0,2148.0,1076.0,0.0,1.0,0.0,170.93MB,28.0,True,RA,,2176.0,RA,678.0,2372.0,0.75,0.88,0.55,0.71,45.3626,0.0,0.0422,0.0,2,12,170.93
BW-2-12,compos,677.0,583.0,2009.0,1510.0,1704.0,1126.0,0.0,1.0,0.0,148.88MB,28.0,True,MA,,1732.0,MA,678.0,2372.0,0.86,1.0,0.64,0.85,47.4705,0.0,0.0422,0.0,2,12,148.88
BW-2-12,compos,489.0,321.0,1400.0,789.0,764.0,376.0,0.0,1.0,227.0,47.62MB,35.0,True,BFS,,799.0,BFS,678.0,2372.0,0.47,0.72,0.33,0.59,15.8516,0.0,0.0422,9.57,2,12,47.62
BW-2-12,mono,678.0,677.0,2372.0,1733.0,37.0,0.0,0.0,0.0,0.0,14.07MB,77.0,True,,,114.0,Monolithic,678.0,2372.0,1.0,1.0,0.73,1.0,0.0,0.0,0.0,0.0,2,12,14.07
BW-2-13,compos,708.0,618.0,2039.0,1601.0,3535.0,1310.0,0.0,1.0,0.0,169.49MB,29.0,True,RA,,3564.0,RA,786.0,2750.0,0.79,0.9,0.58,0.74,47.6364,0.0,0.0364,0.0,2,13,169.49
BW-2-13,compos,785.0,59.0,2345.0,86.0,2583.0,1323.0,0.0,1.0,0.0,125.67MB,28.0,True,MA,,2611.0,MA,786.0,2750.0,0.08,1.0,0.03,0.85,48.1091,0.0,0.0364,0.0,2,13,125.67
BW-2-13,compos,554.0,373.0,1606.0,925.0,915.0,440.0,0.0,1.0,251.0,23.07MB,37.0,True,BFS,,952.0,BFS,786.0,2750.0,0.47,0.7,0.34,0.58,16.0,0.0,0.0364,9.1273,2,13,23.07
BW-2-13,mono,786.0,785.0,2750.0,2020.0,34.0,0.0,0.0,0.0,0.0,15.04MB,74.0,True,,,108.0,Monolithic,786.0,2750.0,1.0,1.0,0.73,1.0,0.0,0.0,0.0,0.0,2,13,15.04
BW-2-14,compos,623.0,429.0,1822.0,1072.0,1177.0,511.0,0.0,1.0,276.0,69.90MB,41.0,True,BFS,,1218.0,BFS,902.0,3156.0,0.48,0.69,0.34,0.58,16.1914,0.0,0.0317,8.7452,2,14,69.9
BW-2-14,compos,530.0,67.0,1393.0,102.0,935.0,638.0,0.0,1.0,0.0,134.48MB,35.0,True,RA,,970.0,RA,902.0,3156.0,0.07,0.59,0.03,0.44,20.2155,0.0,0.0317,0.0,2,14,134.48
BW-2-14,compos,901.0,747.0,2714.0,1947.0,3053.0,1531.0,0.0,1.0,0.0,180.37MB,32.0,True,MA,,3085.0,MA,902.0,3156.0,0.83,1.0,0.62,0.86,48.5108,0.0,0.0317,0.0,2,14,180.37
BW-2-14,mono,902.0,901.0,3156.0,2329.0,39.0,0.0,0.0,0.0,0.0,16.19MB,68.0,True,,,107.0,Monolithic,902.0,3156.0,1.0,1.0,0.74,1.0,0.0,0.0,0.0,0.0,2,14,16.19
BW-2-15,compos,967.0,907.0,2933.0,2380.0,3610.0,1667.0,0.0,1.0,0.0,112.93MB,29.0,True,MA,,3639.0,MA,1026.0,3590.0,0.88,0.94,0.66,0.82,46.4345,0.0,0.0279,0.0,2,15,112.93
BW-2-15,compos,696.0,489.0,2058.0,1230.0,1470.0,584.0,0.0,1.0,302.0,92.15MB,28.0,True,BFS,,1498.0,BFS,1026.0,3590.0,0.48,0.68,0.34,0.57,16.2674,0.0,0.0279,8.4123,2,15,92.15
BW-2-15,compos,598.0,71.0,1587.0,108.0,1148.0,733.0,0.0,1.0,0.0,108.85MB,29.0,True,RA,,1177.0,RA,1026.0,3590.0,0.07,0.58,0.03,0.44,20.4178,0.0,0.0279,0.0,2,15,108.85
BW-2-15,mono,1026.0,1025.0,3590.0,2660.0,47.0,0.0,0.0,0.0,0.0,17.05MB,86.0,True,,,133.0,Monolithic,1026.0,3590.0,1.0,1.0,0.74,1.0,0.0,0.0,0.0,0.0,2,15,17.05
BW-2-2,compos,37.0,15.0,79.0,20.0,61.0,36.0,0.0,1.0,0.0,20.96MB,24.0,True,MA,,85.0,MA,38.0,132.0,0.39,0.97,0.15,0.6,27.2727,0.0,0.7576,0.0,2,2,20.96
BW-2-2,compos,34.0,23.0,66.0,40.0,56.0,19.0,0.0,1.0,0.0,17.92MB,36.0,True,RA,,92.0,RA,38.0,132.0,0.61,0.89,0.3,0.5,14.3939,0.0,0.7576,0.0,2,2,17.92
BW-2-2,compos,59.0,18.0,110.0,29.0,30.0,11.0,0.0,1.0,42.0,17.44MB,25.0,True,BFS,,55.0,BFS,38.0,132.0,0.47,1.55,0.22,0.83,8.3333,0.0,0.7576,31.8182,2,2,17.44
BW-2-2,mono,38.0,37.0,132.0,73.0,4.0,0.0,0.0,0.0,0.0,7.98MB,68.0,True,,,72.0,Monolithic,38.0,132.0,0.97,1.0,0.55,1.0,0.0,0.0,0.0,0.0,2,2,7.98
BW-2-3,compos,55.0,43.0,125.0,88.0,71.0,53.0,0.0,1.0,0.0,25.44MB,35.0,True,MA,,106.0,MA,66.0,230.0,0.65,0.83,0.38,0.54,23.0435,0.0,0.4348,0.0,2,3,25.44
BW-2-3,compos,84.0,33.0,176.0,60.0,53.0,25.0,0.0,1.0,56.0,20.48MB,32.0,True,BFS,,85.0,BFS,66.0,230.0,0.5,1.27,0.26,0.77,10.8696,0.0,0.4348,24.3478,2,3,20.48
BW-2-3,compos,46.0,23.0,90.0,36.0,66.0,32.0,0.0,1.0,0.0,19.44MB,32.0,True,RA,,98.0,RA,66.0,230.0,0.35,0.7,0.16,0.39,13.913,0.0,0.4348,0.0,2,3,19.44
BW-2-3,mono,66.0,65.0,230.0,140.0,7.0,0.0,0.0,0.0,0.0,8.97MB,69.0,True,,,76.0,Monolithic,66.0,230.0,0.98,1.0,0.61,1.0,0.0,0.0,0.0,0.0,2,3,8.97
BW-2-4,compos,81.0,23.0,174.0,32.0,74.0,78.0,0.0,1.0,0.0,23.92MB,26.0,True,RA,,100.0,RA,102.0,356.0,0.23,0.79,0.09,0.49,21.9101,0.0,0.2809,0.0,2,4,23.92
BW-2-4,compos,87.0,71.0,216.0,158.0,128.0,100.0,0.0,1.0,0.0,15.13MB,25.0,True,MA,,153.0,MA,102.0,356.0,0.7,0.85,0.44,0.61,28.0899,0.0,0.2809,0.0,2,4,15.13
BW-2-4,compos,113.0,49.0,256.0,97.0,63.0,44.0,0.0,1.0,71.0,25.92MB,25.0,True,BFS,,88.0,BFS,102.0,356.0,0.48,1.11,0.27,0.72,12.3596,0.0,0.2809,19.9438,2,4,25.92
BW-2-4,mono,102.0,101.0,356.0,229.0,10.0,0.0,0.0,0.0,0.0,10.28MB,57.0,True,,,67.0,Monolithic,102.0,356.0,0.99,1.0,0.64,1.0,0.0,0.0,0.0,0.0,2,4,10.28
BW-2-5,compos,146.0,66.0,350.0,140.0,85.0,68.0,0.0,1.0,87.0,14.00MB,33.0,True,BFS,,118.0,BFS,146.0,510.0,0.45,1.0,0.27,0.69,13.3333,0.0,0.1961,17.0588,2,5,14.0
BW-2-5,compos,120.0,35.0,282.0,58.0,119.0,145.0,0.0,1.0,0.0,16.43MB,26.0,True,RA,,145.0,RA,146.0,510.0,0.24,0.82,0.11,0.55,28.4314,0.0,0.1961,0.0,2,5,16.43
BW-2-5,compos,145.0,103.0,384.0,239.0,184.0,198.0,0.0,1.0,0.0,48.15MB,26.0,True,MA,,210.0,MA,146.0,510.0,0.71,0.99,0.47,0.75,38.8235,0.0,0.1961,0.0,2,5,48.15
BW-2-5,mono,146.0,145.0,510.0,340.0,14.0,0.0,0.0,0.0,0.0,11.13MB,63.0,True,,,77.0,Monolithic,146.0,510.0,0.99,1.0,0.67,1.0,0.0,0.0,0.0,0.0,2,5,11.13
BW-2-6,compos,153.0,31.0,363.0,44.0,139.0,193.0,0.0,1.0,0.0,30.51MB,26.0,True,RA,,165.0,RA,198.0,692.0,0.16,0.77,0.06,0.52,27.8902,0.0,0.1445,0.0,2,6,30.51
BW-2-6,compos,175.0,151.0,476.0,364.0,246.0,237.0,0.0,1.0,0.0,75.16MB,26.0,True,MA,,272.0,MA,198.0,692.0,0.76,0.88,0.53,0.69,34.2486,0.0,0.1445,0.0,2,6,75.16
BW-2-6,compos,183.0,90.0,454.0,199.0,117.0,93.0,0.0,1.0,104.0,26.25MB,26.0,True,BFS,,143.0,BFS,198.0,692.0,0.45,0.92,0.29,0.66,13.4393,0.0,0.1445,15.0289,2,6,26.25
BW-2-6,mono,198.0,197.0,692.0,473.0,12.0,0.0,0.0,0.0,0.0,12.11MB,59.0,True,,,71.0,Monolithic,198.0,692.0,0.99,1.0,0.68,1.0,0.0,0.0,0.0,0.0,2,6,12.11
BW-2-7,compos,231.0,203.0,645.0,500.0,375.0,332.0,0.0,1.0,0.0,131.17MB,27.0,True,MA,,402.0,MA,258.0,902.0,0.79,0.9,0.55,0.72,36.8071,0.0,0.1109,0.0,2,7,131.17
BW-2-7,compos,226.0,38.0,588.0,59.0,316.0,343.0,0.0,1.0,0.0,89.53MB,37.0,True,RA,,353.0,RA,258.0,902.0,0.15,0.88,0.07,0.65,38.0266,0.0,0.1109,0.0,2,7,89.53
BW-2-7,compos,224.0,118.0,578.0,269.0,160.0,131.0,0.0,1.0,122.0,48.27MB,26.0,True,BFS,,186.0,BFS,258.0,902.0,0.46,0.87,0.3,0.64,14.5233,0.0,0.1109,13.5255,2,7,48.27
BW-2-7,mono,258.0,257.0,902.0,628.0,20.0,0.0,0.0,0.0,0.0,13.47MB,74.0,True,,,94.0,Monolithic,258.0,902.0,1.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,2,7,13.47
