testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments
CM-1-7,mono,875,467,1662,643,63,0,0,0,0,13.03MB,75,True,,
CM-1-8,compos,323,213,475,294,325,35,40,58,5,57.45MB,45,True,RA,
CM-1-8,compos,569,214,994,292,582,85,157,19,14,16.00MB,45,True,MA,
CM-1-8,compos,1051,216,1888,297,1576,328,153,1,69,103.21MB,46,True,BFS,
CM-1-8,mono,1127,597,2154,829,121,0,0,0,0,18.21MB,111,True,,
CM-1-9,compos,695,230,1227,314,714,93,205,26,15,144.92MB,49,True,MA,
CM-1-9,compos,297,257,426,357,351,47,11,57,0,51.90MB,48,True,RA,
CM-1-9,compos,1308,275,2372,375,2564,427,193,1,77,125.43MB,46,True,BFS,
CM-1-9,mono,1411,743,2710,1039,123,0,0,0,0,36.26MB,88,True,,
CM-2-1,compos,221,75,364,132,95,48,2,1,112,14.00MB,43,True,BFS,
CM-2-1,compos,95,75,160,132,142,50,0,1,0,24.12MB,30,True,MA,
CM-2-1,compos,81,75,144,132,81,43,0,1,0,24.97MB,30,True,RA,
CM-2-1,mono,219,133,512,204,8,0,0,0,0,10.47MB,68,True,,
CM-2-10,mono,1070091,183513,3318452,346816,64150,0,0,0,0,6.60GB,3806,True,,
CM-2-11,mono,1568699,271225,4885552,518228,128609,0,0,0,0,7.31GB,6963,True,,
CM-2-12,mono,,,,,,,,,,,,,,Exception
CM-2-2,compos,1214,221,2242,413,891,192,57,1,591,139.28MB,44,True,BFS,
CM-2-2,compos,479,221,806,413,579,144,5,85,80,51.92MB,44,True,MA,
CM-2-2,compos,243,221,457,413,288,141,0,6,0,58.14MB,43,True,RA,
CM-2-2,mono,1931,477,5044,772,65,0,0,0,0,17.62MB,74,True,,
CM-2-3,compos,4848,460,9808,886,11623,810,405,1,2175,311.62MB,39,True,BFS,
CM-2-3,compos,2449,542,4850,1030,3362,320,378,330,453,233.85MB,38,True,MA,
CM-2-3,compos,554,460,1036,886,601,288,1,34,1,79.28MB,51,True,RA,
CM-2-3,mono,8891,1625,24784,2612,178,0,0,0,0,53.53MB,131,True,,
CM-2-4,compos,15091,850,33357,1643,161792,2956,1377,1,6120,350.69MB,44,True,BFS,
CM-2-4,compos,2215,806,4306,1583,2560,861,139,276,275,141.38MB,46,True,RA,
CM-2-4,compos,6403,980,14534,1876,19441,599,1656,799,1044,375.07MB,46,True,MA,
CM-2-4,mono,27467,4609,79436,7592,588,0,0,0,0,208.17MB,171,True,,
CM-2-5,compos,8583,1667,19738,3287,56061,5530,870,877,1612,428.11MB,49,True,RA,
CM-2-5,compos,14524,1471,35556,2891,127717,1015,4781,2190,2129,404.02MB,59,True,MA,
CM-2-5,compos,34490,1317,80674,2596,1455154,9179,2762,1,12428,464.28MB,51,True,BFS,
CM-2-5,mono,66651,10993,197232,18716,1568,0,0,0,0,683.73MB,277,True,,
CM-2-6,compos,26081,2486,68072,4861,640326,1283,11240,2556,3055,485.10MB,72,True,MA,
CM-2-6,compos,,,,,,,,,,,,,BFS,TO
CM-2-6,compos,18286,2212,44627,4433,604528,16386,130,1925,3291,427.88MB,56,True,RA,
CM-2-6,mono,138059,22825,414932,40048,3900,0,0,0,0,1.55GB,430,True,,
CM-2-7,compos,,,,,,,,,,,,,MA,TO
CM-2-7,compos,,,,,,,,,,,,,RA,TO
CM-2-7,mono,255931,42665,777824,76740,8980,0,0,0,0,1.61GB,716,True,,
CM-2-8,mono,437131,73585,1339724,135032,17191,0,0,0,0,3.80GB,1219,True,,
CM-2-9,mono,701147,119169,2162976,222252,35084,0,0,0,0,4.00GB,2200,True,,
CM-3-1,compos,494,355,1203,922,1025,359,0,1,12,147.60MB,35,True,MA,
CM-3-1,compos,1603,355,3131,922,1259,315,5,1,1147,87.37MB,33,True,BFS,
CM-3-1,compos,450,355,1134,922,605,428,0,1,0,101.81MB,35,True,RA,
CM-3-1,mono,1349,651,4370,1288,39,0,0,0,0,14.24MB,80,True,,
CM-3-2,compos,4109,1681,9561,4741,12211,1758,16,482,1386,329.91MB,58,True,MA,
CM-3-2,compos,15964,1681,36789,4741,107292,2130,427,1,10935,338.28MB,40,True,BFS,
CM-3-2,compos,6238,1681,15676,4741,14669,2420,1357,90,2839,407.89MB,40,True,RA,
CM-3-2,mono,34229,3717,123754,7786,469,0,0,0,0,265.13MB,209,True,,
CM-3-3,compos,,,,,,,,,,,,,MA,TO
CM-3-3,compos,31490,4729,81861,13812,667865,18943,3125,514,12871,539.67MB,51,True,RA,
CM-3-3,compos,,,,,,,,,,,,,BFS,TO
CM-3-3,mono,359605,20519,1406590,40610,4914,0,0,0,0,2.42GB,1098,True,,
CM-3-4,compos,,,,,,,,,,,,,RA,TO
CM-3-4,mono,,,,,,,,,,,,,,Exception
CM-4-1,compos,2759,1787,9050,6620,21673,2818,0,1,84,286.37MB,41,True,MA,
CM-4-1,compos,11850,1787,25487,6620,53112,2074,12,1,9362,325.34MB,39,True,BFS,
CM-4-1,compos,2655,1787,8828,6620,15668,3604,0,1,0,293.10MB,41,True,RA,
CM-4-1,mono,8175,3373,34136,8508,177,0,0,0,0,82.41MB,112,True,,
CM-4-2,compos,,,,,,,,,,,,,RA,TO
CM-4-2,compos,,,,,,,,,,,,,BFS,TO
CM-4-2,compos,,,,,,,,,,,,,MA,TO
CM-4-2,mono,545087,30093,2535044,81160,7997,0,0,0,0,3.68GB,1868,True,,
CM-4-3,mono,,,,,,,,,,,,,,Exception
CM-5-1,compos,,,,,,,,,,,,,BFS,TO
CM-5-1,compos,15744,9483,65362,47310,1252451,34215,0,1,0,388.15MB,48,True,RA,
CM-5-1,compos,16032,9483,66197,47310,1584263,22089,0,1,350,441.22MB,41,True,MA,
CM-5-1,mono,49085,18387,251610,57412,885,0,0,0,0,505.47MB,312,True,,
CM-5-2,compos,,,,,,,,,,,,,MA,TO
CM-5-2,compos,,,,,,,,,,,,,RA,TO
CM-5-2,mono,,,,,,,,,,,,,,Exception
CM-6-1,compos,,,,,,,,,,,,,MA,TO
CM-6-1,compos,,,,,,,,,,,,,RA,TO
CM-6-1,mono,293439,103813,1785764,388980,5513,0,0,0,0,2.70GB,1346,True,,
CM-6-2,mono,,,,,,,,,,,,,,Exception
CM-7-1,mono,,,,,,,,,,,,,,Exception
