,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
45,105,25,159,29,200,24,2,1,14,24.66,28.0,new,experiments/results/DP_2_2/TB_5mill_bs100/45.onnx,DP,2,2,7146.564169883728,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,45
46,37,28,47,35,179,5,0,1,4,17.62,9.0,new,experiments/results/DP_2_2/TB_5mill_bs100/46.onnx,DP,2,2,7325.89640545845,2300000,1e-05,20,0.1,15,True,10000,True,10000,True,46
47,43,25,51,29,180,4,0,1,3,17.62,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/47.onnx,DP,2,2,7502.2988040447235,2350000,1e-05,20,0.1,15,True,10000,True,10000,True,47
48,126,37,195,51,270,31,1,2,14,27.14,46.0,new,experiments/results/DP_2_2/TB_5mill_bs100/48.onnx,DP,2,2,7678.094872236252,2400000,1e-05,20,0.1,15,True,10000,True,10000,True,48
49,77,34,110,44,200,15,0,1,2,21.62,19.0,new,experiments/results/DP_2_2/TB_5mill_bs100/49.onnx,DP,2,2,7861.6328547000885,2450000,1e-05,20,0.1,15,True,10000,True,10000,True,49
50,51,31,71,41,160,13,0,1,4,18.66,13.0,new,experiments/results/DP_2_2/TB_5mill_bs100/50.onnx,DP,2,2,8045.4810910224915,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,50
51,96,34,135,44,215,16,0,4,12,21.62,38.0,new,experiments/results/DP_2_2/TB_5mill_bs100/51.onnx,DP,2,2,8226.460072994232,2550000,1e-05,20,0.1,15,True,10000,True,10000,True,51
52,42,28,52,35,182,5,0,2,3,17.62,16.0,new,experiments/results/DP_2_2/TB_5mill_bs100/52.onnx,DP,2,2,8408.102653265,2600000,1e-05,20,0.1,15,True,10000,True,10000,True,52
53,40,28,51,35,183,7,0,1,3,17.62,17.0,new,experiments/results/DP_2_2/TB_5mill_bs100/53.onnx,DP,2,2,8585.71143078804,2650000,1e-05,20,0.1,15,True,10000,True,10000,True,53
54,56,28,79,35,176,9,0,4,10,18.66,24.0,new,experiments/results/DP_2_2/TB_5mill_bs100/54.onnx,DP,2,2,8769.255353689194,2700000,1e-05,20,0.1,15,True,10000,True,10000,True,54
55,54,31,76,41,184,6,0,7,3,18.66,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/55.onnx,DP,2,2,8947.566943407059,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,55
56,108,28,157,35,202,18,0,1,17,24.66,35.0,new,experiments/results/DP_2_2/TB_5mill_bs100/56.onnx,DP,2,2,9127.93765091896,2800000,1e-05,20,0.1,15,True,10000,True,10000,True,56
57,39,28,49,35,160,5,0,2,3,17.62,15.0,new,experiments/results/DP_2_2/TB_5mill_bs100/57.onnx,DP,2,2,9315.60797071457,2850000,1e-05,20,0.1,15,True,10000,True,10000,True,57
58,45,25,61,29,165,5,0,1,8,17.7,16.0,new,experiments/results/DP_2_2/TB_5mill_bs100/58.onnx,DP,2,2,9494.424157381058,2900000,1e-05,20,0.1,15,True,10000,True,10000,True,58
59,43,25,56,29,181,4,0,1,7,17.62,12.0,new,experiments/results/DP_2_2/TB_5mill_bs100/59.onnx,DP,2,2,9681.841735601425,2950000,1e-05,20,0.1,15,True,10000,True,10000,True,59
