,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
35,9580.0,2544,1582,3,3,DP,11,363.28734374046326,650000,-99.49611158925572,17,0.12838343,0.21065998,-0.36995724,0.03704983,0.93928635,-9.536743e-07,-4.063735,-2.5386958,-0.42605826,-1.2408098,-3.0876405
36,59.0,205,128,2,2,DP,11,2796.7060532569885,4350000,-90.64123635195647,18,0.06838143,-0.82248616,-0.2372426,0.60598814,0.78788483,-4.7683716e-07,-1.8321455,-0.8076185,-0.8885531,-1.5600618,-1.2756133
37,231.0,708,399,3,3,DP,11,2796.7060532569885,4350000,-90.64123635195647,18,0.06838143,-0.82248616,-0.2372426,0.60598814,0.78788483,-4.7683716e-07,-1.8321455,-0.8076185,-0.8885531,-1.5600618,-1.2756133
38,23.0,95,61,2,2,DP,11,1604.9157288074493,2650000,-107.51360231030856,19,0.19400994,-1.1813884,-0.4798117,1.0469973,0.50467294,-4.7683716e-07,-2.217252,-1.2470894,-0.49896264,-2.6065733,-1.8488301
39,2314.0,1434,786,3,3,DP,11,1604.9157288074493,2650000,-107.51360231030856,19,0.19400994,-1.1813884,-0.4798117,1.0469973,0.50467294,-4.7683716e-07,-2.217252,-1.2470894,-0.49896264,-2.6065733,-1.8488301
40,21.0,110,71,2,2,DP,11,2327.7995223999023,3700000,-109.32578587675673,20,0.58732665,-1.1201112,-0.306301,1.3071673,0.72120184,-2.3841858e-07,-2.0168488,-1.1957507,-0.72396183,-2.1547155,-1.5530744
41,7383.0,2964,1613,3,3,DP,11,2327.7995223999023,3700000,-109.32578587675673,20,0.58732665,-1.1201112,-0.306301,1.3071673,0.72120184,-2.3841858e-07,-2.0168488,-1.1957507,-0.72396183,-2.1547155,-1.5530744
42,36.0,140,100,2,2,DP,11,685.7655713558197,1200000,-98.28834548810893,21,0.230304,-0.5801482,-0.4841671,0.5564079,0.7930694,-7.1525574e-07,-4.025385,-2.6386924,-0.7190233,-2.527402,-2.9797175
43,24836.0,4090,2832,3,3,DP,11,685.7655713558197,1200000,-98.28834548810893,21,0.230304,-0.5801482,-0.4841671,0.5564079,0.7930694,-7.1525574e-07,-4.025385,-2.6386924,-0.7190233,-2.527402,-2.9797175
44,60.0,215,146,2,2,DP,11,1638.5011312961578,2700000,-109.67692032024843,22,0.60999006,-1.1026592,-0.06023152,1.032032,0.7731997,-5.9604645e-07,-2.464045,-1.4579748,-0.580473,-2.3512988,-1.7034775
45,31109.0,4612,2833,3,3,DP,11,1638.5011312961578,2700000,-109.67692032024843,22,0.60999006,-1.1026592,-0.06023152,1.032032,0.7731997,-5.9604645e-07,-2.464045,-1.4579748,-0.580473,-2.3512988,-1.7034775
46,76.0,243,166,2,2,DP,11,1840.358000278473,3000000,-114.41578947281054,23,0.5122254,-0.6959469,-0.6258131,0.60692203,0.8512591,-7.1525574e-07,-2.45622,-1.5888848,-0.8970914,-2.4146588,-1.8177742
47,8014.0,2202,1524,3,3,DP,11,1840.358000278473,3000000,-114.41578947281054,23,0.5122254,-0.6959469,-0.6258131,0.60692203,0.8512591,-7.1525574e-07,-2.45622,-1.5888848,-0.8970914,-2.4146588,-1.8177742
48,27.0,66,48,2,2,DP,11,508.2234284877777,900000,-101.3801892432652,24,0.15900552,0.1935538,-0.4532317,0.6385881,0.6469265,-9.536743e-07,-3.5659618,-2.1458678,-0.08661511,-2.1088169,-3.0572104
49,6829.0,2949,1304,3,3,DP,11,508.2234284877777,900000,-101.3801892432652,24,0.15900552,0.1935538,-0.4532317,0.6385881,0.6469265,-9.536743e-07,-3.5659618,-2.1458678,-0.08661511,-2.1088169,-3.0572104
50,18.0,84,58,2,2,DP,11,277.3925485610962,500000,-91.5959954070407,25,0.42486063,-0.16949213,-0.2633095,0.9202434,0.9676138,-1.1920929e-06,-3.4540582,-2.0159702,-0.70738626,-1.3598106,-2.6057262
51,6242.0,2067,1402,3,3,DP,11,277.3925485610962,500000,-91.5959954070407,25,0.42486063,-0.16949213,-0.2633095,0.9202434,0.9676138,-1.1920929e-06,-3.4540582,-2.0159702,-0.70738626,-1.3598106,-2.6057262
52,82.0,285,175,2,2,DP,11,2292.4124557971954,3650000,-104.60480644913923,26,0.7707887,-0.8536083,-0.22127491,0.73867476,0.79769146,-4.7683716e-07,-2.0221183,-1.0293422,-0.52391636,-1.6876918,-1.3669988
53,35812.0,5289,2835,3,3,DP,11,2292.4124557971954,3650000,-104.60480644913923,26,0.7707887,-0.8536083,-0.22127491,0.73867476,0.79769146,-4.7683716e-07,-2.0221183,-1.0293422,-0.52391636,-1.6876918,-1.3669988
