,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
32,4.0,60,43,2,2,DP,11,86.02455592155457,162000,1e-05,20,0.1,-73.789116,80,0.6123295,-0.6367847,-0.32935637,1.0103844,1.6728138,2.3841858e-07,-2.5791168,-1.3396187,0.23924959,-0.29195184,-1.9806659
33,2642.0,2348,1220,3,3,DP,11,86.02455592155457,162000,1e-05,20,0.1,-73.789116,80,0.6123295,-0.6367847,-0.32935637,1.0103844,1.6728138,2.3841858e-07,-2.5791168,-1.3396187,0.23924959,-0.29195184,-1.9806659
34,7.0,101,70,2,2,DP,11,91.31704092025757,172000,1e-05,20,0.1,-94.23606,85,0.16283605,-0.680495,-0.49893582,0.74547297,1.2311933,7.1525574e-07,-3.818209,-2.7864418,-0.4197687,-1.747778,-3.3682644
35,432.0,919,544,3,3,DP,11,91.31704092025757,172000,1e-05,20,0.1,-94.23606,85,0.16283605,-0.680495,-0.49893582,0.74547297,1.2311933,7.1525574e-07,-3.818209,-2.7864418,-0.4197687,-1.747778,-3.3682644
36,6.0,78,56,2,2,DP,11,96.68852400779724,182000,1e-05,20,0.1,-75.87704,90,0.052589588,-0.342633,-0.10784626,0.5024915,1.4291317,4.7683716e-07,-3.8133779,-1.8174167,-0.05208832,-1.026735,-2.7111013
37,74.0,366,191,3,3,DP,11,96.68852400779724,182000,1e-05,20,0.1,-75.87704,90,0.052589588,-0.342633,-0.10784626,0.5024915,1.4291317,4.7683716e-07,-3.8133779,-1.8174167,-0.05208832,-1.026735,-2.7111013
38,9.0,108,69,2,2,DP,11,102.03703045845032,192000,1e-05,20,0.1,-75.50872,95,0.6899193,-0.31639087,-0.11562356,1.2309202,1.3775843,0.0,-2.7718415,-1.5106258,-0.036714584,-0.4754004,-2.31214
39,1582.0,2037,926,3,3,DP,11,102.03703045845032,192000,1e-05,20,0.1,-75.50872,95,0.6899193,-0.31639087,-0.11562356,1.2309202,1.3775843,0.0,-2.7718415,-1.5106258,-0.036714584,-0.4754004,-2.31214
40,25.0,219,175,2,2,DP,11,107.40292406082153,202000,1e-05,20,0.1,-72.83295,100,0.8226684,-0.13403106,0.04791507,1.1832409,1.6916721,2.3841858e-07,-2.481912,-1.4050156,-0.024100423,-0.42047998,-1.4981356
41,8395.0,3822,2835,3,3,DP,11,107.40292406082153,202000,1e-05,20,0.1,-72.83295,100,0.8226684,-0.13403106,0.04791507,1.1832409,1.6916721,2.3841858e-07,-2.481912,-1.4050156,-0.024100423,-0.42047998,-1.4981356
42,13.0,106,68,2,2,DP,11,112.65920782089233,212000,1e-05,20,0.1,-73.92872,105,0.42485195,-0.4182874,-0.48094225,1.0614161,1.4662708,2.3841858e-07,-2.515013,-1.4101555,0.103293,-0.89345694,-2.011467
43,627.0,1586,713,3,3,DP,11,112.65920782089233,212000,1e-05,20,0.1,-73.92872,105,0.42485195,-0.4182874,-0.48094225,1.0614161,1.4662708,2.3841858e-07,-2.515013,-1.4101555,0.103293,-0.89345694,-2.011467
44,19.0,167,117,2,2,DP,11,117.90915584564209,222000,1e-05,20,0.1,-73.79585,110,0.7606319,-0.53162205,-0.3028041,1.2043616,1.4805247,2.3841858e-07,-2.4842987,-1.5811644,-0.03791441,-0.7460379,-2.0246341
45,1254.0,2132,1016,3,3,DP,11,117.90915584564209,222000,1e-05,20,0.1,-73.79585,110,0.7606319,-0.53162205,-0.3028041,1.2043616,1.4805247,2.3841858e-07,-2.4842987,-1.5811644,-0.03791441,-0.7460379,-2.0246341
46,6.0,79,58,2,2,DP,11,123.205575466156,232000,1e-05,20,0.1,-76.477585,115,0.36135414,-0.4740125,-0.39125872,0.8998824,1.5133121,4.7683716e-07,-2.9234262,-1.7821939,-0.2447067,-1.0563374,-2.297025
47,1255.0,1794,1007,3,3,DP,11,123.205575466156,232000,1e-05,20,0.1,-76.477585,115,0.36135414,-0.4740125,-0.39125872,0.8998824,1.5133121,4.7683716e-07,-2.9234262,-1.7821939,-0.2447067,-1.0563374,-2.297025
48,37.0,222,148,2,2,DP,11,128.4929609298706,242000,1e-05,20,0.1,-79.220436,120,0.1816055,-0.53217256,-0.68809354,0.6749582,1.2788861,7.1525574e-07,-3.2782586,-2.284478,-0.3244514,-1.7562075,-2.776919
49,2460.0,2094,1312,3,3,DP,11,128.4929609298706,242000,1e-05,20,0.1,-79.220436,120,0.1816055,-0.53217256,-0.68809354,0.6749582,1.2788861,7.1525574e-07,-3.2782586,-2.284478,-0.3244514,-1.7562075,-2.776919
50,14.0,117,75,2,2,DP,11,133.7817370891571,252000,1e-05,20,0.1,-85.01472,125,0.20770289,-0.5464783,-0.3426333,0.50982094,1.059649,1.4305115e-06,-4.324394,-3.2240026,-1.2240938,-2.0517142,-4.0632
51,3638.0,2850,1536,3,3,DP,11,133.7817370891571,252000,1e-05,20,0.1,-85.01472,125,0.20770289,-0.5464783,-0.3426333,0.50982094,1.059649,1.4305115e-06,-4.324394,-3.2240026,-1.2240938,-2.0517142,-4.0632
52,8.0,72,50,2,2,DP,11,139.0759961605072,262000,1e-05,20,0.1,-84.01491,130,-0.074647635,-0.3365519,-0.27281642,0.6528893,1.5839429,7.1525574e-07,-3.2667391,-1.985786,-0.46592104,-1.2443683,-2.8224213
53,95.0,336,176,3,3,DP,11,139.0759961605072,262000,1e-05,20,0.1,-84.01491,130,-0.074647635,-0.3365519,-0.27281642,0.6528893,1.5839429,7.1525574e-07,-3.2667391,-1.985786,-0.46592104,-1.2443683,-2.8224213
54,47.0,232,167,2,2,DP,11,144.4274742603302,272000,1e-05,20,0.1,-90.55009,135,0.4911119,-0.37784624,0.051153272,0.63033825,1.2406563,7.1525574e-07,-3.895524,-2.7651188,-0.6066309,-1.2999926,-3.1844492
55,10088.0,4513,2835,3,3,DP,11,144.4274742603302,272000,1e-05,20,0.1,-90.55009,135,0.4911119,-0.37784624,0.051153272,0.63033825,1.2406563,7.1525574e-07,-3.895524,-2.7651188,-0.6066309,-1.2999926,-3.1844492
56,45.0,220,166,2,2,DP,11,149.75639247894287,282000,1e-05,20,0.1,-85.670876,140,0.31734243,-0.2623117,-0.004641831,0.7443962,1.2142942,7.1525574e-07,-4.3745847,-3.1587741,-0.4327525,-1.1187458,-3.117046
