,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
29,25.0,233.0,163.0,2,15,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
30,40.0,241.0,133.0,3,1,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
31,65.0,270.0,144.0,3,2,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
32,92.0,336.0,176.0,3,3,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
33,110.0,393.0,216.0,3,4,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
34,118.0,398.0,212.0,3,5,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
35,159.0,446.0,236.0,3,6,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
36,162.0,494.0,260.0,3,7,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
37,231.0,542.0,284.0,3,8,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
38,227.0,489.0,254.0,3,9,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
39,344.0,638.0,332.0,3,10,DP,11.0,139.0759961605072,262000,1e-05,20,0.1
40,,,,3,11,DP,,139.0759961605072,262000,1e-05,20,0.1
41,,,,3,12,DP,,139.0759961605072,262000,1e-05,20,0.1
42,,,,3,13,DP,,139.0759961605072,262000,1e-05,20,0.1
43,,,,3,14,DP,,139.0759961605072,262000,1e-05,20,0.1
44,,,,3,15,DP,,139.0759961605072,262000,1e-05,20,0.1
45,,,,4,1,DP,,139.0759961605072,262000,1e-05,20,0.1
46,,,,4,2,DP,,139.0759961605072,262000,1e-05,20,0.1
47,,,,4,3,DP,,139.0759961605072,262000,1e-05,20,0.1
48,,,,4,4,DP,,139.0759961605072,262000,1e-05,20,0.1
49,,,,4,5,DP,,139.0759961605072,262000,1e-05,20,0.1
50,,,,4,6,DP,,139.0759961605072,262000,1e-05,20,0.1
51,,,,4,7,DP,,139.0759961605072,262000,1e-05,20,0.1
52,,,,4,8,DP,,139.0759961605072,262000,1e-05,20,0.1
53,,,,4,9,DP,,139.0759961605072,262000,1e-05,20,0.1
54,,,,4,10,DP,,139.0759961605072,262000,1e-05,20,0.1
55,,,,5,1,DP,,139.0759961605072,262000,1e-05,20,0.1
56,,,,6,1,DP,,139.0759961605072,262000,1e-05,20,0.1
57,,,,7,1,DP,,139.0759961605072,262000,1e-05,20,0.1
58,,,,8,1,DP,,139.0759961605072,262000,1e-05,20,0.1
59,,,,9,1,DP,,139.0759961605072,262000,1e-05,20,0.1
60,,,,10,1,DP,,139.0759961605072,262000,1e-05,20,0.1
61,,,,11,1,DP,,139.0759961605072,262000,1e-05,20,0.1
62,,,,12,1,DP,,139.0759961605072,262000,1e-05,20,0.1
63,,,,13,1,DP,,139.0759961605072,262000,1e-05,20,0.1
64,,,,14,1,DP,,139.0759961605072,262000,1e-05,20,0.1
65,,,,15,1,DP,,139.0759961605072,262000,1e-05,20,0.1
