,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
10,7.0,54,44,2,2,TL,11,31.93232011795044,52000,1e-05,20,0.1,-82.89208,25,0.6601062,-1.3785629,-1.212897,-0.28984725,0.66977644,2.3841858e-07,-5.0796876,-3.098273,0.0,-5.357134,-3.3077595
11,336.0,477,346,3,3,TL,11,31.93232011795044,52000,1e-05,20,0.1,-82.89208,25,0.6601062,-1.3785629,-1.212897,-0.28984725,0.66977644,2.3841858e-07,-5.0796876,-3.098273,0.0,-5.357134,-3.3077595
12,10.0,71,53,2,2,TL,11,38.411505460739136,62000,1e-05,20,0.1,-99.03238,30,0.42074117,-0.95781934,-1.1188756,-0.4900905,0.7670716,2.3841858e-07,-4.7395573,-3.0596642,0.0,-5.867795,-3.5155416
13,370.0,516,379,3,3,TL,11,38.411505460739136,62000,1e-05,20,0.1,-99.03238,30,0.42074117,-0.95781934,-1.1188756,-0.4900905,0.7670716,2.3841858e-07,-4.7395573,-3.0596642,0.0,-5.867795,-3.5155416
14,176.0,561,350,2,2,TL,11,44.79802131652832,72000,1e-05,20,0.1,-106.915726,35,0.78382593,-0.35312998,-0.5738967,-0.3151409,0.60859114,-1.1920929e-07,-4.954701,-3.5902557,0.0,-5.6184354,-3.7941074
15,395342.0,29744,16237,3,3,TL,11,44.79802131652832,72000,1e-05,20,0.1,-106.915726,35,0.78382593,-0.35312998,-0.5738967,-0.3151409,0.60859114,-1.1920929e-07,-4.954701,-3.5902557,0.0,-5.6184354,-3.7941074
16,140.0,679,378,2,2,TL,11,50.76314306259155,82000,1e-05,20,0.1,-90.94347,40,0.45234632,-0.29385662,-0.26997077,-0.6166821,1.4927255,1.1920929e-07,-4.3990464,-2.219481,0.0,-5.166061,-3.4732993
17,836165.0,53420,22531,3,3,TL,11,50.76314306259155,82000,1e-05,20,0.1,-90.94347,40,0.45234632,-0.29385662,-0.26997077,-0.6166821,1.4927255,1.1920929e-07,-4.3990464,-2.219481,0.0,-5.166061,-3.4732993
18,8.0,67,52,2,2,TL,11,56.783114194869995,92000,1e-05,20,0.1,-98.27377,45,0.24856707,-0.4267186,-0.9857936,-0.55064285,0.62880313,4.7683716e-07,-4.742229,-2.981372,0.0,-5.874192,-3.5870156
19,173.0,261,192,3,3,TL,11,56.783114194869995,92000,1e-05,20,0.1,-98.27377,45,0.24856707,-0.4267186,-0.9857936,-0.55064285,0.62880313,4.7683716e-07,-4.742229,-2.981372,0.0,-5.874192,-3.5870156
20,234.0,873,443,2,2,TL,11,62.78523397445679,102000,1e-05,20,0.1,-88.47312,50,0.607063,-0.38655472,-0.21733049,-0.07472324,1.3888822,1.1920929e-07,-4.1150956,-2.0904522,0.0,-5.6194024,-3.072233
