,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
31,11,11,12,12,28,2,0,1,0,15.65,15.0,false,OpenSet RA,r,TL,3,2
32,11,11,12,12,30,2,0,1,0,16.18,14.0,false,OpenSet RA,r,TL,3,3
33,11,11,12,12,29,2,0,1,0,16.18,11.0,false,OpenSet RA,r,TL,3,4
34,11,11,12,12,32,2,0,1,0,16.18,13.0,false,OpenSet RA,r,TL,3,5
35,11,11,12,12,29,2,0,1,0,16.67,10.0,false,OpenSet RA,r,TL,3,6
36,11,11,12,12,32,2,0,1,0,16.66,8.0,false,OpenSet RA,r,TL,3,7
37,11,11,12,12,31,2,0,1,0,16.66,9.0,false,OpenSet RA,r,TL,3,8
38,11,11,12,12,33,2,0,1,0,17.14,11.0,false,OpenSet RA,r,TL,3,9
39,11,11,12,12,39,2,0,1,0,17.14,11.0,false,OpenSet RA,r,TL,3,10
40,11,11,12,12,52,2,0,1,0,17.62,18.0,false,OpenSet RA,r,TL,3,11
41,11,11,12,12,36,2,0,1,0,17.7,13.0,false,OpenSet RA,r,TL,3,12
42,11,11,12,12,37,2,0,1,0,18.18,12.0,false,OpenSet RA,r,TL,3,13
43,11,11,12,12,39,2,0,1,0,18.66,11.0,false,OpenSet RA,r,TL,3,14
44,11,11,12,12,63,2,0,1,0,19.14,19.0,false,OpenSet RA,r,TL,3,15
45,35,13,40,14,46,2,0,1,10,17.14,28.0,false,OpenSet RA,r,TL,4,1
46,13,13,14,14,36,2,0,1,0,16.18,19.0,false,OpenSet RA,r,TL,4,2
47,13,13,14,14,38,2,0,1,0,16.66,22.0,false,OpenSet RA,r,TL,4,3
48,13,13,14,14,40,2,0,1,0,16.66,17.0,false,OpenSet RA,r,TL,4,4
49,13,13,14,14,39,2,0,1,0,17.14,19.0,false,OpenSet RA,r,TL,4,5
50,13,13,14,14,40,2,0,1,0,17.14,16.0,false,OpenSet RA,r,TL,4,6
51,13,13,14,14,57,2,0,1,0,17.62,28.0,false,OpenSet RA,r,TL,4,7
52,13,13,14,14,42,2,0,1,0,17.62,17.0,false,OpenSet RA,r,TL,4,8
53,13,13,14,14,44,2,0,1,0,18.18,20.0,false,OpenSet RA,r,TL,4,9
54,13,13,14,14,44,2,0,1,0,18.18,19.0,false,OpenSet RA,r,TL,4,10
55,13,13,14,14,48,2,0,1,0,18.66,20.0,false,OpenSet RA,r,TL,4,11
56,13,13,14,14,48,2,0,1,0,19.14,20.0,false,OpenSet RA,r,TL,4,12
57,13,13,14,14,48,2,0,1,0,19.66,20.0,false,OpenSet RA,r,TL,4,13
58,13,13,14,14,50,2,0,1,0,20.18,19.0,false,OpenSet RA,r,TL,4,14
59,13,13,14,14,52,2,0,1,0,20.66,19.0,false,OpenSet RA,r,TL,4,15
60,37,15,42,16,91,2,0,1,10,18.18,62.0,false,OpenSet RA,r,TL,5,1
61,15,15,16,16,49,2,0,1,0,17.14,30.0,false,OpenSet RA,r,TL,5,2
62,15,15,16,16,65,2,0,1,0,17.15,42.0,false,OpenSet RA,r,TL,5,3
63,15,15,16,16,51,2,0,1,0,17.62,30.0,false,OpenSet RA,r,TL,5,4
64,15,15,16,16,52,2,0,1,0,17.62,31.0,false,OpenSet RA,r,TL,5,5
65,15,15,16,16,68,2,0,1,0,18.18,39.0,false,OpenSet RA,r,TL,5,6
66,15,15,16,16,53,2,0,1,0,18.66,30.0,false,OpenSet RA,r,TL,5,7
67,15,15,16,16,54,2,0,1,0,18.66,27.0,false,OpenSet RA,r,TL,5,8
68,15,15,16,16,55,2,0,1,0,19.14,30.0,false,OpenSet RA,r,TL,5,9
69,15,15,16,16,73,2,0,1,0,19.62,35.0,false,OpenSet RA,r,TL,5,10
70,15,15,16,16,60,2,0,1,0,20.18,30.0,false,OpenSet RA,r,TL,5,11
71,15,15,16,16,60,2,0,1,0,20.66,30.0,false,OpenSet RA,r,TL,5,12
72,15,15,16,16,99,2,0,1,0,21.14,49.0,false,OpenSet RA,r,TL,5,13
73,15,15,16,16,71,2,0,1,0,21.64,32.0,false,OpenSet RA,r,TL,5,14
74,15,15,16,16,104,2,0,1,0,22.18,54.0,false,OpenSet RA,r,TL,5,15
75,89,17,111,18,136,2,0,1,33,23.62,109.0,false,OpenSet RA,r,TL,6,1
76,17,17,18,18,73,2,0,1,0,18.18,50.0,false,OpenSet RA,r,TL,6,2
77,17,17,18,18,60,2,0,1,0,18.18,39.0,false,OpenSet RA,r,TL,6,3
78,17,17,18,18,63,2,0,1,0,18.66,41.0,false,OpenSet RA,r,TL,6,4
79,17,17,18,18,70,2,0,1,0,19.14,39.0,false,OpenSet RA,r,TL,6,5
80,17,17,18,18,91,2,0,1,0,19.14,58.0,false,OpenSet RA,r,TL,6,6
81,17,17,18,18,97,2,0,1,0,19.62,61.0,false,OpenSet RA,r,TL,6,7
82,17,17,18,18,67,2,0,1,0,20.18,41.0,false,OpenSet RA,r,TL,6,8
83,17,17,18,18,103,2,0,1,0,20.66,60.0,false,OpenSet RA,r,TL,6,9
84,17,17,18,18,81,2,0,1,0,21.14,48.0,false,OpenSet RA,r,TL,6,10
85,17,17,18,18,71,2,0,1,0,21.62,37.0,false,OpenSet RA,r,TL,6,11
86,17,17,18,18,96,2,0,1,0,22.18,50.0,false,OpenSet RA,r,TL,6,12
87,17,17,18,18,118,2,0,1,0,22.66,64.0,false,OpenSet RA,r,TL,6,13
88,17,17,18,18,82,2,0,1,0,23.62,39.0,false,OpenSet RA,r,TL,6,14
89,17,17,18,18,81,2,0,1,0,24.18,38.0,false,OpenSet RA,r,TL,6,15
90,91,19,113,20,140,2,0,1,33,26.66,112.0,false,OpenSet RA,r,TL,7,1
91,19,19,20,20,74,2,0,1,0,19.14,57.0,false,OpenSet RA,r,TL,7,2
92,19,19,20,20,108,2,0,1,0,19.62,82.0,false,OpenSet RA,r,TL,7,3
93,19,19,20,20,90,2,0,1,0,20.18,56.0,false,OpenSet RA,r,TL,7,4
94,19,19,20,20,77,2,0,1,0,20.18,53.0,false,OpenSet RA,r,TL,7,5
95,19,19,20,20,77,2,0,1,0,20.66,51.0,false,OpenSet RA,r,TL,7,6
