,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
37,169.0,776,412,3,3,AT,11,20.4166841506958,38000,1e-05,20,0.1,-37.57785,18,-0.2176024,-1.4710128,-2.0206184,-0.35136637,-0.44888765,-2.6226044e-06,-5.0312967,-4.177113,0.5077706,-2.7055936,-4.1794534
38,4.0,72,41,2,2,AT,11,21.483615159988403,40000,1e-05,20,0.1,-39.021404,19,-0.16655813,-1.3329816,-1.9285146,-0.32995087,-0.39378214,-1.4305115e-06,-5.5262365,-4.3539815,0.47265986,-2.5581138,-4.506568
39,199.0,775,416,3,3,AT,11,21.483615159988403,40000,1e-05,20,0.1,-39.021404,19,-0.16655813,-1.3329816,-1.9285146,-0.32995087,-0.39378214,-1.4305115e-06,-5.5262365,-4.3539815,0.47265986,-2.5581138,-4.506568
40,4.0,71,43,2,2,AT,11,22.57974147796631,42000,1e-05,20,0.1,-39.76295,20,0.24447042,-1.298981,-1.6522821,-0.36414596,-0.33508033,-2.1457672e-06,-6.015456,-4.397437,0.46718425,-2.5948231,-4.921228
41,237.0,827,466,3,3,AT,11,22.57974147796631,42000,1e-05,20,0.1,-39.76295,20,0.24447042,-1.298981,-1.6522821,-0.36414596,-0.33508033,-2.1457672e-06,-6.015456,-4.397437,0.46718425,-2.5948231,-4.921228
42,4.0,71,43,2,2,AT,11,23.64293336868286,44000,1e-05,20,0.1,-42.41165,21,0.30448812,-1.0979708,-1.5872921,-0.42589042,-0.260253,-1.9073486e-06,-6.3509746,-4.597034,0.44418186,-2.3409617,-5.1832857
43,263.0,798,461,3,3,AT,11,23.64293336868286,44000,1e-05,20,0.1,-42.41165,21,0.30448812,-1.0979708,-1.5872921,-0.42589042,-0.260253,-1.9073486e-06,-6.3509746,-4.597034,0.44418186,-2.3409617,-5.1832857
44,4.0,66,43,2,2,AT,11,24.713144779205322,46000,1e-05,20,0.1,-42.85501,22,0.37217107,-0.9206386,-1.5149059,-0.30017853,-0.18248057,-2.3841858e-06,-6.6785364,-4.6557517,0.43559337,-2.0559547,-5.3976645
45,303.0,762,449,3,3,AT,11,24.713144779205322,46000,1e-05,20,0.1,-42.85501,22,0.37217107,-0.9206386,-1.5149059,-0.30017853,-0.18248057,-2.3841858e-06,-6.6785364,-4.6557517,0.43559337,-2.0559547,-5.3976645
46,5.0,69,44,2,2,AT,11,25.78153920173645,48000,1e-05,20,0.1,-43.72736,23,0.4245249,-0.922883,-1.3063885,-0.31952187,-0.08663854,-2.6226044e-06,-6.8576097,-4.5484753,0.41349548,-1.9087975,-5.523808
47,264.0,776,441,3,3,AT,11,25.78153920173645,48000,1e-05,20,0.1,-43.72736,23,0.4245249,-0.922883,-1.3063885,-0.31952187,-0.08663854,-2.6226044e-06,-6.8576097,-4.5484753,0.41349548,-1.9087975,-5.523808
48,5.0,64,43,2,2,AT,11,26.85021162033081,50000,1e-05,20,0.1,-44.792507,24,0.6177038,-0.8174523,-1.3848753,-0.24062154,-0.007661931,-2.6226044e-06,-6.797533,-4.669862,0.3986031,-1.8372573,-5.5134773
49,349.0,753,438,3,3,AT,11,26.85021162033081,50000,1e-05,20,0.1,-44.792507,24,0.6177038,-0.8174523,-1.3848753,-0.24062154,-0.007661931,-2.6226044e-06,-6.797533,-4.669862,0.3986031,-1.8372573,-5.5134773
50,8.0,62,43,2,2,AT,11,27.950541257858276,52000,1e-05,20,0.1,-46.41775,25,0.4952154,-0.77457184,-1.3053607,-0.21405137,0.072430186,-1.9073486e-06,-6.89979,-4.686078,0.37877172,-1.8599191,-5.5988317
51,274.0,707,416,3,3,AT,11,27.950541257858276,52000,1e-05,20,0.1,-46.41775,25,0.4952154,-0.77457184,-1.3053607,-0.21405137,0.072430186,-1.9073486e-06,-6.89979,-4.686078,0.37877172,-1.8599191,-5.5988317
52,8.0,72,45,2,2,AT,11,29.025017023086548,54000,1e-05,20,0.1,-46.65059,26,0.46613482,-0.64305747,-1.3409469,-0.10044244,0.13797869,-2.3841858e-06,-6.940891,-4.822795,0.37703565,-1.6804968,-5.697855
53,279.0,685,412,3,3,AT,11,29.025017023086548,54000,1e-05,20,0.1,-46.65059,26,0.46613482,-0.64305747,-1.3409469,-0.10044244,0.13797869,-2.3841858e-06,-6.940891,-4.822795,0.37703565,-1.6804968,-5.697855
54,9.0,71,44,2,2,AT,11,30.098658323287964,56000,1e-05,20,0.1,-47.33991,27,0.5483624,-0.62710226,-1.2379719,0.1444284,0.27452433,-1.66893e-06,-6.848311,-4.5251274,0.3693897,-1.5398583,-5.6829305
55,289.0,718,417,3,3,AT,11,30.098658323287964,56000,1e-05,20,0.1,-47.33991,27,0.5483624,-0.62710226,-1.2379719,0.1444284,0.27452433,-1.66893e-06,-6.848311,-4.5251274,0.3693897,-1.5398583,-5.6829305
56,8.0,75,45,2,2,AT,11,31.174591302871704,58000,1e-05,20,0.1,-47.83032,28,0.56577414,-0.5447575,-1.2403328,0.4377216,0.3713893,-2.861023e-06,-6.901828,-4.737955,0.37147364,-1.4568372,-5.751952
57,313.0,702,411,3,3,AT,11,31.174591302871704,58000,1e-05,20,0.1,-47.83032,28,0.56577414,-0.5447575,-1.2403328,0.4377216,0.3713893,-2.861023e-06,-6.901828,-4.737955,0.37147364,-1.4568372,-5.751952
58,10.0,73,46,2,2,AT,11,32.28431153297424,60000,1e-05,20,0.1,-48.50561,29,0.660759,-0.55427146,-1.1309776,0.4366936,0.51279426,-1.9073486e-06,-6.847862,-4.6377583,0.36436725,-1.5986347,-5.6993127
59,324.0,719,410,3,3,AT,11,32.28431153297424,60000,1e-05,20,0.1,-48.50561,29,0.660759,-0.55427146,-1.1309776,0.4366936,0.51279426,-1.9073486e-06,-6.847862,-4.6377583,0.36436725,-1.5986347,-5.6993127
60,8.0,73,45,2,2,AT,11,33.364986419677734,62000,1e-05,20,0.1,-48.097416,30,0.49317244,-0.4746045,-1.1386223,0.6554779,0.6687101,-2.6226044e-06,-6.971538,-4.707345,0.37763453,-1.5434259,-5.7229366
61,294.0,684,407,3,3,AT,11,33.364986419677734,62000,1e-05,20,0.1,-48.097416,30,0.49317244,-0.4746045,-1.1386223,0.6554779,0.6687101,-2.6226044e-06,-6.971538,-4.707345,0.37763453,-1.5434259,-5.7229366
