,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
162,8.0,74,44,2,2,AT,11,3048.902068376541,5000000,109.90687709137183,81
163,166.0,604,349,3,3,AT,11,3048.902068376541,5000000,109.90687709137183,81
164,7.0,68,42,2,2,AT,11,7479.605729103088,11800000,66.91082515387353,82
165,352.0,623,352,3,3,AT,11,7479.605729103088,11800000,66.91082515387353,82
166,7.0,61,43,2,2,AT,11,8988.816529273987,13800000,57.83016654305041,83
167,271.0,850,517,3,3,AT,11,8988.816529273987,13800000,57.83016654305041,83
168,7.0,66,44,2,2,AT,11,12490.312854528427,17600000,28.871149422714698,84
169,250.0,800,495,3,3,AT,11,12490.312854528427,17600000,28.871149422714698,84
170,8.0,68,44,2,2,AT,11,12858.505880355835,18000000,32.91538713415844,85
171,248.0,702,433,3,3,AT,11,12858.505880355835,18000000,32.91538713415844,85
172,7.0,63,44,2,2,AT,11,2676.3185017108917,4400000,123.6192900705465,86
173,155.0,629,373,3,3,AT,11,2676.3185017108917,4400000,123.6192900705465,86
174,6.0,58,42,2,2,AT,11,3431.7951006889343,5600000,116.45848408272136,87
175,102.0,417,275,3,3,AT,11,3431.7951006889343,5600000,116.45848408272136,87
176,7.0,61,40,2,2,AT,11,1811.9217178821564,3000000,117.55326207071725,88
177,102.0,457,290,3,3,AT,11,1811.9217178821564,3000000,117.55326207071725,88
178,6.0,52,31,2,2,AT,11,8522.704794883728,13200000,59.595948954271144,89
179,242.0,757,444,3,3,AT,11,8522.704794883728,13200000,59.595948954271144,89
180,6.0,51,34,2,2,AT,11,4056.13844370842,6600000,115.96043670501193,90
181,97.0,408,227,3,3,AT,11,4056.13844370842,6600000,115.96043670501193,90
182,5.0,53,35,2,2,AT,11,8365.103014469147,13000000,64.20564024722877,91
183,369.0,691,422,3,3,AT,11,8365.103014469147,13000000,64.20564024722877,91
184,5.0,42,27,2,2,AT,11,2800.9391305446625,4600000,118.83558315050934,92
185,48.0,254,166,3,3,AT,11,2800.9391305446625,4600000,118.83558315050934,92
186,8.0,68,42,2,2,AT,11,494.04016613960266,800000,-22.753504264987892,93
187,231.0,730,413,3,3,AT,11,494.04016613960266,800000,-22.753504264987892,93
188,6.0,49,31,2,2,AT,11,727.887439250946,1200000,-19.66946491598881,94
189,331.0,870,537,3,3,AT,11,727.887439250946,1200000,-19.66946491598881,94
190,7.0,63,42,2,2,AT,11,14394.974271535873,19600000,32.76526083216477,95
191,310.0,864,523,3,3,AT,11,14394.974271535873,19600000,32.76526083216477,95
192,7.0,62,42,2,2,AT,11,13410.237949371338,18600000,33.185575805837445,96
193,243.0,819,513,3,3,AT,11,13410.237949371338,18600000,33.185575805837445,96
194,8.0,67,45,2,2,AT,11,5847.802047252655,9400000,71.9148247970108,97
195,116.0,476,302,3,3,AT,11,5847.802047252655,9400000,71.9148247970108,97
