,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,avg q,idx
27,1991.454627275467,1350000,1e-05,20,0.1,15,True,10000,True,10000,True,-43.138523,27
28,2064.24418926239,1400000,1e-05,20,0.1,15,True,10000,True,10000,True,-42.868343,28
29,2136.7644457817078,1450000,1e-05,20,0.1,15,True,10000,True,10000,True,-43.316803,29
30,2209.8641681671143,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,-42.593185,30
31,2283.337426662445,1550000,1e-05,20,0.1,15,True,10000,True,10000,True,-39.12962,31
32,2356.4083847999573,1600000,1e-05,20,0.1,15,True,10000,True,10000,True,-38.483128,32
33,2429.7902686595917,1650000,1e-05,20,0.1,15,True,10000,True,10000,True,-40.028618,33
34,2504.2092864513397,1700000,1e-05,20,0.1,15,True,10000,True,10000,True,-39.958305,34
35,2578.7618391513824,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,-40.4735,35
36,2653.259903907776,1800000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.697353,36
37,2727.0274753570557,1850000,1e-05,20,0.1,15,True,10000,True,10000,True,-39.17554,37
38,2802.8587629795074,1900000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.86819,38
39,2876.2422728538513,1950000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.885498,39
40,2950.874052286148,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,-43.475655,40
41,3024.4908168315887,2050000,1e-05,20,0.1,15,True,10000,True,10000,True,-38.528927,41
42,3099.3001346588135,2100000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.301594,42
43,3172.924453020096,2150000,1e-05,20,0.1,15,True,10000,True,10000,True,-40.022507,43
44,3246.740859270096,2200000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.150887,44
45,3320.9398369789124,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,-38.438892,45
46,3395.0997819900513,2300000,1e-05,20,0.1,15,True,10000,True,10000,True,-36.87344,46
47,3470.3208498954773,2350000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.012978,47
48,3543.422159910202,2400000,1e-05,20,0.1,15,True,10000,True,10000,True,-40.73043,48
49,3618.9407398700714,2450000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.54252,49
50,3692.5100259780884,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,-43.043053,50
51,3766.2923793792725,2550000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.62149,51
52,3841.3223528862,2600000,1e-05,20,0.1,15,True,10000,True,10000,True,-40.482243,52
53,3915.080304145813,2650000,1e-05,20,0.1,15,True,10000,True,10000,True,-39.40087,53
54,3990.614772796631,2700000,1e-05,20,0.1,15,True,10000,True,10000,True,-42.537533,54
55,4065.0754024982452,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,-40.319546,55
56,4139.445511102676,2800000,1e-05,20,0.1,15,True,10000,True,10000,True,-38.037212,56
57,4214.343376159668,2850000,1e-05,20,0.1,15,True,10000,True,10000,True,-41.252457,57
