,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
78,140,48,244,61,336,76,0,1,25,13.99,51.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/78.onnx,TA,2,2,6281.891622543335,3900000,1e-05,20,0.1,15,True,78
79,139,63,206,88,289,58,0,1,11,13.97,39.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/79.onnx,TA,2,2,6354.8823256492615,3950000,1e-05,20,0.1,15,True,79
80,140,67,255,97,284,14,0,1,24,14.95,55.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/80.onnx,TA,2,2,6427.79248046875,4000000,1e-05,20,0.1,15,True,80
81,121,55,204,74,266,60,0,1,5,12.95,52.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/81.onnx,TA,2,2,6495.185390710831,4050000,1e-05,20,0.1,15,True,81
82,109,48,161,60,295,12,0,1,6,29.14,56.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/82.onnx,TA,2,2,6562.5009796619415,4100000,1e-05,20,0.1,15,True,82
83,140,48,241,61,292,16,0,1,12,13.98,57.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/83.onnx,TA,2,2,6629.956392765045,4150000,1e-05,20,0.1,15,True,83
84,139,54,204,74,320,57,0,1,8,12.97,72.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/84.onnx,TA,2,2,6697.381678819656,4200000,1e-05,20,0.1,15,True,84
85,121,62,206,90,274,62,0,1,5,12.94,49.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/85.onnx,TA,2,2,6764.765794754028,4250000,1e-05,20,0.1,15,True,85
86,140,48,225,61,290,70,0,1,13,13.98,47.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/86.onnx,TA,2,2,6831.984280824661,4300000,1e-05,20,0.1,15,True,86
87,101,51,147,67,238,37,0,1,0,28.66,34.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/87.onnx,TA,2,2,6899.399281024933,4350000,1e-05,20,0.1,15,True,87
88,138,93,249,162,273,99,0,1,9,17.96,49.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/88.onnx,TA,2,2,6966.861611604691,4400000,1e-05,20,0.1,15,True,88
89,140,49,251,63,297,13,0,1,27,13.96,64.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/89.onnx,TA,2,2,7034.368576288223,4450000,1e-05,20,0.1,15,True,89
90,140,63,245,91,298,79,0,1,26,16.02,46.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/90.onnx,TA,2,2,7101.771948099136,4500000,1e-05,20,0.1,15,True,90
91,119,95,215,163,269,61,0,1,2,11.95,39.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/91.onnx,TA,2,2,7168.904091119766,4550000,1e-05,20,0.1,15,True,91
