,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
23,103,87,157,119,300,40,0,1,0,26.66,87.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,9,0.5233333333333333
24,109,93,166,128,339,39,0,1,0,27.62,117.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,10,0.4896755162241888
25,115,99,175,137,333,41,0,1,0,28.18,110.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,11,0.5255255255255256
26,121,105,184,146,331,44,0,1,0,28.66,105.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,12,0.5558912386706949
27,127,111,193,155,400,47,0,1,0,29.62,146.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,13,0.4825
28,133,117,202,164,379,50,0,1,0,9.36,143.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,14,0.5329815303430079
29,139,123,211,173,357,53,0,1,0,17.32,117.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,15,0.5910364145658263
30,199,83,382,100,458,181,0,1,0,41.2,173.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,1,0.834061135371179
31,213,97,403,121,508,180,0,1,0,45.24,207.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,2,0.7933070866141733
32,227,111,425,142,596,184,0,1,0,49.24,277.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,3,0.7130872483221476
33,241,125,446,163,554,188,0,1,0,53.27,210.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,4,0.8050541516245487
34,255,139,467,184,550,193,0,1,0,59.31,200.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,5,0.8490909090909091
35,269,153,488,205,603,200,0,1,0,63.36,239.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,6,0.8092868988391376
36,283,167,509,226,592,200,0,1,0,68.33,265.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,7,0.8597972972972973
37,297,181,530,247,647,205,0,1,0,78.41,245.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,8,0.8191653786707882
38,311,195,551,268,605,209,0,1,0,84.45,220.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,9,0.9107438016528926
39,325,209,572,289,703,213,0,1,0,90.46,284.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,10,0.813655761024182
40,339,223,593,310,717,220,0,1,0,96.45,269.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,11,0.8270571827057183
41,353,237,614,331,746,228,0,1,0,106.53,259.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,12,0.8230563002680965
42,367,251,635,352,768,225,0,1,0,112.61,302.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,13,0.8268229166666666
43,381,265,656,373,837,234,0,1,0,123.6,356.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,14,0.7837514934289128
44,395,279,677,394,851,237,0,1,0,128.65,372.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,15,0.7955346650998825
45,865,167,1982,204,2207,1054,0,1,0,166.68,691.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,1,0.8980516538287268
46,895,199,2028,251,2332,1066,0,1,0,68.26,742.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,2,0.869639794168096
47,925,229,2074,296,2450,1078,0,1,0,159.14,726.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,3,0.846530612244898
48,955,259,2119,341,2465,1090,0,1,0,36.96,769.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,4,0.8596348884381338
49,985,289,2164,386,2774,1102,0,1,0,28.88,864.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,5,0.7801009372746935
50,993,316,2149,426,2684,1073,0,1,0,196.31,774.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,6,0.8006706408345753
51,1045,349,2250,476,3085,1124,0,1,0,109.31,927.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,7,0.7293354943273906
52,1075,377,2297,519,3338,1136,0,1,0,43.45,1049.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,8,0.6881366087477532
53,1105,409,2342,566,3400,1148,0,1,0,158.23,997.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,9,0.6888235294117647
54,1113,437,2327,607,3488,1112,0,1,0,225.36,1010.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,4,10,0.667144495412844
