,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,avg q,idx
57,9144.548500061035,2850000,1e-05,20,0.1,15,True,10000,True,10000,True,-228.0804,57
58,9267.408215999603,2900000,1e-05,20,0.1,15,True,10000,True,10000,True,-231.82599,58
59,9396.444138526917,2950000,1e-05,20,0.1,15,True,10000,True,10000,True,-235.35464,59
60,9535.990254878998,3000000,1e-05,20,0.1,15,True,10000,True,10000,True,-239.59125,60
61,9650.442861795425,3050000,1e-05,20,0.1,15,True,10000,True,10000,True,-242.01163,61
62,9773.90176153183,3100000,1e-05,20,0.1,15,True,10000,True,10000,True,-245.34367,62
63,9899.628430366516,3150000,1e-05,20,0.1,15,True,10000,True,10000,True,-247.92839,63
64,10032.81069803238,3200000,1e-05,20,0.1,15,True,10000,True,10000,True,-251.1698,64
65,10149.085476398468,3250000,1e-05,20,0.1,15,True,10000,True,10000,True,-255.18121,65
66,10254.237902402878,3300000,1e-05,20,0.1,15,True,10000,True,10000,True,-256.30362,66
67,10377.324218988419,3350000,1e-05,20,0.1,15,True,10000,True,10000,True,-260.4573,67
68,10492.273565530777,3400000,1e-05,20,0.1,15,True,10000,True,10000,True,-262.18155,68
69,10610.652477502823,3450000,1e-05,20,0.1,15,True,10000,True,10000,True,-265.90494,69
70,10736.287685394287,3500000,1e-05,20,0.1,15,True,10000,True,10000,True,-270.46414,70
71,10845.169634580612,3550000,1e-05,20,0.1,15,True,10000,True,10000,True,-273.55243,71
72,10989.521527290344,3600000,1e-05,20,0.1,15,True,10000,True,10000,True,-276.35544,72
73,11104.201769828796,3650000,1e-05,20,0.1,15,True,10000,True,10000,True,-281.02643,73
74,11224.503467798233,3700000,1e-05,20,0.1,15,True,10000,True,10000,True,-277.74927,74
75,11341.38836479187,3750000,1e-05,20,0.1,15,True,10000,True,10000,True,-283.94113,75
76,11498.973690748215,3800000,1e-05,20,0.1,15,True,10000,True,10000,True,-281.51877,76
77,11641.374805927277,3850000,1e-05,20,0.1,15,True,10000,True,10000,True,-283.25958,77
78,11766.829481363297,3900000,1e-05,20,0.1,15,True,10000,True,10000,True,-289.0084,78
79,11879.928152561188,3950000,1e-05,20,0.1,15,True,10000,True,10000,True,-293.94058,79
80,12002.293708562851,4000000,1e-05,20,0.1,15,True,10000,True,10000,True,-293.99146,80
81,12112.297313213348,4050000,1e-05,20,0.1,15,True,10000,True,10000,True,-294.48724,81
82,12236.522515773773,4100000,1e-05,20,0.1,15,True,10000,True,10000,True,-297.66617,82
83,12370.786588191986,4150000,1e-05,20,0.1,15,True,10000,True,10000,True,-302.80334,83
84,12487.403291463852,4200000,1e-05,20,0.1,15,True,10000,True,10000,True,-305.4927,84
85,12633.105066776276,4250000,1e-05,20,0.1,15,True,10000,True,10000,True,-304.9079,85
86,12762.698932647705,4300000,1e-05,20,0.1,15,True,10000,True,10000,True,-309.08502,86
87,12885.185267448425,4350000,1e-05,20,0.1,15,True,10000,True,10000,True,-307.46674,87
88,13044.7550406456,4400000,1e-05,20,0.1,15,True,10000,True,10000,True,-312.49228,88
89,13180.036774873734,4450000,1e-05,20,0.1,15,True,10000,True,10000,True,-316.0285,89
90,13291.458380937576,4500000,1e-05,20,0.1,15,True,10000,True,10000,True,-321.05704,90
91,13433.997790575027,4550000,1e-05,20,0.1,15,True,10000,True,10000,True,-324.13303,91
92,13539.057109832764,4600000,1e-05,20,0.1,15,True,10000,True,10000,True,-321.61563,92
93,13666.19193649292,4650000,1e-05,20,0.1,15,True,10000,True,10000,True,-329.9827,93
94,13833.192977428436,4700000,1e-05,20,0.1,15,True,10000,True,10000,True,-327.09015,94
95,13997.206528902054,4750000,1e-05,20,0.1,15,True,10000,True,10000,True,-328.79083,95
96,14116.124862670898,4800000,1e-05,20,0.1,15,True,10000,True,10000,True,-328.08838,96
97,14234.766650438309,4850000,1e-05,20,0.1,15,True,10000,True,10000,True,-331.62564,97
98,14359.02491927147,4900000,1e-05,20,0.1,15,True,10000,True,10000,True,-335.84018,98
99,14483.304769039154,4950000,1e-05,20,0.1,15,True,10000,True,10000,True,-342.918,99
100,14685.2297706604,5000000,1e-05,20,0.1,15,True,10000,True,10000,True,-334.77124,100
