,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
47,1157,221,2132,413,1287,138,272,6,412,21.14,523.0,new,experiments/results/CM_2_2/TB_5mill/47.onnx,CM,2,2,7847.468478679657,2350000,1e-05,20,0.1,15,True,10000,True,10000,True,47
48,1081,221,2111,413,1484,232,16,7,676,54.92,618.0,new,experiments/results/CM_2_2/TB_5mill/48.onnx,CM,2,2,7969.597511053085,2400000,1e-05,20,0.1,15,True,10000,True,10000,True,48
49,1158,221,2286,413,1308,212,24,23,699,97.97,489.0,new,experiments/results/CM_2_2/TB_5mill/49.onnx,CM,2,2,8097.416259527206,2450000,1e-05,20,0.1,15,True,10000,True,10000,True,49
50,1104,221,1866,413,1666,320,34,24,368,147.57,820.0,new,experiments/results/CM_2_2/TB_5mill/50.onnx,CM,2,2,8215.96242761612,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,50
51,1159,243,2317,442,1405,260,55,1,727,95.33,601.0,new,experiments/results/CM_2_2/TB_5mill/51.onnx,CM,2,2,8397.600466251373,2550000,1e-05,20,0.1,15,True,10000,True,10000,True,51
52,1144,221,2154,413,1617,325,39,1,539,92.91,657.0,new,experiments/results/CM_2_2/TB_5mill/52.onnx,CM,2,2,8507.90561413765,2600000,1e-05,20,0.1,15,True,10000,True,10000,True,52
53,1055,221,2168,413,1616,331,179,1,491,54.11,504.0,new,experiments/results/CM_2_2/TB_5mill/53.onnx,CM,2,2,8611.27687907219,2650000,1e-05,20,0.1,15,True,10000,True,10000,True,53
54,961,221,1850,413,976,214,15,1,558,151.77,268.0,new,experiments/results/CM_2_2/TB_5mill/54.onnx,CM,2,2,8731.757970809937,2700000,1e-05,20,0.1,15,True,10000,True,10000,True,54
55,1154,243,2131,443,1604,328,56,29,494,91.89,752.0,new,experiments/results/CM_2_2/TB_5mill/55.onnx,CM,2,2,8871.80725979805,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,55
56,795,221,1453,413,967,299,8,8,268,24.23,329.0,new,experiments/results/CM_2_2/TB_5mill/56.onnx,CM,2,2,9017.384940385818,2800000,1e-05,20,0.1,15,True,10000,True,10000,True,56
57,795,221,1360,413,1008,235,0,26,203,28.13,465.0,new,experiments/results/CM_2_2/TB_5mill/57.onnx,CM,2,2,9144.548500061035,2850000,1e-05,20,0.1,15,True,10000,True,10000,True,57
58,727,221,1300,413,1016,301,0,5,202,18.29,330.0,new,experiments/results/CM_2_2/TB_5mill/58.onnx,CM,2,2,9267.408215999603,2900000,1e-05,20,0.1,15,True,10000,True,10000,True,58
59,1126,221,2248,413,1594,273,116,1,562,43.95,553.0,new,experiments/results/CM_2_2/TB_5mill/59.onnx,CM,2,2,9396.444138526917,2950000,1e-05,20,0.1,15,True,10000,True,10000,True,59
60,932,221,1707,413,1347,288,0,5,407,126.21,475.0,new,experiments/results/CM_2_2/TB_5mill/60.onnx,CM,2,2,9535.990254878998,3000000,1e-05,20,0.1,15,True,10000,True,10000,True,60
61,1111,221,1892,413,1549,278,34,1,274,125.98,753.0,new,experiments/results/CM_2_2/TB_5mill/61.onnx,CM,2,2,9650.442861795425,3050000,1e-05,20,0.1,15,True,10000,True,10000,True,61
62,1156,221,2334,413,1481,404,4,12,674,70.06,652.0,new,experiments/results/CM_2_2/TB_5mill/62.onnx,CM,2,2,9773.90176153183,3100000,1e-05,20,0.1,15,True,10000,True,10000,True,62
63,773,221,1342,413,1105,313,3,12,222,23.11,372.0,new,experiments/results/CM_2_2/TB_5mill/63.onnx,CM,2,2,9899.628430366516,3150000,1e-05,20,0.1,15,True,10000,True,10000,True,63
64,1085,221,2022,413,1239,228,2,29,613,76.74,617.0,new,experiments/results/CM_2_2/TB_5mill/64.onnx,CM,2,2,10032.81069803238,3200000,1e-05,20,0.1,15,True,10000,True,10000,True,64
65,1076,221,1947,413,1310,208,27,38,524,119.87,696.0,new,experiments/results/CM_2_2/TB_5mill/65.onnx,CM,2,2,10149.085476398468,3250000,1e-05,20,0.1,15,True,10000,True,10000,True,65
66,1094,221,2182,413,1160,219,35,1,597,63.94,292.0,new,experiments/results/CM_2_2/TB_5mill/66.onnx,CM,2,2,10254.237902402878,3300000,1e-05,20,0.1,15,True,10000,True,10000,True,66
67,1075,288,2054,519,938,146,58,57,652,101.16,318.0,new,experiments/results/CM_2_2/TB_5mill/67.onnx,CM,2,2,10377.324218988419,3350000,1e-05,20,0.1,15,True,10000,True,10000,True,67
68,982,246,1778,450,1000,128,146,1,359,138.0,349.0,new,experiments/results/CM_2_2/TB_5mill/68.onnx,CM,2,2,10492.273565530777,3400000,1e-05,20,0.1,15,True,10000,True,10000,True,68
69,1119,285,2215,515,985,173,54,39,721,131.31,353.0,new,experiments/results/CM_2_2/TB_5mill/69.onnx,CM,2,2,10610.652477502823,3450000,1e-05,20,0.1,15,True,10000,True,10000,True,69
70,1089,221,2123,413,1359,170,11,34,705,111.88,706.0,new,experiments/results/CM_2_2/TB_5mill/70.onnx,CM,2,2,10736.287685394287,3500000,1e-05,20,0.1,15,True,10000,True,10000,True,70
71,1117,221,2270,413,1319,200,133,1,515,65.99,421.0,new,experiments/results/CM_2_2/TB_5mill/71.onnx,CM,2,2,10845.169634580612,3550000,1e-05,20,0.1,15,True,10000,True,10000,True,71
72,1012,221,1990,413,892,331,4,1,539,110.31,179.0,new,experiments/results/CM_2_2/TB_5mill/72.onnx,CM,2,2,10989.521527290344,3600000,1e-05,20,0.1,15,True,10000,True,10000,True,72
73,1085,221,1949,413,1351,356,7,27,482,55.02,560.0,new,experiments/results/CM_2_2/TB_5mill/73.onnx,CM,2,2,11104.201769828796,3650000,1e-05,20,0.1,15,True,10000,True,10000,True,73
74,944,221,1835,413,1033,169,74,1,422,90.07,250.0,new,experiments/results/CM_2_2/TB_5mill/74.onnx,CM,2,2,11224.503467798233,3700000,1e-05,20,0.1,15,True,10000,True,10000,True,74
75,1088,221,2269,413,1647,328,0,1,535,84.25,647.0,new,experiments/results/CM_2_2/TB_5mill/75.onnx,CM,2,2,11341.38836479187,3750000,1e-05,20,0.1,15,True,10000,True,10000,True,75
76,833,221,1641,413,942,257,15,9,416,143.77,291.0,new,experiments/results/CM_2_2/TB_5mill/76.onnx,CM,2,2,11498.973690748215,3800000,1e-05,20,0.1,15,True,10000,True,10000,True,76
77,1115,221,2228,413,1253,214,58,25,766,89.97,559.0,new,experiments/results/CM_2_2/TB_5mill/77.onnx,CM,2,2,11641.374805927277,3850000,1e-05,20,0.1,15,True,10000,True,10000,True,77
78,1065,221,2086,413,1441,253,24,31,653,99.74,557.0,new,experiments/results/CM_2_2/TB_5mill/78.onnx,CM,2,2,11766.829481363297,3900000,1e-05,20,0.1,15,True,10000,True,10000,True,78
79,1161,221,2351,413,1336,482,20,3,601,100.21,425.0,new,experiments/results/CM_2_2/TB_5mill/79.onnx,CM,2,2,11879.928152561188,3950000,1e-05,20,0.1,15,True,10000,True,10000,True,79
80,1144,263,2243,486,1380,209,36,64,748,117.63,687.0,new,experiments/results/CM_2_2/TB_5mill/80.onnx,CM,2,2,12002.293708562851,4000000,1e-05,20,0.1,15,True,10000,True,10000,True,80
81,1133,260,2300,478,1166,277,151,1,685,66.1,348.0,new,experiments/results/CM_2_2/TB_5mill/81.onnx,CM,2,2,12112.297313213348,4050000,1e-05,20,0.1,15,True,10000,True,10000,True,81
82,1127,221,2305,413,1135,385,3,1,520,89.82,286.0,new,experiments/results/CM_2_2/TB_5mill/82.onnx,CM,2,2,12236.522515773773,4100000,1e-05,20,0.1,15,True,10000,True,10000,True,82
83,1113,221,2164,413,1107,141,109,16,617,68.86,366.0,new,experiments/results/CM_2_2/TB_5mill/83.onnx,CM,2,2,12370.786588191986,4150000,1e-05,20,0.1,15,True,10000,True,10000,True,83
84,737,221,1466,413,772,145,137,1,284,61.85,185.0,new,experiments/results/CM_2_2/TB_5mill/84.onnx,CM,2,2,12487.403291463852,4200000,1e-05,20,0.1,15,True,10000,True,10000,True,84
85,1106,221,2220,413,1254,321,2,1,569,19.31,415.0,new,experiments/results/CM_2_2/TB_5mill/85.onnx,CM,2,2,12633.105066776276,4250000,1e-05,20,0.1,15,True,10000,True,10000,True,85
86,820,221,1353,413,1048,215,0,5,284,17.09,413.0,new,experiments/results/CM_2_2/TB_5mill/86.onnx,CM,2,2,12762.698932647705,4300000,1e-05,20,0.1,15,True,10000,True,10000,True,86
87,1116,261,2274,469,1122,297,82,1,652,95.74,307.0,new,experiments/results/CM_2_2/TB_5mill/87.onnx,CM,2,2,12885.185267448425,4350000,1e-05,20,0.1,15,True,10000,True,10000,True,87
88,1133,221,2293,413,1271,305,7,1,607,19.44,423.0,new,experiments/results/CM_2_2/TB_5mill/88.onnx,CM,2,2,13044.7550406456,4400000,1e-05,20,0.1,15,True,10000,True,10000,True,88
89,1051,221,2097,413,1550,365,5,1,486,143.92,521.0,new,experiments/results/CM_2_2/TB_5mill/89.onnx,CM,2,2,13180.036774873734,4450000,1e-05,20,0.1,15,True,10000,True,10000,True,89
90,1156,243,2366,442,1133,297,24,4,701,113.8,369.0,new,experiments/results/CM_2_2/TB_5mill/90.onnx,CM,2,2,13291.458380937576,4500000,1e-05,20,0.1,15,True,10000,True,10000,True,90
91,762,221,1337,413,923,219,0,4,346,123.57,276.0,new,experiments/results/CM_2_2/TB_5mill/91.onnx,CM,2,2,13433.997790575027,4550000,1e-05,20,0.1,15,True,10000,True,10000,True,91
92,815,221,1601,413,1195,321,0,1,363,111.21,338.0,new,experiments/results/CM_2_2/TB_5mill/92.onnx,CM,2,2,13539.057109832764,4600000,1e-05,20,0.1,15,True,10000,True,10000,True,92
93,1082,240,1974,437,1531,430,2,1,451,129.7,540.0,new,experiments/results/CM_2_2/TB_5mill/93.onnx,CM,2,2,13666.19193649292,4650000,1e-05,20,0.1,15,True,10000,True,10000,True,93
94,909,221,1779,413,1121,394,4,1,440,90.33,266.0,new,experiments/results/CM_2_2/TB_5mill/94.onnx,CM,2,2,13833.192977428436,4700000,1e-05,20,0.1,15,True,10000,True,10000,True,94
95,1112,221,1987,413,1627,362,2,24,442,105.58,638.0,new,experiments/results/CM_2_2/TB_5mill/95.onnx,CM,2,2,13997.206528902054,4750000,1e-05,20,0.1,15,True,10000,True,10000,True,95
96,839,221,1556,413,1045,123,90,1,279,150.77,434.0,new,experiments/results/CM_2_2/TB_5mill/96.onnx,CM,2,2,14116.124862670898,4800000,1e-05,20,0.1,15,True,10000,True,10000,True,96
97,1096,221,2153,413,1371,244,27,17,639,141.37,651.0,new,experiments/results/CM_2_2/TB_5mill/97.onnx,CM,2,2,14234.766650438309,4850000,1e-05,20,0.1,15,True,10000,True,10000,True,97
98,866,221,1610,413,1131,310,9,52,359,56.32,334.0,new,experiments/results/CM_2_2/TB_5mill/98.onnx,CM,2,2,14359.02491927147,4900000,1e-05,20,0.1,15,True,10000,True,10000,True,98
99,1076,221,1935,413,1539,308,5,14,375,146.68,598.0,new,experiments/results/CM_2_2/TB_5mill/99.onnx,CM,2,2,14483.304769039154,4950000,1e-05,20,0.1,15,True,10000,True,10000,True,99
100,940,247,1778,461,1094,260,7,20,414,50.2,415.0,new,experiments/results/CM_2_2/TB_5mill/100.onnx,CM,2,2,14685.2297706604,5000000,1e-05,20,0.1,15,True,10000,True,10000,True,100
