,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,idx
30,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/31.onnx,AT,1,1,31
31,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/32.onnx,AT,1,1,32
32,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/33.onnx,AT,1,1,33
33,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/34.onnx,AT,1,1,34
34,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/35.onnx,AT,1,1,35
35,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/36.onnx,AT,1,1,36
36,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/37.onnx,AT,1,1,37
37,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/38.onnx,AT,1,1,38
38,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/39.onnx,AT,1,1,39
39,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/40.onnx,AT,1,1,40
40,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/41.onnx,AT,1,1,41
41,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/42.onnx,AT,1,1,42
42,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/43.onnx,AT,1,1,43
43,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/45.onnx,AT,1,1,45
44,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/46.onnx,AT,1,1,46
45,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/48.onnx,AT,1,1,48
46,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/49.onnx,AT,1,1,49
47,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/50.onnx,AT,1,1,50
48,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/51.onnx,AT,1,1,51
49,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/52.onnx,AT,1,1,52
50,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/53.onnx,AT,1,1,53
51,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/54.onnx,AT,1,1,54
52,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/55.onnx,AT,1,1,55
53,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/56.onnx,AT,1,1,56
54,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/57.onnx,AT,1,1,57
55,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/58.onnx,AT,1,1,58
56,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/59.onnx,AT,1,1,59
57,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/60.onnx,AT,1,1,60
58,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/61.onnx,AT,1,1,61
59,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/62.onnx,AT,1,1,62
60,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/63.onnx,AT,1,1,63
61,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/65.onnx,AT,1,1,65
62,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/66.onnx,AT,1,1,66
63,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/68.onnx,AT,1,1,68
64,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/69.onnx,AT,1,1,69
65,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/70.onnx,AT,1,1,70
66,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/71.onnx,AT,1,1,71
67,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/72.onnx,AT,1,1,72
68,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/73.onnx,AT,1,1,73
69,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/74.onnx,AT,1,1,74
70,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/75.onnx,AT,1,1,75
71,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/76.onnx,AT,1,1,76
72,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/77.onnx,AT,1,1,77
73,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/78.onnx,AT,1,1,78
74,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/79.onnx,AT,1,1,79
75,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/80.onnx,AT,1,1,80
76,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/81.onnx,AT,1,1,81
77,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/82.onnx,AT,1,1,82
78,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/83.onnx,AT,1,1,83
79,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/84.onnx,AT,1,1,84
80,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/85.onnx,AT,1,1,85
81,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/86.onnx,AT,1,1,86
82,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/87.onnx,AT,1,1,87
83,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/88.onnx,AT,1,1,88
84,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/89.onnx,AT,1,1,89
85,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/90.onnx,AT,1,1,90
86,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/91.onnx,AT,1,1,91
87,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/92.onnx,AT,1,1,92
88,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/93.onnx,AT,1,1,93
89,,,False,True,new,experiments/results/AT_2_2/pathLabelsSGDNoMomentum/94.onnx,AT,1,1,94
