,expanded transitions,synthesis time(ms),OutOfMem,Exception,algorithm,heuristic,problem,n,k,transitions/ms,idx,expanded states,used states,used transitions,findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded
16,101.0,244.0,False,,new,experiments/results/DP_2_2/boolean/10.onnx,DP,2,2,0.4139344262295082,10,83.0,0.0,0.0,11.0,1.0,0.0,6.0,0.0,68.0,true
17,3.0,185.0,False,,new,experiments/results/DP_2_2/boolean/11.onnx,DP,1,1,0.016216216216216217,11,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
18,4.0,181.0,False,,new,experiments/results/DP_2_2/boolean/11.onnx,DP,1,2,0.022099447513812154,11,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
19,89.0,230.0,False,,new,experiments/results/DP_2_2/boolean/11.onnx,DP,2,1,0.3869565217391304,11,68.0,25.0,31.0,16.0,2.0,1.0,6.0,22.18,60.0,false
20,101.0,253.0,False,,new,experiments/results/DP_2_2/boolean/11.onnx,DP,2,2,0.39920948616600793,11,83.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,60.0,true
21,3.0,175.0,False,,new,experiments/results/DP_2_2/boolean/12.onnx,DP,1,1,0.017142857142857144,12,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
22,4.0,180.0,False,,new,experiments/results/DP_2_2/boolean/12.onnx,DP,1,2,0.022222222222222223,12,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
23,89.0,248.0,False,,new,experiments/results/DP_2_2/boolean/12.onnx,DP,2,1,0.3588709677419355,12,68.0,25.0,31.0,16.0,2.0,1.0,6.0,22.18,62.0,false
24,101.0,255.0,False,,new,experiments/results/DP_2_2/boolean/12.onnx,DP,2,2,0.396078431372549,12,82.0,0.0,0.0,10.0,1.0,0.0,6.0,0.0,68.0,true
25,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/13.onnx,DP,1,1,0.017964071856287425,13,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
26,4.0,173.0,False,,new,experiments/results/DP_2_2/boolean/13.onnx,DP,1,2,0.023121387283236993,13,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
27,67.0,219.0,False,,new,experiments/results/DP_2_2/boolean/13.onnx,DP,2,1,0.3059360730593607,13,54.0,23.0,27.0,8.0,2.0,1.0,6.0,21.14,44.0,false
28,89.0,224.0,False,,new,experiments/results/DP_2_2/boolean/13.onnx,DP,2,2,0.39732142857142855,13,72.0,25.0,29.0,9.0,1.0,1.0,6.0,21.62,49.0,false
29,3.0,168.0,False,,new,experiments/results/DP_2_2/boolean/14.onnx,DP,1,1,0.017857142857142856,14,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
30,4.0,168.0,False,,new,experiments/results/DP_2_2/boolean/14.onnx,DP,1,2,0.023809523809523808,14,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
31,84.0,251.0,False,,new,experiments/results/DP_2_2/boolean/14.onnx,DP,2,1,0.3346613545816733,14,65.0,25.0,31.0,13.0,2.0,1.0,6.0,21.62,64.0,false
32,101.0,243.0,False,,new,experiments/results/DP_2_2/boolean/14.onnx,DP,2,2,0.4156378600823045,14,82.0,0.0,0.0,11.0,1.0,0.0,6.0,0.0,49.0,true
33,3.0,165.0,False,,new,experiments/results/DP_2_2/boolean/15.onnx,DP,1,1,0.01818181818181818,15,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
34,4.0,171.0,False,,new,experiments/results/DP_2_2/boolean/15.onnx,DP,1,2,0.023391812865497075,15,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
35,68.0,227.0,False,,new,experiments/results/DP_2_2/boolean/15.onnx,DP,2,1,0.29955947136563876,15,55.0,23.0,27.0,8.0,2.0,1.0,6.0,21.14,50.0,false
36,90.0,227.0,False,,new,experiments/results/DP_2_2/boolean/15.onnx,DP,2,2,0.3964757709251101,15,73.0,25.0,29.0,8.0,2.0,1.0,6.0,22.18,59.0,false
37,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/16.onnx,DP,1,1,0.017964071856287425,16,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
38,4.0,177.0,False,,new,experiments/results/DP_2_2/boolean/16.onnx,DP,1,2,0.022598870056497175,16,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
39,67.0,214.0,False,,new,experiments/results/DP_2_2/boolean/16.onnx,DP,2,1,0.3130841121495327,16,55.0,23.0,27.0,7.0,2.0,1.0,6.0,21.14,40.0,false
40,90.0,230.0,False,,new,experiments/results/DP_2_2/boolean/16.onnx,DP,2,2,0.391304347826087,16,73.0,25.0,29.0,9.0,1.0,1.0,6.0,22.18,56.0,false
41,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/17.onnx,DP,1,1,0.018072289156626505,17,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
42,4.0,170.0,False,,new,experiments/results/DP_2_2/boolean/17.onnx,DP,1,2,0.023529411764705882,17,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,false
43,67.0,211.0,False,,new,experiments/results/DP_2_2/boolean/17.onnx,DP,2,1,0.3175355450236967,17,55.0,23.0,27.0,7.0,2.0,1.0,6.0,21.14,41.0,false
44,88.0,232.0,False,,new,experiments/results/DP_2_2/boolean/17.onnx,DP,2,2,0.3793103448275862,17,72.0,25.0,29.0,7.0,2.0,1.0,6.0,21.62,56.0,false
45,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/18.onnx,DP,1,1,0.018072289156626505,18,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
46,4.0,173.0,False,,new,experiments/results/DP_2_2/boolean/18.onnx,DP,1,2,0.023121387283236993,18,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
47,71.0,223.0,False,,new,experiments/results/DP_2_2/boolean/18.onnx,DP,2,1,0.3183856502242152,18,57.0,25.0,31.0,9.0,1.0,1.0,6.0,21.62,43.0,false
48,90.0,230.0,False,,new,experiments/results/DP_2_2/boolean/18.onnx,DP,2,2,0.391304347826087,18,74.0,25.0,29.0,8.0,1.0,1.0,6.0,21.7,53.0,false
49,3.0,170.0,False,,new,experiments/results/DP_2_2/boolean/19.onnx,DP,1,1,0.01764705882352941,19,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
50,4.0,170.0,False,,new,experiments/results/DP_2_2/boolean/19.onnx,DP,1,2,0.023529411764705882,19,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
51,67.0,221.0,False,,new,experiments/results/DP_2_2/boolean/19.onnx,DP,2,1,0.3031674208144796,19,55.0,23.0,27.0,8.0,1.0,1.0,6.0,21.14,52.0,false
52,86.0,221.0,False,,new,experiments/results/DP_2_2/boolean/19.onnx,DP,2,2,0.3891402714932127,19,71.0,25.0,29.0,6.0,2.0,1.0,6.0,21.62,48.0,false
53,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/20.onnx,DP,1,1,0.017964071856287425,20,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
54,4.0,167.0,False,,new,experiments/results/DP_2_2/boolean/20.onnx,DP,1,2,0.023952095808383235,20,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
55,99.0,237.0,False,,new,experiments/results/DP_2_2/boolean/20.onnx,DP,2,1,0.4177215189873418,20,73.0,27.0,35.0,19.0,2.0,1.0,6.0,22.66,48.0,false
56,101.0,237.0,False,,new,experiments/results/DP_2_2/boolean/20.onnx,DP,2,2,0.42616033755274263,20,82.0,0.0,0.0,11.0,2.0,0.0,6.0,0.0,54.0,true
57,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/21.onnx,DP,1,1,0.018072289156626505,21,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
58,4.0,166.0,False,,new,experiments/results/DP_2_2/boolean/21.onnx,DP,1,2,0.024096385542168676,21,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
59,99.0,233.0,False,,new,experiments/results/DP_2_2/boolean/21.onnx,DP,2,1,0.4248927038626609,21,73.0,27.0,35.0,19.0,2.0,1.0,6.0,22.66,53.0,false
60,101.0,240.0,False,,new,experiments/results/DP_2_2/boolean/21.onnx,DP,2,2,0.42083333333333334,21,82.0,0.0,0.0,11.0,2.0,0.0,6.0,0.0,65.0,true
61,3.0,171.0,False,,new,experiments/results/DP_2_2/boolean/22.onnx,DP,1,1,0.017543859649122806,22,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
62,4.0,167.0,False,,new,experiments/results/DP_2_2/boolean/22.onnx,DP,1,2,0.023952095808383235,22,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
63,82.0,222.0,False,,new,experiments/results/DP_2_2/boolean/22.onnx,DP,2,1,0.36936936936936937,22,62.0,27.0,35.0,11.0,2.0,1.0,8.0,21.62,49.0,false
64,101.0,245.0,False,,new,experiments/results/DP_2_2/boolean/22.onnx,DP,2,2,0.4122448979591837,22,81.0,0.0,0.0,9.0,2.0,0.0,9.0,0.0,68.0,true
65,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/23.onnx,DP,1,1,0.017964071856287425,23,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
66,4.0,167.0,False,,new,experiments/results/DP_2_2/boolean/23.onnx,DP,1,2,0.023952095808383235,23,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
67,79.0,218.0,False,,new,experiments/results/DP_2_2/boolean/23.onnx,DP,2,1,0.3623853211009174,23,61.0,27.0,35.0,11.0,2.0,1.0,6.0,21.62,47.0,false
68,97.0,239.0,False,,new,experiments/results/DP_2_2/boolean/23.onnx,DP,2,2,0.40585774058577406,23,78.0,25.0,29.0,11.0,2.0,1.0,6.0,22.18,57.0,false
69,3.0,165.0,False,,new,experiments/results/DP_2_2/boolean/24.onnx,DP,1,1,0.01818181818181818,24,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
70,4.0,167.0,False,,new,experiments/results/DP_2_2/boolean/24.onnx,DP,1,2,0.023952095808383235,24,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
71,64.0,213.0,False,,new,experiments/results/DP_2_2/boolean/24.onnx,DP,2,1,0.3004694835680751,24,48.0,27.0,36.0,5.0,1.0,1.0,4.0,21.14,39.0,false
72,80.0,228.0,False,,new,experiments/results/DP_2_2/boolean/24.onnx,DP,2,2,0.3508771929824561,24,62.0,25.0,29.0,5.0,1.0,1.0,6.0,21.14,59.0,false
73,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/25.onnx,DP,1,1,0.018072289156626505,25,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
74,4.0,170.0,False,,new,experiments/results/DP_2_2/boolean/25.onnx,DP,1,2,0.023529411764705882,25,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
75,70.0,216.0,False,,new,experiments/results/DP_2_2/boolean/25.onnx,DP,2,1,0.32407407407407407,25,56.0,25.0,31.0,7.0,2.0,1.0,6.0,21.14,49.0,false
76,85.0,223.0,False,,new,experiments/results/DP_2_2/boolean/25.onnx,DP,2,2,0.3811659192825112,25,70.0,25.0,29.0,7.0,2.0,1.0,6.0,21.62,55.0,false
77,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/26.onnx,DP,1,1,0.018072289156626505,26,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
78,4.0,167.0,False,,new,experiments/results/DP_2_2/boolean/26.onnx,DP,1,2,0.023952095808383235,26,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
79,92.0,225.0,False,,new,experiments/results/DP_2_2/boolean/26.onnx,DP,2,1,0.4088888888888889,26,68.0,27.0,36.0,10.0,1.0,1.0,6.0,21.62,54.0,false
80,85.0,231.0,False,,new,experiments/results/DP_2_2/boolean/26.onnx,DP,2,2,0.36796536796536794,26,65.0,25.0,29.0,5.0,1.0,1.0,3.0,21.14,59.0,false
81,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/27.onnx,DP,1,1,0.018072289156626505,27,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
82,4.0,177.0,False,,new,experiments/results/DP_2_2/boolean/27.onnx,DP,1,2,0.022598870056497175,27,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
83,75.0,219.0,False,,new,experiments/results/DP_2_2/boolean/27.onnx,DP,2,1,0.3424657534246575,27,53.0,37.0,53.0,5.0,1.0,1.0,4.0,21.14,48.0,false
84,85.0,218.0,False,,new,experiments/results/DP_2_2/boolean/27.onnx,DP,2,2,0.38990825688073394,27,64.0,25.0,29.0,5.0,1.0,1.0,5.0,21.14,48.0,false
85,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/28.onnx,DP,1,1,0.017964071856287425,28,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
86,4.0,166.0,False,,new,experiments/results/DP_2_2/boolean/28.onnx,DP,1,2,0.024096385542168676,28,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
87,97.0,234.0,False,,new,experiments/results/DP_2_2/boolean/28.onnx,DP,2,1,0.41452991452991456,28,70.0,27.0,36.0,13.0,1.0,1.0,6.0,22.18,58.0,false
88,87.0,226.0,False,,new,experiments/results/DP_2_2/boolean/28.onnx,DP,2,2,0.38495575221238937,28,66.0,25.0,29.0,5.0,1.0,1.0,6.0,21.14,50.0,false
89,3.0,171.0,False,,new,experiments/results/DP_2_2/boolean/29.onnx,DP,1,1,0.017543859649122806,29,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
90,4.0,172.0,False,,new,experiments/results/DP_2_2/boolean/29.onnx,DP,1,2,0.023255813953488372,29,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
91,83.0,224.0,False,,new,experiments/results/DP_2_2/boolean/29.onnx,DP,2,1,0.3705357142857143,29,62.0,27.0,36.0,6.0,2.0,1.0,8.0,21.62,57.0,false
92,77.0,215.0,False,,new,experiments/results/DP_2_2/boolean/29.onnx,DP,2,2,0.3581395348837209,29,59.0,25.0,29.0,5.0,1.0,1.0,5.0,21.14,46.0,false
93,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/30.onnx,DP,1,1,0.018072289156626505,30,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
94,4.0,169.0,False,,new,experiments/results/DP_2_2/boolean/30.onnx,DP,1,2,0.023668639053254437,30,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
95,69.0,211.0,False,,new,experiments/results/DP_2_2/boolean/30.onnx,DP,2,1,0.32701421800947866,30,50.0,27.0,36.0,5.0,1.0,1.0,7.0,21.14,41.0,false
96,90.0,225.0,False,,new,experiments/results/DP_2_2/boolean/30.onnx,DP,2,2,0.4,30,67.0,25.0,29.0,5.0,1.0,1.0,5.0,21.14,60.0,false
97,3.0,169.0,False,,new,experiments/results/DP_2_2/boolean/31.onnx,DP,1,1,0.01775147928994083,31,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
98,4.0,168.0,False,,new,experiments/results/DP_2_2/boolean/31.onnx,DP,1,2,0.023809523809523808,31,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
99,86.0,226.0,False,,new,experiments/results/DP_2_2/boolean/31.onnx,DP,2,1,0.3805309734513274,31,64.0,27.0,36.0,7.0,2.0,1.0,8.0,21.62,54.0,false
100,82.0,251.0,False,,new,experiments/results/DP_2_2/boolean/31.onnx,DP,2,2,0.32669322709163345,31,63.0,25.0,29.0,5.0,1.0,1.0,4.0,21.14,64.0,false
101,3.0,173.0,False,,new,experiments/results/DP_2_2/boolean/32.onnx,DP,1,1,0.017341040462427744,32,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,false
102,4.0,187.0,False,,new,experiments/results/DP_2_2/boolean/32.onnx,DP,1,2,0.0213903743315508,32,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
103,95.0,249.0,False,,new,experiments/results/DP_2_2/boolean/32.onnx,DP,2,1,0.3815261044176707,32,69.0,27.0,36.0,9.0,2.0,1.0,8.0,21.7,68.0,false
104,90.0,234.0,False,,new,experiments/results/DP_2_2/boolean/32.onnx,DP,2,2,0.38461538461538464,32,68.0,25.0,29.0,8.0,1.0,1.0,4.0,21.62,53.0,false
105,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/33.onnx,DP,1,1,0.017964071856287425,33,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
106,4.0,171.0,False,,new,experiments/results/DP_2_2/boolean/33.onnx,DP,1,2,0.023391812865497075,33,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
107,101.0,252.0,False,,new,experiments/results/DP_2_2/boolean/33.onnx,DP,2,1,0.4007936507936508,33,72.0,0.0,0.0,12.0,2.0,0.0,8.0,0.0,74.0,true
108,101.0,235.0,False,,new,experiments/results/DP_2_2/boolean/33.onnx,DP,2,2,0.4297872340425532,33,81.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,65.0,true
109,3.0,174.0,False,,new,experiments/results/DP_2_2/boolean/34.onnx,DP,1,1,0.017241379310344827,34,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
110,4.0,168.0,False,,new,experiments/results/DP_2_2/boolean/34.onnx,DP,1,2,0.023809523809523808,34,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
111,96.0,233.0,False,,new,experiments/results/DP_2_2/boolean/34.onnx,DP,2,1,0.41201716738197425,34,69.0,27.0,36.0,10.0,2.0,1.0,8.0,22.18,54.0,false
112,101.0,230.0,False,,new,experiments/results/DP_2_2/boolean/34.onnx,DP,2,2,0.4391304347826087,34,77.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,62.0,true
113,3.0,174.0,False,,new,experiments/results/DP_2_2/boolean/35.onnx,DP,1,1,0.017241379310344827,35,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
114,4.0,168.0,False,,new,experiments/results/DP_2_2/boolean/35.onnx,DP,1,2,0.023809523809523808,35,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
115,96.0,234.0,False,,new,experiments/results/DP_2_2/boolean/35.onnx,DP,2,1,0.41025641025641024,35,69.0,27.0,36.0,10.0,2.0,1.0,8.0,22.18,54.0,false
116,89.0,230.0,False,,new,experiments/results/DP_2_2/boolean/35.onnx,DP,2,2,0.3869565217391304,35,65.0,31.0,42.0,11.0,1.0,1.0,2.0,21.62,59.0,false
117,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/36.onnx,DP,1,1,0.017964071856287425,36,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
118,4.0,166.0,False,,new,experiments/results/DP_2_2/boolean/36.onnx,DP,1,2,0.024096385542168676,36,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
119,65.0,214.0,False,,new,experiments/results/DP_2_2/boolean/36.onnx,DP,2,1,0.3037383177570093,36,46.0,27.0,36.0,6.0,1.0,1.0,6.0,21.14,41.0,false
120,88.0,225.0,False,,new,experiments/results/DP_2_2/boolean/36.onnx,DP,2,2,0.39111111111111113,36,63.0,31.0,42.0,6.0,1.0,1.0,4.0,21.62,50.0,false
121,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/37.onnx,DP,1,1,0.017964071856287425,37,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
122,4.0,165.0,False,,new,experiments/results/DP_2_2/boolean/37.onnx,DP,1,2,0.024242424242424242,37,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
123,66.0,209.0,False,,new,experiments/results/DP_2_2/boolean/37.onnx,DP,2,1,0.3157894736842105,37,46.0,27.0,36.0,6.0,1.0,1.0,7.0,21.14,40.0,false
124,88.0,220.0,False,,new,experiments/results/DP_2_2/boolean/37.onnx,DP,2,2,0.4,37,63.0,28.0,36.0,6.0,1.0,1.0,5.0,21.62,49.0,false
125,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/38.onnx,DP,1,1,0.017964071856287425,38,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
126,4.0,167.0,False,,new,experiments/results/DP_2_2/boolean/38.onnx,DP,1,2,0.023952095808383235,38,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
127,66.0,211.0,False,,new,experiments/results/DP_2_2/boolean/38.onnx,DP,2,1,0.3127962085308057,38,46.0,27.0,36.0,6.0,1.0,1.0,7.0,21.14,41.0,false
128,91.0,227.0,False,,new,experiments/results/DP_2_2/boolean/38.onnx,DP,2,2,0.4008810572687225,38,63.0,31.0,42.0,6.0,1.0,1.0,9.0,21.62,55.0,false
129,3.0,172.0,False,,new,experiments/results/DP_2_2/boolean/39.onnx,DP,1,1,0.01744186046511628,39,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
130,4.0,171.0,False,,new,experiments/results/DP_2_2/boolean/39.onnx,DP,1,2,0.023391812865497075,39,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
131,65.0,207.0,False,,new,experiments/results/DP_2_2/boolean/39.onnx,DP,2,1,0.3140096618357488,39,46.0,27.0,36.0,6.0,1.0,1.0,7.0,21.14,40.0,false
132,90.0,229.0,False,,new,experiments/results/DP_2_2/boolean/39.onnx,DP,2,2,0.3930131004366812,39,63.0,28.0,36.0,6.0,1.0,1.0,6.0,21.62,55.0,false
133,3.0,166.0,False,,new,experiments/results/DP_2_2/boolean/40.onnx,DP,1,1,0.018072289156626505,40,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
134,4.0,172.0,False,,new,experiments/results/DP_2_2/boolean/40.onnx,DP,1,2,0.023255813953488372,40,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,false
135,65.0,207.0,False,,new,experiments/results/DP_2_2/boolean/40.onnx,DP,2,1,0.3140096618357488,40,46.0,27.0,36.0,7.0,1.0,1.0,6.0,21.14,40.0,false
136,90.0,225.0,False,,new,experiments/results/DP_2_2/boolean/40.onnx,DP,2,2,0.4,40,63.0,31.0,42.0,7.0,1.0,1.0,4.0,21.62,53.0,false
137,3.0,169.0,False,,new,experiments/results/DP_2_2/boolean/41.onnx,DP,1,1,0.01775147928994083,41,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
138,4.0,165.0,False,,new,experiments/results/DP_2_2/boolean/41.onnx,DP,1,2,0.024242424242424242,41,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,false
139,62.0,221.0,False,,new,experiments/results/DP_2_2/boolean/41.onnx,DP,2,1,0.28054298642533937,41,46.0,25.0,31.0,6.0,1.0,1.0,6.0,21.14,55.0,false
140,88.0,230.0,False,,new,experiments/results/DP_2_2/boolean/41.onnx,DP,2,2,0.3826086956521739,41,63.0,28.0,35.0,8.0,1.0,1.0,4.0,21.62,51.0,false
141,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/42.onnx,DP,1,1,0.017964071856287425,42,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
142,4.0,174.0,False,,new,experiments/results/DP_2_2/boolean/42.onnx,DP,1,2,0.022988505747126436,42,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,false
143,59.0,208.0,False,,new,experiments/results/DP_2_2/boolean/42.onnx,DP,2,1,0.28365384615384615,42,46.0,23.0,27.0,6.0,1.0,1.0,4.0,20.66,37.0,false
144,90.0,218.0,False,,new,experiments/results/DP_2_2/boolean/42.onnx,DP,2,2,0.41284403669724773,42,63.0,25.0,29.0,8.0,1.0,1.0,6.0,21.62,45.0,false
145,3.0,172.0,False,,new,experiments/results/DP_2_2/boolean/43.onnx,DP,1,1,0.01744186046511628,43,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
146,4.0,172.0,False,,new,experiments/results/DP_2_2/boolean/43.onnx,DP,1,2,0.023255813953488372,43,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
147,57.0,241.0,False,,new,experiments/results/DP_2_2/boolean/43.onnx,DP,2,1,0.23651452282157676,43,45.0,23.0,27.0,6.0,1.0,1.0,3.0,20.66,39.0,false
148,80.0,227.0,False,,new,experiments/results/DP_2_2/boolean/43.onnx,DP,2,2,0.3524229074889868,43,59.0,25.0,29.0,8.0,1.0,1.0,5.0,21.14,61.0,false
149,3.0,167.0,False,,new,experiments/results/DP_2_2/boolean/45.onnx,DP,1,1,0.017964071856287425,45,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,false
