,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
68,52,25,67,29,167,4,0,1,7,18.18,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/68.onnx,DP,2,2,4679.570064783096,3400000,1e-05,20,0.1,17,True,68
69,74,31,96,38,184,7,0,2,1,20.18,24.0,new,experiments/results/DP_2_2/ra_feature2_2h/69.onnx,DP,2,2,4748.339565515518,3450000,1e-05,20,0.1,17,True,69
70,47,28,65,35,160,10,0,1,4,18.18,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/70.onnx,DP,2,2,4816.833712100983,3500000,1e-05,20,0.1,17,True,70
71,75,55,119,88,175,18,2,1,5,20.66,26.0,new,experiments/results/DP_2_2/ra_feature2_2h/71.onnx,DP,2,2,4885.475226640701,3550000,1e-05,20,0.1,17,True,71
72,62,25,91,29,175,11,0,1,6,19.14,16.0,new,experiments/results/DP_2_2/ra_feature2_2h/72.onnx,DP,2,2,4953.907201766968,3600000,1e-05,20,0.1,17,True,72
73,61,28,94,35,195,16,0,1,6,19.14,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/73.onnx,DP,2,2,5022.327270746231,3650000,1e-05,20,0.1,17,True,73
74,69,34,94,44,198,18,0,1,7,20.66,26.0,new,experiments/results/DP_2_2/ra_feature2_2h/74.onnx,DP,2,2,5091.102774143219,3700000,1e-05,20,0.1,17,True,74
75,49,28,71,35,165,15,0,1,4,18.66,16.0,new,experiments/results/DP_2_2/ra_feature2_2h/75.onnx,DP,2,2,5160.129305839539,3750000,1e-05,20,0.1,17,True,75
76,74,36,117,51,201,15,0,1,8,20.18,26.0,new,experiments/results/DP_2_2/ra_feature2_2h/76.onnx,DP,2,2,5229.293158054352,3800000,1e-05,20,0.1,17,True,76
77,73,25,105,29,200,14,0,1,10,20.18,23.0,new,experiments/results/DP_2_2/ra_feature2_2h/77.onnx,DP,2,2,5298.42450594902,3850000,1e-05,20,0.1,17,True,77
78,48,25,58,29,166,4,0,1,6,18.18,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/78.onnx,DP,2,2,5367.709922790527,3900000,1e-05,20,0.1,17,True,78
79,67,28,96,35,203,12,0,1,6,20.18,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/79.onnx,DP,2,2,5436.73720741272,3950000,1e-05,20,0.1,17,True,79
