,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx,Exception
97,16.0,0.0,15.0,0.0,198.0,0.0,0.0,0.0,1.0,0.0,31.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,7,1,1,
98,31.0,0.0,30.0,0.0,231.0,0.0,0.0,0.0,3.0,0.0,54.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,7,2,1,
99,93.0,0.0,93.0,0.0,287.0,0.0,0.0,0.0,14.0,0.0,100.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,7,3,1,
100,18.0,0.0,17.0,0.0,214.0,0.0,0.0,0.0,1.0,0.0,44.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,8,1,1,
101,34.0,0.0,33.0,0.0,240.0,0.0,0.0,0.0,3.0,0.0,60.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,8,2,1,
102,69.0,0.0,68.0,0.0,280.0,0.0,0.0,0.0,8.0,0.0,96.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,8,3,1,
103,20.0,0.0,19.0,0.0,212.0,0.0,0.0,0.0,1.0,0.0,44.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,9,1,1,
104,37.0,0.0,36.0,0.0,262.0,0.0,0.0,0.0,3.0,0.0,86.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,9,2,1,
105,73.0,0.0,72.0,0.0,289.0,0.0,0.0,0.0,8.0,0.0,109.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,9,3,1,
106,22.0,0.0,21.0,0.0,227.0,0.0,0.0,0.0,1.0,0.0,45.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,10,1,1,
107,40.0,0.0,39.0,0.0,257.0,0.0,0.0,0.0,3.0,0.0,80.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,10,2,1,
108,75.0,0.0,76.0,0.0,343.0,0.0,0.0,0.0,7.0,0.0,135.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,10,3,1,
109,24.0,0.0,23.0,0.0,234.0,0.0,0.0,0.0,1.0,0.0,52.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,11,1,1,
110,43.0,0.0,42.0,0.0,273.0,0.0,0.0,0.0,3.0,0.0,88.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,11,2,1,
111,79.0,0.0,80.0,0.0,329.0,0.0,0.0,0.0,7.0,0.0,146.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,11,3,1,
112,26.0,0.0,25.0,0.0,232.0,0.0,0.0,0.0,1.0,0.0,57.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,12,1,1,
113,46.0,0.0,45.0,0.0,273.0,0.0,0.0,0.0,3.0,0.0,88.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,12,2,1,
114,83.0,0.0,84.0,0.0,340.0,0.0,0.0,0.0,7.0,0.0,148.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,12,3,1,
115,28.0,0.0,27.0,0.0,247.0,0.0,0.0,0.0,1.0,0.0,59.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,13,1,1,
116,49.0,0.0,48.0,0.0,285.0,0.0,0.0,0.0,3.0,0.0,103.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,13,2,1,
117,100.0,0.0,102.0,0.0,367.0,0.0,0.0,0.0,11.0,0.0,174.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,13,3,1,
118,30.0,0.0,29.0,0.0,250.0,0.0,0.0,0.0,1.0,0.0,74.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,14,1,1,
119,52.0,0.0,51.0,0.0,287.0,0.0,0.0,0.0,3.0,0.0,107.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,14,2,1,
120,91.0,0.0,92.0,0.0,362.0,0.0,0.0,0.0,7.0,0.0,174.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,14,3,1,
121,32.0,0.0,31.0,0.0,243.0,0.0,0.0,0.0,1.0,0.0,67.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,15,1,1,
122,55.0,0.0,54.0,0.0,297.0,0.0,0.0,0.0,3.0,0.0,116.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,15,2,1,
123,97.0,0.0,96.0,0.0,366.0,0.0,0.0,0.0,8.0,0.0,182.0,False,new,experiments/results/AT_2_2/pathLabels/1.onnx,AT,15,3,1,
124,6.0,6.0,8.0,8.0,181.0,2.0,0.0,1.0,0.0,13.51,17.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,1,2,
125,7.0,6.0,10.0,8.0,184.0,2.0,0.0,1.0,0.0,13.52,18.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,2,2,
126,8.0,6.0,12.0,8.0,184.0,2.0,0.0,1.0,0.0,14.0,15.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,3,2,
127,9.0,6.0,14.0,8.0,189.0,2.0,0.0,1.0,0.0,14.0,16.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,4,2,
128,10.0,6.0,16.0,8.0,192.0,2.0,0.0,1.0,0.0,14.99,19.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,5,2,
129,11.0,6.0,18.0,8.0,189.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,6,2,
130,12.0,6.0,20.0,8.0,192.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,7,2,
131,13.0,6.0,22.0,8.0,190.0,2.0,0.0,1.0,0.0,15.5,22.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,8,2,
132,14.0,6.0,24.0,8.0,192.0,2.0,0.0,1.0,0.0,15.5,25.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,9,2,
