,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
42,35,23,60,33,156,5,0,1,6,18.18,13.0,new,experiments/results/AT_2_2/TB_5mill/42.onnx,AT,2,2,3356.0912041664124,2100000,1e-05,20,0.1,15,True,10000,True,10000,True,42
43,37,23,62,33,166,4,0,1,8,18.18,15.0,new,experiments/results/AT_2_2/TB_5mill/43.onnx,AT,2,2,3429.033088207245,2150000,1e-05,20,0.1,15,True,10000,True,10000,True,43
44,25,23,39,33,174,9,0,4,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/44.onnx,AT,2,2,3502.290784597397,2200000,1e-05,20,0.1,15,True,10000,True,10000,True,44
45,37,23,62,33,168,5,0,1,9,18.18,26.0,new,experiments/results/AT_2_2/TB_5mill/45.onnx,AT,2,2,3575.50421333313,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,45
46,37,23,63,33,189,4,0,1,8,18.18,17.0,new,experiments/results/AT_2_2/TB_5mill/46.onnx,AT,2,2,3648.424294948578,2300000,1e-05,20,0.1,15,True,10000,True,10000,True,46
47,28,20,45,30,152,6,0,1,2,17.62,14.0,new,experiments/results/AT_2_2/TB_5mill/47.onnx,AT,2,2,3723.039766073227,2350000,1e-05,20,0.1,15,True,10000,True,10000,True,47
48,33,23,57,33,157,5,0,1,4,18.18,17.0,new,experiments/results/AT_2_2/TB_5mill/48.onnx,AT,2,2,3796.718139886856,2400000,1e-05,20,0.1,15,True,10000,True,10000,True,48
49,37,25,63,39,176,4,0,1,9,18.18,12.0,new,experiments/results/AT_2_2/TB_5mill/49.onnx,AT,2,2,3869.752764940262,2450000,1e-05,20,0.1,15,True,10000,True,10000,True,49
50,37,23,62,33,188,5,0,1,8,18.18,18.0,new,experiments/results/AT_2_2/TB_5mill/50.onnx,AT,2,2,3943.451085805893,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,50
51,23,20,34,30,166,7,0,2,1,17.14,10.0,new,experiments/results/AT_2_2/TB_5mill/51.onnx,AT,2,2,4016.3443183898926,2550000,1e-05,20,0.1,15,True,10000,True,10000,True,51
52,37,25,63,39,170,6,0,1,8,18.18,16.0,new,experiments/results/AT_2_2/TB_5mill/52.onnx,AT,2,2,4088.407826900482,2600000,1e-05,20,0.1,15,True,10000,True,10000,True,52
53,26,20,39,30,154,6,0,4,0,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/53.onnx,AT,2,2,4161.447039365768,2650000,1e-05,20,0.1,15,True,10000,True,10000,True,53
54,23,20,37,30,183,11,0,1,0,17.14,13.0,new,experiments/results/AT_2_2/TB_5mill/54.onnx,AT,2,2,4234.136990070343,2700000,1e-05,20,0.1,15,True,10000,True,10000,True,54
55,26,20,40,30,162,8,0,3,0,17.62,11.0,new,experiments/results/AT_2_2/TB_5mill/55.onnx,AT,2,2,4306.6980073452,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,55
56,26,23,41,33,190,10,0,3,0,17.62,17.0,new,experiments/results/AT_2_2/TB_5mill/56.onnx,AT,2,2,4379.030620336533,2800000,1e-05,20,0.1,15,True,10000,True,10000,True,56
57,26,20,40,30,154,9,0,4,0,17.62,9.0,new,experiments/results/AT_2_2/TB_5mill/57.onnx,AT,2,2,4450.847719907761,2850000,1e-05,20,0.1,15,True,10000,True,10000,True,57
58,23,23,35,33,153,8,0,3,0,17.14,14.0,new,experiments/results/AT_2_2/TB_5mill/58.onnx,AT,2,2,4523.792243719101,2900000,1e-05,20,0.1,15,True,10000,True,10000,True,58
59,29,23,43,33,178,9,0,2,2,17.62,17.0,new,experiments/results/AT_2_2/TB_5mill/59.onnx,AT,2,2,4596.116795063019,2950000,1e-05,20,0.1,15,True,10000,True,10000,True,59
60,25,20,39,30,166,10,0,3,0,17.14,6.0,new,experiments/results/AT_2_2/TB_5mill/60.onnx,AT,2,2,4668.535381555557,3000000,1e-05,20,0.1,15,True,10000,True,10000,True,60
61,25,23,39,33,157,10,0,4,0,17.62,14.0,new,experiments/results/AT_2_2/TB_5mill/61.onnx,AT,2,2,4741.257086992264,3050000,1e-05,20,0.1,15,True,10000,True,10000,True,61
62,25,23,39,33,167,12,0,3,0,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/62.onnx,AT,2,2,4813.876893997192,3100000,1e-05,20,0.1,15,True,10000,True,10000,True,62
63,26,20,40,30,150,8,0,4,0,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/63.onnx,AT,2,2,4886.548589229584,3150000,1e-05,20,0.1,15,True,10000,True,10000,True,63
64,26,20,40,30,168,8,0,4,0,17.62,9.0,new,experiments/results/AT_2_2/TB_5mill/64.onnx,AT,2,2,4959.128182888031,3200000,1e-05,20,0.1,15,True,10000,True,10000,True,64
65,25,23,39,33,147,12,0,4,0,17.62,9.0,new,experiments/results/AT_2_2/TB_5mill/65.onnx,AT,2,2,5032.720674037933,3250000,1e-05,20,0.1,15,True,10000,True,10000,True,65
66,26,20,40,30,161,9,0,3,0,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/66.onnx,AT,2,2,5105.766131162643,3300000,1e-05,20,0.1,15,True,10000,True,10000,True,66
67,37,25,62,39,187,6,0,1,8,18.18,14.0,new,experiments/results/AT_2_2/TB_5mill/67.onnx,AT,2,2,5178.171614646912,3350000,1e-05,20,0.1,15,True,10000,True,10000,True,67
68,26,20,40,30,160,9,0,4,0,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/68.onnx,AT,2,2,5251.105441570282,3400000,1e-05,20,0.1,15,True,10000,True,10000,True,68
69,26,23,40,33,178,12,0,3,0,17.62,10.0,new,experiments/results/AT_2_2/TB_5mill/69.onnx,AT,2,2,5323.659103393555,3450000,1e-05,20,0.1,15,True,10000,True,10000,True,69
70,28,23,45,36,156,14,0,4,1,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/70.onnx,AT,2,2,5396.72745680809,3500000,1e-05,20,0.1,15,True,10000,True,10000,True,70
71,23,20,35,30,166,8,0,3,0,17.14,8.0,new,experiments/results/AT_2_2/TB_5mill/71.onnx,AT,2,2,5470.002777338028,3550000,1e-05,20,0.1,15,True,10000,True,10000,True,71
72,25,20,39,30,149,10,0,3,0,17.14,10.0,new,experiments/results/AT_2_2/TB_5mill/72.onnx,AT,2,2,5542.413152217865,3600000,1e-05,20,0.1,15,True,10000,True,10000,True,72
73,27,25,44,39,187,10,0,1,4,17.62,16.0,new,experiments/results/AT_2_2/TB_5mill/73.onnx,AT,2,2,5615.342959165573,3650000,1e-05,20,0.1,15,True,10000,True,10000,True,73
74,37,27,63,43,168,4,0,1,8,18.18,16.0,new,experiments/results/AT_2_2/TB_5mill/74.onnx,AT,2,2,5688.8529098033905,3700000,1e-05,20,0.1,15,True,10000,True,10000,True,74
75,25,20,39,30,188,9,0,3,0,17.62,16.0,new,experiments/results/AT_2_2/TB_5mill/75.onnx,AT,2,2,5762.4104063510895,3750000,1e-05,20,0.1,15,True,10000,True,10000,True,75
76,33,22,53,36,166,13,0,1,5,18.18,16.0,new,experiments/results/AT_2_2/TB_5mill/76.onnx,AT,2,2,5835.686803340912,3800000,1e-05,20,0.1,15,True,10000,True,10000,True,76
77,25,25,38,37,153,9,0,3,0,17.14,15.0,new,experiments/results/AT_2_2/TB_5mill/77.onnx,AT,2,2,5909.385338783264,3850000,1e-05,20,0.1,15,True,10000,True,10000,True,77
78,27,25,43,37,156,12,0,3,0,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/78.onnx,AT,2,2,5982.091738700867,3900000,1e-05,20,0.1,15,True,10000,True,10000,True,78
79,29,27,45,41,173,9,0,3,0,17.62,15.0,new,experiments/results/AT_2_2/TB_5mill/79.onnx,AT,2,2,6056.438194274902,3950000,1e-05,20,0.1,15,True,10000,True,10000,True,79
80,23,23,33,33,173,6,0,3,0,17.14,8.0,new,experiments/results/AT_2_2/TB_5mill/80.onnx,AT,2,2,6129.991616487503,4000000,1e-05,20,0.1,15,True,10000,True,10000,True,80
81,23,20,35,30,149,8,0,3,0,17.14,11.0,new,experiments/results/AT_2_2/TB_5mill/81.onnx,AT,2,2,6202.425567150116,4050000,1e-05,20,0.1,15,True,10000,True,10000,True,81
82,25,20,39,30,149,9,0,3,0,17.14,10.0,new,experiments/results/AT_2_2/TB_5mill/82.onnx,AT,2,2,6275.8987159729,4100000,1e-05,20,0.1,15,True,10000,True,10000,True,82
83,25,20,39,30,176,10,0,3,0,17.14,16.0,new,experiments/results/AT_2_2/TB_5mill/83.onnx,AT,2,2,6348.355956315994,4150000,1e-05,20,0.1,15,True,10000,True,10000,True,83
84,25,20,40,30,156,12,0,3,0,17.14,15.0,new,experiments/results/AT_2_2/TB_5mill/84.onnx,AT,2,2,6421.905296564102,4200000,1e-05,20,0.1,15,True,10000,True,10000,True,84
85,23,23,34,33,147,7,0,3,0,17.14,11.0,new,experiments/results/AT_2_2/TB_5mill/85.onnx,AT,2,2,6494.777953147888,4250000,1e-05,20,0.1,15,True,10000,True,10000,True,85
86,33,23,53,33,156,4,0,1,8,17.62,13.0,new,experiments/results/AT_2_2/TB_5mill/86.onnx,AT,2,2,6567.989808320999,4300000,1e-05,20,0.1,15,True,10000,True,10000,True,86
87,29,20,47,30,180,14,0,3,0,17.62,16.0,new,experiments/results/AT_2_2/TB_5mill/87.onnx,AT,2,2,6640.788281440735,4350000,1e-05,20,0.1,15,True,10000,True,10000,True,87
88,27,23,42,33,158,11,0,3,0,17.62,12.0,new,experiments/results/AT_2_2/TB_5mill/88.onnx,AT,2,2,6713.736008882523,4400000,1e-05,20,0.1,15,True,10000,True,10000,True,88
