,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
41,310.0,494,290,3,3,TA,11,122.00597333908081,202000,1e-05,20,0.1,-168.06096,100,-0.67096466,0.09031737,1.2935892,-0.5624349,1.4429158,0.0,-3.3309507,-1.387875,0.0,-0.28085753,-1.9449983
42,78.0,298,144,2,2,TA,11,127.94343447685242,212000,1e-05,20,0.1,-193.16731,105,0.65465105,-0.54558414,-1.1768684,-1.0361723,0.5022564,4.7683716e-07,-4.7917547,-2.545899,0.0,-1.4624734,-3.6064086
43,3511.0,3418,1091,3,3,TA,11,127.94343447685242,212000,1e-05,20,0.1,-193.16731,105,0.65465105,-0.54558414,-1.1768684,-1.0361723,0.5022564,4.7683716e-07,-4.7917547,-2.545899,0.0,-1.4624734,-3.6064086
44,74.0,340,144,2,2,TA,11,133.85343432426453,222000,1e-05,20,0.1,-167.93695,110,0.3935349,-0.5109071,-1.3768297,-0.37523383,-0.34992602,2.3841858e-07,-3.4969926,-1.512595,0.0,-1.5906171,-3.2826
45,2904.0,3395,1077,3,3,TA,11,133.85343432426453,222000,1e-05,20,0.1,-167.93695,110,0.3935349,-0.5109071,-1.3768297,-0.37523383,-0.34992602,2.3841858e-07,-3.4969926,-1.512595,0.0,-1.5906171,-3.2826
46,78.0,343,144,2,2,TA,11,139.85996961593628,232000,1e-05,20,0.1,-195.27034,115,-0.32720554,-0.47894233,-0.43651992,0.47567287,-0.2961081,0.0,-5.6343713,-4.264663,0.0,-1.7896359,-5.2718477
47,2921.0,3502,1091,3,3,TA,11,139.85996961593628,232000,1e-05,20,0.1,-195.27034,115,-0.32720554,-0.47894233,-0.43651992,0.47567287,-0.2961081,0.0,-5.6343713,-4.264663,0.0,-1.7896359,-5.2718477
48,27.0,118,77,2,2,TA,11,145.79124522209167,242000,1e-05,20,0.1,-151.61053,120,-0.4956795,-0.108821034,1.3344685,-0.12275365,1.1645657,0.0,-2.8942585,-0.7123915,0.0,-0.5504726,-1.540674
49,268.0,490,274,3,3,TA,11,145.79124522209167,242000,1e-05,20,0.1,-151.61053,120,-0.4956795,-0.108821034,1.3344685,-0.12275365,1.1645657,0.0,-2.8942585,-0.7123915,0.0,-0.5504726,-1.540674
50,70.0,208,131,2,2,TA,11,151.74920678138733,252000,1e-05,20,0.1,-178.06047,125,-0.59594434,-0.21625316,0.6002103,0.7795504,0.9442381,0.0,-4.239745,-2.662125,0.0,-0.8608034,-2.363248
51,2770.0,2066,923,3,3,TA,11,151.74920678138733,252000,1e-05,20,0.1,-178.06047,125,-0.59594434,-0.21625316,0.6002103,0.7795504,0.9442381,0.0,-4.239745,-2.662125,0.0,-0.8608034,-2.363248
52,76.0,340,144,2,2,TA,11,157.70082688331604,262000,1e-05,20,0.1,-184.57346,130,-0.8301404,-0.4151241,-0.46221495,0.052581713,0.2491825,4.7683716e-07,-4.8022456,-3.244936,0.0,-1.4209968,-4.174218
53,1798.0,3564,1091,3,3,TA,11,157.70082688331604,262000,1e-05,20,0.1,-184.57346,130,-0.8301404,-0.4151241,-0.46221495,0.052581713,0.2491825,4.7683716e-07,-4.8022456,-3.244936,0.0,-1.4209968,-4.174218
54,51.0,305,138,2,2,TA,11,163.68111038208008,272000,1e-05,20,0.1,-152.68568,135,-0.7298273,-0.7807509,-1.8716104,-0.77877355,1.8845338,4.7683716e-07,-2.5939298,-1.9264975,0.0,-2.3187747,-2.5874445
55,3021.0,3489,1091,3,3,TA,11,163.68111038208008,272000,1e-05,20,0.1,-152.68568,135,-0.7298273,-0.7807509,-1.8716104,-0.77877355,1.8845338,4.7683716e-07,-2.5939298,-1.9264975,0.0,-2.3187747,-2.5874445
56,82.0,342,144,2,2,TA,11,169.62354135513306,282000,1e-05,20,0.1,-182.22318,140,0.90456903,-0.32641006,-0.27828687,0.049747113,0.5706416,0.0,-4.431632,-2.3135972,0.0,-1.6214489,-3.651252
57,3453.0,3487,1091,3,3,TA,11,169.62354135513306,282000,1e-05,20,0.1,-182.22318,140,0.90456903,-0.32641006,-0.27828687,0.049747113,0.5706416,0.0,-4.431632,-2.3135972,0.0,-1.6214489,-3.651252
58,53.0,334,144,2,2,TA,11,175.6216630935669,292000,1e-05,20,0.1,-182.33836,145,0.8682799,-0.21732554,-0.30758244,-0.3362046,-0.27879074,4.7683716e-07,-4.6518106,-2.5031927,0.0,-1.1068385,-4.1952586
59,1144.0,3418,1091,3,3,TA,11,175.6216630935669,292000,1e-05,20,0.1,-182.33836,145,0.8682799,-0.21732554,-0.30758244,-0.3362046,-0.27879074,4.7683716e-07,-4.6518106,-2.5031927,0.0,-1.1068385,-4.1952586
