,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
43,12943.0,2998,1091,3,3,TA,11,362.55873370170593,500000,-65.77468412952393,21
44,21.0,128,80,2,2,TA,11,2719.854517698288,3650000,-78.90419639299171,22
45,2085.0,1039,461,3,3,TA,11,2719.854517698288,3650000,-78.90419639299171,22
46,103.0,247,144,2,2,TA,11,2640.6358983516693,3550000,-119.73486631706284,23
47,9909.0,3347,1091,3,3,TA,11,2640.6358983516693,3550000,-119.73486631706284,23
48,67.0,278,144,2,2,TA,11,287.43404388427734,400000,-54.816557424712634,24
49,13890.0,2924,1091,3,3,TA,11,287.43404388427734,400000,-54.816557424712634,24
50,45.0,216,144,2,2,TA,11,399.4119966030121,550000,-70.37425874955112,25
51,13640.0,3061,1091,3,3,TA,11,399.4119966030121,550000,-70.37425874955112,25
52,85.0,236,144,2,2,TA,11,626.6628277301788,850000,-98.5533199294545,26
53,7339.0,2797,1091,3,3,TA,11,626.6628277301788,850000,-98.5533199294545,26
54,51.0,287,137,2,2,TA,11,1126.195493221283,1550000,-123.54892811596932,27
55,3923.0,3332,1062,3,3,TA,11,1126.195493221283,1550000,-123.54892811596932,27
56,58.0,295,144,2,2,TA,11,947.4335751533508,1300000,-125.78656750762622,28
57,3714.0,3424,1091,3,3,TA,11,947.4335751533508,1300000,-125.78656750762622,28
58,31.0,189,111,2,2,TA,11,3445.9103977680206,4550000,-66.69953374847088,29
59,2701.0,1480,636,3,3,TA,11,3445.9103977680206,4550000,-66.69953374847088,29
60,51.0,265,141,2,2,TA,11,2142.1186945438385,2900000,-114.27026336776935,30
61,4693.0,3298,1091,3,3,TA,11,2142.1186945438385,2900000,-114.27026336776935,30
62,47.0,231,144,2,2,TA,11,1788.7087016105652,2450000,-111.83654914267368,31
63,9258.0,2614,1091,3,3,TA,11,1788.7087016105652,2450000,-111.83654914267368,31
64,34.0,180,105,2,2,TA,11,2680.3774523735046,3600000,-98.35404702207094,32
65,619.0,478,274,3,3,TA,11,2680.3774523735046,3600000,-98.35404702207094,32
66,29.0,154,92,2,2,TA,11,2484.097544193268,3350000,-79.26969738351691,33
67,455.0,419,234,3,3,TA,11,2484.097544193268,3350000,-79.26969738351691,33
68,21.0,123,80,2,2,TA,11,3569.128486394882,4700000,-82.61639893770601,34
69,656.0,460,264,3,3,TA,11,3569.128486394882,4700000,-82.61639893770601,34
70,21.0,128,80,2,2,TA,11,1637.5273764133453,2250000,-81.04491594833726,35
71,754.0,492,269,3,3,TA,11,1637.5273764133453,2250000,-81.04491594833726,35
72,21.0,122,79,2,2,TA,11,2331.9467277526855,3150000,-89.59348893247483,36
73,786.0,484,276,3,3,TA,11,2331.9467277526855,3150000,-89.59348893247483,36
74,48.0,239,144,2,2,TA,11,2522.3989219665527,3400000,-91.48430554858452,37
75,8473.0,2676,1091,3,3,TA,11,2522.3989219665527,3400000,-91.48430554858452,37
76,55.0,283,144,2,2,TA,11,1867.6977453231812,2550000,-120.90569890460563,38
77,4576.0,3301,1091,3,3,TA,11,1867.6977453231812,2550000,-120.90569890460563,38
78,111.0,336,144,2,2,TA,11,102.19009637832642,150000,-5.693794438656839,39
79,12721.0,3426,1091,3,3,TA,11,102.19009637832642,150000,-5.693794438656839,39
80,37.0,208,119,2,2,TA,11,2294.105776786804,3100000,-117.49636308161247,40
81,5193.0,3270,1062,3,3,TA,11,2294.105776786804,3100000,-117.49636308161247,40
82,105.0,277,144,2,2,TA,11,1236.554771900177,1700000,-124.81708420899541,41
83,5809.0,3227,1091,3,3,TA,11,1236.554771900177,1700000,-124.81708420899541,41
84,60.0,265,144,2,2,TA,11,325.9987337589264,450000,-59.72697266526169,42
85,10960.0,2607,1091,3,3,TA,11,325.9987337589264,450000,-59.72697266526169,42
86,60.0,295,144,2,2,TA,11,3486.014847755432,4600000,-78.76708151857852,43
87,5200.0,3266,1091,3,3,TA,11,3486.014847755432,4600000,-78.76708151857852,43
88,47.0,260,144,2,2,TA,11,1380.415955066681,1900000,-122.65763701707598,44
89,6279.0,3132,1091,3,3,TA,11,1380.415955066681,1900000,-122.65763701707598,44
90,60.0,297,144,2,2,TA,11,1453.6808516979218,2000000,-124.79867511452943,45
91,4264.0,3320,1091,3,3,TA,11,1453.6808516979218,2000000,-124.79867511452943,45
92,46.0,237,144,2,2,TA,11,2369.4560639858246,3200000,-104.55499084621974,46
93,9495.0,2789,1091,3,3,TA,11,2369.4560639858246,3200000,-104.55499084621974,46
94,47.0,251,144,2,2,TA,11,2961.2051017284393,3950000,-112.72071585214242,47
95,6609.0,3289,1091,3,3,TA,11,2961.2051017284393,3950000,-112.72071585214242,47
96,66.0,130,81,2,2,TA,11,1673.999296426773,2300000,-71.33534588656252,48
97,131.0,289,189,3,3,TA,11,1673.999296426773,2300000,-71.33534588656252,48
98,14.0,91,62,2,2,TA,11,3001.9272904396057,4000000,-112.632303609796,49
99,2721.0,1263,566,3,3,TA,11,3001.9272904396057,4000000,-112.632303609796,49
100,11.0,67,50,2,2,TA,11,2025.370112657547,2750000,-95.64174248689285,50
101,45.0,154,114,3,3,TA,11,2025.370112657547,2750000,-95.64174248689285,50
102,20.0,123,80,2,2,TA,11,1601.2482171058655,2200000,-98.95208043337911,51
103,815.0,524,287,3,3,TA,11,1601.2482171058655,2200000,-98.95208043337911,51
104,64.0,290,144,2,2,TA,11,738.6594479084015,1000000,-107.88763341213236,52
105,4855.0,3375,1091,3,3,TA,11,738.6594479084015,1000000,-107.88763341213236,52
106,109.0,295,143,2,2,TA,11,2102.646329641342,2850000,-102.38295014147636,53
107,4211.0,3250,1087,3,3,TA,11,2102.646329641342,2850000,-102.38295014147636,53
108,56.0,271,140,2,2,TA,11,1162.6108167171478,1600000,-123.78193267605,54
109,5604.0,3085,1035,3,3,TA,11,1162.6108167171478,1600000,-123.78193267605,54
110,59.0,293,144,2,2,TA,11,31.931283473968506,50000,-0.12557384012446574,55
111,5177.0,3411,1091,3,3,TA,11,31.931283473968506,50000,-0.12557384012446574,55
112,58.0,274,144,2,2,TA,11,249.94624972343445,350000,-47.31437503524202,56
113,12017.0,2951,1091,3,3,TA,11,249.94624972343445,350000,-47.31437503524202,56
114,53.0,281,144,2,2,TA,11,2256.2069630622864,3050000,-115.03391561290996,57
115,3598.0,3426,1091,3,3,TA,11,2256.2069630622864,3050000,-115.03391561290996,57
116,115.0,331,144,2,2,TA,11,174.33072185516357,250000,-20.70758976464063,58
117,13686.0,3275,1091,3,3,TA,11,174.33072185516357,250000,-20.70758976464063,58
118,53.0,276,141,2,2,TA,11,1089.830409526825,1500000,-125.25095295457098,59
119,3957.0,3199,1064,3,3,TA,11,1089.830409526825,1500000,-125.25095295457098,59
120,54.0,276,144,2,2,TA,11,3041.826448917389,4050000,-90.77628519350795,60
121,9288.0,3237,1091,3,3,TA,11,3041.826448917389,4050000,-90.77628519350795,60
122,75.0,336,144,2,2,TA,11,66.53375148773193,100000,-2.2419764484125846,61
123,11325.0,3426,1091,3,3,TA,11,66.53375148773193,100000,-2.2419764484125846,61
124,57.0,272,144,2,2,TA,11,1827.8869032859802,2500000,-116.97944641186454,62
125,6917.0,3173,1091,3,3,TA,11,1827.8869032859802,2500000,-116.97944641186454,62
126,51.0,275,144,2,2,TA,11,3243.47559094429,4300000,-111.94679292902465,63
127,6593.0,3319,1091,3,3,TA,11,3243.47559094429,4300000,-111.94679292902465,63
128,51.0,262,144,2,2,TA,11,702.2128803730011,950000,-107.50324062441692,64
129,6451.0,2741,1091,3,3,TA,11,702.2128803730011,950000,-107.50324062441692,64
130,71.0,279,144,2,2,TA,11,1749.8244001865387,2400000,-103.6607513374734,65
131,7468.0,2929,1091,3,3,TA,11,1749.8244001865387,2400000,-103.6607513374734,65
132,62.0,273,144,2,2,TA,11,512.276801109314,700000,-85.96270279345123,66
133,10669.0,3055,1091,3,3,TA,11,512.276801109314,700000,-85.96270279345123,66
134,52.0,261,144,2,2,TA,11,3082.420697450638,4100000,-110.10636152354674,67
135,10906.0,3286,1091,3,3,TA,11,3082.420697450638,4100000,-110.10636152354674,67
136,115.0,284,144,2,2,TA,11,2799.096186876297,3750000,-103.27393836577491,68
137,6333.0,3240,1091,3,3,TA,11,2799.096186876297,3750000,-103.27393836577491,68
138,49.0,232,144,2,2,TA,11,2600.665462255478,3500000,-116.07501579907758,69
139,11375.0,2761,1091,3,3,TA,11,2600.665462255478,3500000,-116.07501579907758,69
140,52.0,273,144,2,2,TA,11,1907.6335988044739,2600000,-123.01730899612397,70
141,4821.0,3269,1091,3,3,TA,11,1907.6335988044739,2600000,-123.01730899612397,70
142,101.0,302,144,2,2,TA,11,774.7297720909119,1050000,-113.67176160316527,71
143,6975.0,3214,1091,3,3,TA,11,774.7297720909119,1050000,-113.67176160316527,71
144,55.0,298,138,2,2,TA,11,1308.740894794464,1800000,-116.31929781314749,72
